time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,trajectory_plan_feasible,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.023172,-0.012577,-0.004985,0.009955,-0.001546,-0.002357,0.001300,20.001338,0.339063,0.015953,0.031252,4.999902,0.234893,CV,0.000000,20.016873,20.016872,0.005998,20.063842,10.338868,0.485739,0.031252,4.999902,0.234893,-0.000000,0.000000,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133418,0.058418,-0.001546,-0.002357,0.001300,0.000000,0.000000,0.000000,0.001123,-0.013695,-0.000199,0,takeoff,,20.016873,5.007818,-0.118841,0,,,
0.072761,-0.012093,-0.006455,0.010301,-0.001413,-0.003023,0.001457,20.004202,0.586058,0.027472,0.062518,4.999609,0.232719,CV,-0.124558,20.025070,20.025062,0.017171,20.129238,10.585276,0.492909,0.062518,4.999609,0.232719,-0.000000,0.000000,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133420,0.029660,-0.001413,-0.003023,0.001457,0.000000,0.000000,0.000000,0.004712,-0.007079,-0.000899,0,takeoff,,20.025070,5.008382,-0.212122,0,,,
0.123011,-0.011695,-0.007107,0.010435,-0.001156,-0.003118,0.001386,20.008696,0.838566,0.039078,0.093810,4.999120,0.229109,CV,-0.124562,20.038265,20.038244,0.028643,20.196317,10.836806,0.497296,0.093810,4.999120,0.229109,-0.000000,0.000000,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133433,0.042286,-0.001156,-0.003118,0.001386,0.000000,0.000000,0.000000,0.007642,-0.001602,0.000951,0,takeoff,,20.038265,5.008320,-0.306316,0,,,
0.173096,-0.010595,-0.008279,0.010668,-0.000733,-0.003346,0.001292,20.014825,1.088539,0.050327,0.125143,4.998434,0.224087,CTRV,-0.125060,20.055474,20.055434,0.039659,21.506214,10.950360,0.498501,1.358462,4.811921,0.224087,0.601779,-0.169889,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133444,0.054782,-0.000733,-0.003346,0.001292,0.000000,0.000000,0.000000,0.009181,-0.001231,0.000123,0,takeoff,,20.055474,5.008322,-0.399672,0,,,
0.222937,-0.009728,-0.008928,0.010858,-0.000156,-0.003373,0.001243,20.022439,1.338895,0.061284,0.156530,4.997549,0.217684,CTRV,-0.125386,20.077522,20.077458,0.050425,21.578923,11.190514,0.496652,1.391788,4.802388,0.217684,0.602153,-0.174511,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133444,0.067251,-0.000156,-0.003373,0.001243,0.000000,0.000000,0.000000,0.014372,-0.002736,-0.000393,0,takeoff,,20.077522,5.008055,-0.492592,0,,,
0.272758,-0.008458,-0.009679,0.011050,0.000757,-0.003508,0.001425,20.031588,1.588120,0.071816,0.187985,4.996465,0.209938,CTRV,-0.125438,20.103734,20.103642,0.060766,21.650559,11.429641,0.491693,1.422486,4.793384,0.209938,0.601273,-0.178434,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133461,0.079612,0.000757,-0.003508,0.001425,0.000000,0.000000,0.000000,0.016718,-0.001550,0.004815,0,takeoff,,20.103734,5.007820,-0.584651,0,,,
0.322536,-0.007595,-0.010160,0.011282,0.001319,-0.003696,0.001547,20.042268,1.836453,0.081875,0.219520,4.995179,0.200899,CTRV,-0.125561,20.134844,20.134721,0.070593,21.724525,11.667303,0.483672,1.453887,4.783954,0.200899,0.600676,-0.182551,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133474,0.091888,0.001319,-0.003696,0.001547,0.000000,0.000000,0.000000,0.012742,-0.004844,0.002967,0,takeoff,,20.134844,5.007605,-0.676437,0,,,
0.372745,-0.006496,-0.010893,0.011826,0.001817,-0.003708,0.001775,20.054673,2.087810,0.091552,0.251151,4.993688,0.190620,CTRV,-0.125726,20.170805,20.170648,0.079726,21.800767,11.907451,0.472792,1.485734,4.774159,0.190620,0.600235,-0.186795,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133492,0.104291,0.001817,-0.003708,0.001775,0.000000,0.000000,0.000000,0.006086,0.000374,0.006777,0,takeoff,,20.170805,5.007175,-0.768687,0,,,
0.422842,-0.006003,-0.011406,0.012361,0.001855,-0.003705,0.001903,20.068570,2.337132,0.100588,0.282890,4.991991,0.179166,CTRV,-0.126111,20.211677,20.211484,0.088226,21.880796,12.144620,0.458920,1.519719,4.763450,0.179166,0.600722,-0.191653,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133506,0.116524,0.001855,-0.003705,0.001903,0.000000,0.000000,0.000000,0.001226,0.000874,0.002459,0,takeoff,,20.211677,5.006734,-0.860388,0,,,
0.472626,-0.005593,-0.012185,0.013155,0.001928,-0.004008,0.002249,20.084039,2.586112,0.108996,0.314753,4.990083,0.166608,CTRV,-0.126633,20.257188,20.256961,0.095842,21.963915,12.380635,0.442212,1.555063,4.752029,0.166608,0.601764,-0.196922,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133489,0.128668,0.001928,-0.004008,0.002249,0.000000,0.000000,0.000000,0.000733,-0.004273,0.007722,0,takeoff,,20.257188,5.006578,-0.951584,0,,,
