time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.030146,-0.020899,0.009621,0.032117,0.007355,0.001850,0.004836,20.001255,0.325832,0.015332,0.031252,4.999902,0.234893,CV,0.000000,20.024658,20.024651,-0.016785,20.063760,10.325637,0.485118,0.031252,4.999902,0.234893,-0.000000,0.000000,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133394,0.058394,0.082355,0.001767,-0.045164,1.499999,-0.001650,-1.000000,0.005224,0.001397,0.004502,0,takeoff,,20.024658,5.003401,-0.102626,0,,,
0.080471,-0.019617,0.009084,0.032906,0.007812,0.001429,0.005238,20.004147,0.581667,0.027267,0.062518,4.999609,0.232719,CV,-0.127419,20.031949,20.031948,-0.005639,20.129183,10.580885,0.492704,0.062518,4.999609,0.232719,-0.000000,0.000000,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133390,0.028676,0.157355,0.001687,-0.095164,1.499999,-0.001608,-1.000000,0.007113,-0.010463,0.010458,0,takeoff,,20.031949,5.003653,-0.197485,0,,,
0.130465,-0.018758,0.008749,0.033307,0.008173,0.001148,0.005417,20.008569,0.831772,0.038766,0.093810,4.999120,0.229109,CV,-0.126899,20.044232,20.044231,0.005459,20.196190,10.830012,0.496985,0.093810,4.999120,0.229109,-0.000000,0.000000,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133388,0.041141,0.232355,0.001608,-0.145164,1.499999,-0.001582,-1.000000,0.009952,-0.004131,0.002318,0,takeoff,,20.044232,5.003708,-0.290844,0,,,
0.180205,-0.017710,0.008304,0.033844,0.008409,0.000921,0.005639,20.014608,1.080506,0.049967,0.125143,4.998434,0.224087,CTRV,-0.126452,20.060997,20.060991,0.016123,21.519638,10.939665,0.498141,1.371856,4.808119,0.224087,0.607998,-0.173474,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133395,0.053536,0.307355,0.001531,-0.195164,1.499999,-0.001546,-1.000000,0.001800,-0.003120,0.001345,0,takeoff,,20.060997,5.003647,-0.383845,0,,,
0.230311,-0.017021,0.008019,0.034286,0.008578,0.000778,0.005646,20.022225,1.332495,0.061005,0.156530,4.997549,0.217684,CTRV,-0.126130,20.082987,20.082969,0.026719,21.585988,11.182646,0.496373,1.398931,4.800312,0.217684,0.605464,-0.176447,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133396,0.066070,0.382355,0.001454,-0.245164,1.499999,-0.001522,-1.000000,0.004888,-0.002574,-0.001338,0,takeoff,,20.082987,5.003456,-0.477450,0,,,
0.280289,-0.016097,0.007623,0.035012,0.008521,0.000576,0.005864,20.031346,1.582022,0.071560,0.187985,4.996465,0.209938,CTRV,-0.126376,20.109204,20.109170,0.036548,21.659486,11.421632,0.491437,1.431478,4.790707,0.209938,0.605432,-0.180905,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133375,0.078439,0.457355,0.001380,-0.295164,1.499999,-0.001488,-1.000000,-0.003739,-0.003645,0.003651,0,takeoff,,20.109204,5.003274,-0.570423,0,,,
0.330413,-0.015617,0.007397,0.035427,0.008579,0.000396,0.005933,20.042126,1.833368,0.081750,0.219520,4.995179,0.200899,CTRV,-0.126428,20.140739,20.140686,0.046323,21.732853,11.662395,0.483548,1.462189,4.781423,0.200899,0.604508,-0.184862,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133393,0.090837,0.532355,0.001307,-0.345164,1.499999,-0.001468,-1.000000,0.002063,-0.002485,0.000434,0,takeoff,,20.140739,5.003035,-0.663350,0,,,
0.380746,-0.014874,0.007150,0.035982,0.008721,0.000574,0.006122,20.054389,2.082401,0.091345,0.251151,4.993688,0.190620,CTRV,-0.126318,20.176348,20.176272,0.055363,21.806252,11.900763,0.472586,1.491385,4.772397,0.190620,0.602839,-0.188389,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133409,0.103121,0.607355,0.001234,-0.395164,1.499999,-0.001446,-1.000000,0.011169,0.001972,0.006492,0,takeoff,,20.176348,5.002400,-0.755219,0,,,
0.430064,-0.014265,0.007011,0.036479,0.008780,0.000781,0.006272,20.068173,2.330374,0.100345,0.282890,4.991991,0.179166,CTRV,-0.126606,20.216488,20.216387,0.063866,21.885219,12.136759,0.458678,1.524438,4.761942,0.179166,0.602891,-0.193003,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133438,0.115226,0.682355,0.001163,-0.445164,1.499999,-0.001433,-1.000000,0.003111,0.002677,0.006290,0,takeoff,,20.216488,5.001720,-0.846449,0,,,
0.480400,-0.013252,0.006742,0.037337,0.009075,0.000852,0.006404,20.083679,2.580585,0.108812,0.314753,4.990083,0.166608,CTRV,-0.126575,20.261204,20.261078,0.071474,21.962992,12.375240,0.442028,1.554514,4.752209,0.166608,0.601512,-0.196763,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.133451,0.127455,0.757355,0.001092,-0.495164,1.499999,-0.001407,-1.000000,0.006426,-0.001460,0.002692,0,takeoff,,20.261204,5.001153,-0.937562,0,,,
