measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,position_source_stamp,position_mapped_stamp,attitude_source_stamp,attitude_mapped_stamp,position_history_start_stamp,position_history_end_stamp,attitude_history_start_stamp,attitude_history_end_stamp,image_clock_offset,px4_clock_offset,px4_clock_reset_count,px4_clock_status,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790064237.7946162,1790064237.8251975,1790064237.8261268,1790064237.8261268,front_rgbd_red_sphere,False,False,False,POSITION_TIMESTAMP_AFTER_HISTORY,39.3,39.252,1790064237.8251975,1790064237.7751765,1790064237.8186162,1790064237.7706163,0.047999999999994714,1790064225.64948,1790064226.6694803,1790064237.780675,1790064226.6694803,1790064237.784675,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,UNKNOWN,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030581235885620117
1790064237.9206161,1790064237.9760752,1790064238.0247924,1790064238.0247924,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,39.452,39.352,1790064237.9760752,1790064237.8760295,1790064237.970616,1790064237.8706162,0.10000000000000142,1790064225.64948,1790064226.6694803,1790064237.980675,1790064226.6694803,1790064237.984675,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,44.30496290385662,3.6792231697223907,-0.006677822964083813,nan,nan,nan,nan,nan,0.055459022521972656
1790064238.0446162,1790064238.0744815,1790064238.1250424,1790064238.1250424,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,39.552,39.5,1790064238.0744815,1790064238.0295315,1790064238.0706162,1790064238.0186162,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064238.0846748,1790064226.6694803,1790064238.0846748,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,44.657654064423184,3.3306476936934333,0.003030410216756887,nan,nan,nan,nan,nan,0.029865264892578125
1790064238.1206162,1790064238.1879413,1790064238.2248785,1790064238.2248785,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,39.652,39.552,1790064238.1879413,1790064238.0732515,1790064238.1706161,1790064238.0706162,0.10000000000000142,1790064225.64948,1790064226.6694803,1790064238.184675,1790064226.6694803,1790064238.184675,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,44.873592522222715,3.116830787015631,0.008946948841212875,nan,nan,nan,nan,nan,0.06732511520385742
1790064238.2446163,1790064238.276927,1790064238.3248847,1790064238.3248847,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,39.752,39.7,1790064238.276927,1790064238.2265582,1790064238.2706163,1790064238.2186162,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064238.284675,1790064226.6694803,1790064238.284675,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,45.225975851255875,2.7673372794686935,0.018300717456391356,nan,nan,nan,nan,nan,0.03231072425842285
1790064238.4446163,1790064238.4779117,1790064238.524653,1790064238.524653,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,39.952,39.9,1790064238.4779117,1790064238.4295533,1790064238.470616,1790064238.4186163,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064238.484675,1790064226.6694803,1790064238.484675,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,45.793144922962696,2.2034875968877166,0.031772362559775114,nan,nan,nan,nan,nan,0.033295392990112305
1790064238.6446161,1790064238.68343,1790064238.728118,1790064238.728118,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,40.152,40.1,1790064238.68343,1790064238.6253333,1790064238.6706161,1790064238.618616,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064238.6848269,1790064226.6694803,1790064238.6848269,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,46.359855591071295,1.6387604269101737,0.04213863567610795,nan,nan,nan,nan,nan,0.03881382942199707
0.0,1790064239.023555,1790064239.024205,1790064239.024205,front_rgbd_red_sphere,False,False,False,RGB_FRAME_UNMATCHED,40.152,40.1,1790064238.68343,1790064238.6253333,1790064238.6706161,1790064238.618616,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064238.6848269,1790064226.6694803,1790064238.6848269,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1790064239.0446162,1790064239.083343,1790064239.1247344,1790064239.1247344,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,40.552,40.5,1790064239.083343,1790064239.023555,1790064239.0706162,1790064239.0186162,0.0519999999999996,1790064225.64948,1790064226.6694803,1790064239.080827,1790064226.6694803,1790064239.084827,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,47.491715223520174,0.508242376667684,0.049884962593683545,nan,nan,nan,nan,nan,0.038726806640625
1790064239.1206162,1790064239.1812744,1790064239.2245586,1790064239.2245586,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,40.652,40.552,1790064239.1812744,1790064239.081644,1790064239.1706161,1790064239.0706162,0.10000000000000142,1790064225.64948,1790064226.6694803,1790064239.1848269,1790064226.6694803,1790064239.1848269,1790064226.6694803,1790064225.6454802,1790064226.6694803,1790064225.64948,1790064226.6694803,1790064198.5186162,0.5069212913513184,1,OFFSET_OUTLIER,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,47.70665743595298,0.2933334530425219,0.04916100935676941,nan,nan,nan,nan,nan,0.06065821647644043
