time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.004341,0.050267,-0.009358,0.060705,0.001808,-0.012648,0.008853,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,19.949827,19.949735,-0.060705,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.997491,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131713,0.056713,0.001808,-0.012648,-0.041147,0.000000,0.000000,-1.000000,-0.015518,0.001283,0.014934,0,takeoff,,19.949827,0.015544,0.001775,0,,,
0.054159,0.049750,-0.009466,0.061801,0.001595,-0.012513,0.009458,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,19.950348,19.950252,-0.061801,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.997517,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131732,0.000474,0.000000,0.000000,-0.091147,-0.036161,0.252960,-1.000000,-0.006693,0.003701,0.010428,0,takeoff,,19.950348,0.015766,0.001560,0,,,
0.103984,0.049039,-0.009394,0.063690,0.001269,-0.012177,0.010153,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,19.951065,19.950964,-0.063690,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.997553,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131772,0.000471,0.000000,0.000000,-0.141147,0.000000,0.000000,-1.000000,-0.004641,0.006095,0.007390,0,takeoff,,19.951065,0.015905,0.001230,0,,,
0.154046,0.048665,-0.009173,0.064923,0.001061,-0.011711,0.010485,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,19.951443,19.951337,-0.064923,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.997572,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131790,0.000460,0.000000,0.000000,-0.191147,0.000000,0.000000,-1.000000,-0.003294,0.012907,0.005567,0,takeoff,,19.951443,0.015754,0.001022,0,,,
0.204011,0.048198,-0.008542,0.066528,0.000804,-0.010934,0.011020,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,19.951915,19.951804,-0.066528,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.997596,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131829,0.000428,0.000000,0.000000,-0.241147,0.000000,0.000000,-1.000000,-0.001742,0.016274,0.012883,0,takeoff,,19.951915,0.015544,0.000762,0,,,
0.254027,0.047999,-0.007862,0.067676,0.000825,-0.010063,0.011514,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,19.952117,19.952002,-0.067676,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.997606,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131863,0.000394,0.000000,0.000000,-0.291147,0.000000,0.000000,-1.000000,0.001483,0.020622,0.010648,0,takeoff,,19.952117,0.015314,0.000782,0,,,
0.304179,0.048038,-0.006593,0.069409,0.001103,-0.008844,0.011954,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,19.952084,19.951963,-0.069409,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.997604,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131912,0.000330,0.000000,0.000000,-0.341147,0.000000,0.000000,-1.000000,0.008060,0.018956,0.008269,0,takeoff,,19.952084,0.014911,0.001059,0,,,
0.353976,0.048306,-0.005592,0.070486,0.001600,-0.007995,0.012256,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,19.951819,19.951695,-0.070486,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.997591,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131973,0.000280,0.000000,0.000000,-0.391147,0.000000,0.000000,-1.000000,0.011321,0.024667,0.007776,0,takeoff,,19.951819,0.014721,0.001554,0,,,
0.403902,0.048930,-0.003998,0.071730,0.002284,-0.006665,0.012468,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,19.951199,19.951070,-0.071730,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.997560,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.132029,0.000200,0.000000,0.000000,-0.441147,0.000000,0.000000,-1.000000,0.014182,0.024771,0.002488,0,takeoff,,19.951199,0.014321,0.002238,0,,,
0.454096,0.049565,-0.002761,0.072548,0.002840,-0.005620,0.012678,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,19.950567,19.950435,-0.072548,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.997528,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.132078,0.000138,0.000000,0.000000,-0.491147,0.000000,0.000000,-1.000000,0.015358,0.025458,0.004546,0,takeoff,,19.950567,0.014156,0.002794,0,,,
