time,mission_id,phase,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,distance,horizontal_distance,vertical_error,relative_speed,closing_speed,controller_status,plan_id,plan_source_age,sea_safety_state,sea_safety_margin,prediction_0p5_error,prediction_1p0_error,prediction_2p0_error
0.007768154144287109,1,FAR_GUIDANCE,57.33180236816406,9.085234642028809,-4.955306529998779,-2.8409924507141113,-2.7626442909240723,-0.03852880746126175,53.965199147264514,5.8984939145414605,0.08680890438049049,-2.876442636442368,-2.77958229942135,-0.19215285161828222,6.84925264279275,4.635658929558754,5.042115434379269,0.15856846705186983,0.0877856964136855,FOLLOW,0,0.0,SAFE,4.885776214599609,,,
0.0579228401184082,1,FAR_GUIDANCE,57.2150993347168,8.975967407226562,-4.9544219970703125,-2.8366219997406006,-2.7633049488067627,-0.03953717276453972,53.822148830668816,5.760144981390633,0.07699373365851858,-2.874129225859372,-2.781974333645263,-0.20221197941446686,6.867952478930985,4.674786305001409,5.031415730728831,0.16798342376545328,0.09190322660249725,FAR_GUIDANCE,0,0.0,SAFE,4.884939842224121,,,
0.10765480995178223,1,FAR_GUIDANCE,57.05221176147461,8.823118209838867,-4.953173637390137,-2.8305728435516357,-2.763949155807495,-0.041139617562294006,53.67775554028971,5.6202665931351445,0.06660151661951018,-2.8718547734857123,-2.7843222083672945,-0.21112015696578187,6.8442206177276095,4.652441645772155,5.019775154009647,0.17610406805519016,0.0947818889802621,FAR_GUIDANCE,0,0.0,SAFE,4.884083442687988,,,
0.15808343887329102,1,FAR_GUIDANCE,56.936134338378906,8.713971138000488,-4.952353477478027,-2.8262851238250732,-2.764193296432495,-0.04239948093891144,53.53295707658795,5.479768987794249,0.055754941308574384,-2.8696348726715724,-2.7866100727491827,-0.21873803609445316,6.8646069776711105,4.6948566563388985,5.008108418786602,0.18296720640549494,0.0965962565730483,FAR_GUIDANCE,0,0.0,SAFE,4.88266056060791,,,
0.2107105255126953,1,FAR_GUIDANCE,56.750999450683594,8.539088249206543,-4.951128959655762,-2.8200082778930664,-2.7652065753936768,-0.044362783432006836,53.39181009430686,5.342601595117791,0.04483630137411671,-2.867529418299436,-2.7887766198079214,-0.22484733337044932,6.816256226931289,4.636990409927782,4.995965261029879,0.1881182568112237,0.0978133271382109,FAR_GUIDANCE,0,0.0,SAFE,4.8815423774719235,,,
0.25796961784362793,1,FAR_GUIDANCE,56.63559341430664,8.429645538330078,-4.95044469833374,-2.8164312839508057,-2.766317844390869,-0.04555610567331314,53.24778183443776,5.202423376010326,0.03341084062915673,-2.8654402212515557,-2.7909232053988586,-0.22970024753207405,6.836010987331179,4.678913355220575,4.983855538962897,0.19213631803118794,0.09834796798233601,FAR_GUIDANCE,0,0.0,SAFE,4.880830459594726,,,
0.30771493911743164,1,FAR_GUIDANCE,56.474483489990234,8.2761869430542,-4.949339389801025,-2.811824083328247,-2.7679409980773926,-0.04685741290450096,53.104543013288584,5.062808085401288,0.021833211295064582,-2.8634215653252033,-2.792994260507988,-0.2331101488742313,6.811377212371323,4.656425936200733,4.97117260109609,0.1948847037687991,0.09858629321323337,FAR_GUIDANCE,0,0.0,SAFE,4.879652194976806,,,
0.3587028980255127,1,FAR_GUIDANCE,56.35964584350586,8.166422843933105,-4.9484333992004395,-2.8087563514709473,-2.7693140506744385,-0.0477394200861454,52.961965990365606,4.923640135769876,0.010167139595992226,-2.861470510507681,-2.7949931158224537,-0.23507757806562346,6.829903907094878,4.696793382383094,4.958600538796432,0.19630023531562557,0.09759399774916755,FAR_GUIDANCE,0,0.0,SAFE,4.878781967163086,,,
0.40761423110961914,1,FAR_GUIDANCE,56.176326751708984,7.990553855895996,-4.9471755027771,-2.8039183616638184,-2.7712008953094482,-0.049386173486709595,52.819038600061674,4.783937900577941,-0.001597892578719171,-2.8595727772209574,-2.7969346670554924,-0.2356060797982177,6.783251986811876,4.642603754154745,4.945577610198381,0.19605482520445927,0.09605993813676217,FAR_GUIDANCE,0,0.0,SAFE,4.877610855102539,,,
0.4577486515045166,1,FAR_GUIDANCE,56.06196212768555,7.88054895401001,-4.946539878845215,-2.8006484508514404,-2.77232027053833,-0.050345975905656815,52.676133657414454,4.6440707986441385,-0.013358908794602173,-2.8577332847345733,-2.7988141191083313,-0.23468317208482725,6.802565675061746,4.683868623291943,4.933180970050612,0.1947839936101347,0.09266246890402287,FAR_GUIDANCE,0,0.0,SAFE,4.876910858154297,,,
