measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,position_source_stamp,position_mapped_stamp,attitude_source_stamp,attitude_mapped_stamp,position_history_start_stamp,position_history_end_stamp,attitude_history_start_stamp,attitude_history_end_stamp,image_clock_offset,px4_clock_offset,px4_clock_reset_count,px4_clock_status,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790064297.9048684,1790064297.9556348,1790064297.9997869,1790064297.9997869,front_rgbd_red_sphere,False,False,False,POSITION_TIMESTAMP_AFTER_HISTORY,37.652,37.752,1790064297.857012,1790064297.9556348,1790064297.8548684,1790064297.9548686,0.10000000000000142,1790064278.5801282,1790064279.5961282,1790064297.9824078,1790064279.5961282,1790064297.986408,1790064279.6001282,1790064278.5801282,1790064279.5961282,1790064278.5801282,1790064279.6001282,1790064260.2028685,0.19062328338623047,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,UNKNOWN,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0507664680480957
1790064298.0048685,1790064298.063197,1790064298.0997899,1790064298.0997899,front_rgbd_red_sphere,False,False,False,POSITION_TIMESTAMP_AFTER_HISTORY,37.752,37.852,1790064297.9566147,1790064298.063197,1790064297.9548686,1790064298.0548685,0.09999999999999432,1790064278.5801282,1790064279.5961282,1790064298.086408,1790064279.5961282,1790064298.086408,1790064279.6001282,1790064278.5801282,1790064279.5961282,1790064278.5801282,1790064279.6001282,1790064260.2028685,0.19062328338623047,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05832839012145996
1790064298.1048684,1790064298.1602554,1790064298.1997943,1790064298.1997943,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,37.852,37.952,1790064298.0653048,1790064298.1602554,1790064298.0548685,1790064298.1548684,0.10000000000000142,1790064278.5801282,1790064279.5961282,1790064298.1824079,1790064279.5961282,1790064298.1864078,1790064279.6001282,1790064278.5801282,1790064279.5961282,1790064278.5801282,1790064279.6001282,1790064260.2028685,0.19062328338623047,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,67.7165272690377,-17.154832533028337,-0.01782302692652382,nan,nan,nan,nan,nan,0.055387020111083984
1790064298.2048686,1790064298.2583332,1790064298.299811,1790064298.299811,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,37.952,38.052,1790064298.1625764,1790064298.2583332,1790064298.1548684,1790064298.2548685,0.10000000000000142,1790064278.5801282,1790064279.5961282,1790064298.286408,1790064279.5961282,1790064298.286408,1790064279.6001282,1790064278.5801282,1790064279.5961282,1790064278.5801282,1790064279.6001282,1790064260.2028685,0.19062328338623047,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,68.06197628894606,-17.356099594746315,-0.010302868167743784,nan,nan,nan,nan,nan,0.053464651107788086
1790064298.3048685,1790064298.356215,1790064298.399743,1790064298.399743,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,38.052,38.152,1790064298.2606332,1790064298.356215,1790064298.2548685,1790064298.3548684,0.10000000000000142,1790064278.5801282,1790064279.5961282,1790064298.3864079,1790064279.5961282,1790064298.3864079,1790064279.6001282,1790064278.5801282,1790064279.5961282,1790064278.5801282,1790064279.6001282,1790064260.2028685,0.19062328338623047,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,68.41011372931403,-17.55309364571926,-0.002525254552066114,nan,nan,nan,nan,nan,0.051346540451049805
1790064298.4048684,1790064298.459361,1790064298.4998782,1790064298.4998782,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,38.152,38.252,1790064298.3589094,1790064298.459361,1790064298.3548684,1790064298.4548686,0.10000000000000142,1790064278.5801282,1790064279.5961282,1790064298.4824078,1790064279.5961282,1790064298.486408,1790064279.6001282,1790064278.5801282,1790064279.5961282,1790064278.5801282,1790064279.6001282,1790064260.2028685,0.19062328338623047,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,68.7609830318479,-17.745537188194508,0.005317896657301041,nan,nan,nan,nan,nan,0.05449271202087402
1790064298.5288684,1790064298.5548239,1790064298.5997746,1790064298.5997746,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,38.3,38.352,1790064298.504369,1790064298.5548239,1790064298.5028684,1790064298.5548685,0.0519999999999996,1790064278.5801282,1790064279.5961282,1790064298.586408,1790064279.5961282,1790064298.586408,1790064279.6001282,1790064278.5801282,1790064279.5961282,1790064278.5801282,1790064279.6001282,1790064260.2028685,0.19062328338623047,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,69.1995217499369,-17.97712081107502,0.014830330610774073,nan,nan,nan,nan,nan,0.0259554386138916
1790064298.6788685,1790064298.7033427,1790064298.7997491,1790064298.7997491,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,38.452,38.5,1790064298.662563,1790064298.7033427,1790064298.6548684,1790064298.7028685,0.04800000000000182,1790064278.5801282,1790064279.5961282,1790064298.786408,1790064279.5961282,1790064298.786408,1790064279.6001282,1790064278.5801282,1790064279.5961282,1790064278.5801282,1790064279.6001282,1790064260.2028685,0.19062328338623047,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,69.73563001098799,-18.246430346502496,0.025558898066040402,nan,nan,nan,nan,nan,0.024474143981933594
1790064298.8048685,1790064298.8596199,1790064298.8997767,1790064298.8997767,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,38.552,38.652,1790064298.756507,1790064298.8596199,1790064298.7548685,1790064298.8548684,0.10000000000000142,1790064278.5801282,1790064279.5961282,1790064298.882408,1790064279.5961282,1790064298.8864079,1790064279.6001282,1790064278.5801282,1790064279.5961282,1790064278.5801282,1790064279.6001282,1790064260.2028685,0.19062328338623047,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,70.19083703706269,-18.4626898131922,0.03350769303504423,nan,nan,nan,nan,nan,0.05475139617919922
1790064298.9288685,1790064298.9582589,1790064298.9998527,1790064298.9998527,front_rgbd_red_sphere,False,False,True,POSITION_TIMESTAMP_AFTER_HISTORY,38.7,38.752,1790064298.9044747,1790064298.9582589,1790064298.9028685,1790064298.9548686,0.0519999999999996,1790064278.5801282,1790064279.5961282,1790064298.986408,1790064279.5961282,1790064298.986408,1790064279.6001282,1790064278.5801282,1790064279.5961282,1790064278.5801282,1790064279.6001282,1790064260.2028685,0.19062328338623047,1,OFFSET_OUTLIER,PREPARATION,UNKNOWN,TURNING,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,70.64352188538464,-18.66585140028153,0.04004585901844433,nan,nan,nan,nan,nan,0.029390335083007812
