measurement_stamp,valid,truth_available,geometry_diagnostics_enabled,gazebo_entity_available,gazebo_model_available,rejection_reason,image_clock_status,image_clock_reset_count,gazebo_entity_clock_status,gazebo_entity_clock_reset_count,gazebo_entity_raw_stamp,gazebo_entity_mapped_stamp,rgb_depth_acquisition_skew,observation_age,depth_median,depth_mad,valid_depth_count,red_pixel_count,target_range,view_angle,projection_centroid_u,projection_centroid_v,mask_centroid_u,mask_centroid_v,camera_fx,camera_fy,camera_cx,camera_cy,camera_pitch_down,target_reference_z_offset,gazebo_model_heading_ned,px4_attitude_yaw_ned,model_px4_heading_difference,entity_query_ros_stamp,entity_status,entity_left_sim_stamp,entity_right_sim_stamp,entity_left_ros_stamp,entity_right_ros_stamp,entity_fraction,entity_interval,model_query_ros_stamp,model_status,model_left_sim_stamp,model_right_sim_stamp,model_left_ros_stamp,model_right_ros_stamp,model_fraction,model_interval,px4_position_query_ros_stamp,px4_position_status,px4_position_left_source_stamp,px4_position_right_source_stamp,px4_position_left_ros_stamp,px4_position_right_ros_stamp,px4_position_fraction,px4_position_interval,px4_attitude_query_ros_stamp,px4_attitude_status,px4_attitude_left_source_stamp,px4_attitude_right_source_stamp,px4_attitude_left_ros_stamp,px4_attitude_right_ros_stamp,px4_attitude_fraction,px4_attitude_interval,entity_clock_reset_count_at_write,px4_clock_reset_count_at_write,px4_clock_status_at_write,px4_clock_offset_at_write,px4_clock_offset_online,px4_clock_status_online,px4_clock_reset_count_online,px4_position_reset_crossed,px4_attitude_reset_crossed,image_rgb_raw_stamp,image_depth_raw_stamp,image_rgb_mapped_stamp,image_depth_mapped_stamp,image_rgb_receipt_stamp_online,image_depth_receipt_stamp_online,observation_received_stamp_online,observation_processed_stamp_online,observation_published_stamp_online,collector_receipt_stamp,collector_write_stamp,collector_wait_seconds,online_processing_seconds,online_publish_seconds,collector_transport_seconds,collector_write_age_seconds,px4_heading_ned,px4_xy_reset_counter,px4_z_reset_counter,px4_heading_reset_counter,px4_delta_heading,px4_quat_reset_counter,px4_position_independent_x,px4_position_independent_y,px4_position_independent_z,px4_attitude_independent_w,px4_attitude_independent_x,px4_attitude_independent_y,px4_attitude_independent_z,px4_delta_q_reset_w,px4_delta_q_reset_x,px4_delta_q_reset_y,px4_delta_q_reset_z,model_px4_roll_residual,model_px4_pitch_residual,model_px4_yaw_residual,model_px4_rotation_angle,px4_attitude_yaw_independent,px4_heading_attitude_difference,online_independent_px4_rotation_angle,model_px4_position_error_x,model_px4_position_error_y,model_px4_position_error_z,online_independent_px4_position_error_x,online_independent_px4_position_error_y,online_independent_px4_position_error_z,position_x,position_y,position_z,truth_x,truth_y,truth_z,truth_velocity_x,truth_velocity_y,truth_velocity_z,gazebo_entity_center_x,gazebo_entity_center_y,gazebo_entity_center_z,gazebo_model_world_x,gazebo_model_world_y,gazebo_model_world_z,physical_camera_world_x,physical_camera_world_y,physical_camera_world_z,physical_expected_camera_x,physical_expected_camera_y,physical_expected_camera_z,physical_camera_center_error_x,physical_camera_center_error_y,physical_camera_center_error_z,gazebo_entity_reference_x,gazebo_entity_reference_y,gazebo_entity_reference_z,error_x,error_y,error_z,entity_to_truth_x,entity_to_truth_y,entity_to_truth_z,vision_to_entity_x,vision_to_entity_y,vision_to_entity_z,interpolated_uav_x,interpolated_uav_y,interpolated_uav_z,uav_velocity_latest_x,uav_velocity_latest_y,uav_velocity_latest_z,center_camera_x,center_camera_y,center_camera_z,target_body_flu_x,target_body_flu_y,target_body_flu_z,camera_center_error_x,camera_center_error_y,camera_center_error_z,body_flu_error_x,body_flu_error_y,body_flu_error_z,projection_error_u,projection_error_v,entity_expected_projection_u,entity_expected_projection_v,physical_expected_projection_u,physical_expected_projection_v,physical_projection_error_u,physical_projection_error_v,error_3d,entity_to_truth_3d,vision_to_entity_3d,camera_center_error_3d,body_flu_error_3d,physical_camera_center_error_3d
1790152105.5264118,True,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,50.392,1790152106.2184048,0.0,0.7131829261779785,7.228782415390015,0.03115367889404297,172,172,8.315529823303223,0.4524577260017395,209.0,170.0,209.0,170.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,4.8990811407634275e-12,0.1286886275887308,-0.1286886275838317,1790152105.5264118,INTERPOLATED,49.684,49.704,1790152105.510409,1790152105.5304134,0.7999618611746758,0.0200042724609375,1790152105.5264118,INTERPOLATED,49.684,49.704,1790152105.510409,1790152105.5304134,0.7999618611746758,0.0200042724609375,1790152105.5264118,BEFORE_HISTORY,nan,nan,nan,nan,nan,nan,1790152105.5264118,BEFORE_HISTORY,nan,nan,nan,nan,nan,nan,0,0,DIRECT_TIMESTAMP,0.0,0.0,DIRECT_TIMESTAMP,1,False,False,49.7,49.7,1790152105.5264118,1790152105.5264118,1790152105.5588582,1790152105.5571868,1790152105.5588582,1790152105.585147,1790152105.5852087,1790152105.708833,1790152106.2396889,0.5302389599964954,0.05873513221740723,0.05879688262939453,0.12362432479858398,0.7132771015167236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.37550282616004,-2.045340558897192,-0.09828872514151371,8.0,-3.0,0.0,0.0,0.0,0.0,8.0,-3.0,-0.42,-1.4325862187466864e-17,-2.153843937340869e-10,-0.013000179617809027,1.7146632244231778e-12,0.35000000293254124,0.17699981458338068,7.43230563763335,3.0000000000391935,1.828218245676189,0.04647677775666459,0.07497289406516305,0.11095384970493671,8.0,-3.0,0.0,0.3755028261600408,0.954659441102808,-0.09828872514151371,0.0,0.0,0.0,0.3755028261600408,0.954659441102808,-0.09828872514151371,-0.020841055467192192,-0.03139580940796049,0.015517613264858406,0.004515437874943018,0.036914847791194916,-0.0012149086687713861,7.478782415390015,3.0749728941043566,1.9391720953811258,8.0685297925949,3.0749728941043566,0.5318664550327681,0.463637470440438,-0.8985485104564863,0.1992198905502902,0.4949260718375168,-0.8985485104564863,0.09847056515915925,41.91549442544914,-3.0403376277361644,167.08450557455086,173.04033762773616,211.02916490053394,173.59251034239588,-2.0291649005339423,-3.592510342395883,1.030552130865221,0.0,1.030552130865221,1.030552130865221,1.030552130865222,0.14174548486457775
0.0,False,False,False,False,False,DEPTH_FRAME_UNMATCHED,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,50.392,1790152106.2184048,0.19999999999999574,1790152106.2402923,0.0,0.0,0,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,BEFORE_HISTORY,nan,nan,nan,nan,nan,nan,0.0,BEFORE_HISTORY,nan,nan,nan,nan,nan,nan,0.0,BEFORE_HISTORY,nan,nan,nan,nan,nan,nan,0.0,BEFORE_HISTORY,nan,nan,nan,nan,nan,nan,0,0,DIRECT_TIMESTAMP,0.0,0.0,DIRECT_TIMESTAMP,1,False,False,49.8,49.6,1790152105.5264118,1790152105.5264118,1790152105.6578755,1790152105.4489298,1790152105.6578755,1790152105.678663,1790152105.678663,1790152105.709348,1790152106.2403393,0.5309282369998982,1790152105.678663,1790152105.678663,0.030684947967529297,1790152106.2403393,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.004515437874943018,0.036914847791194916,-0.0012149086687713861,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1790152105.6263986,True,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,50.452,1790152106.2784054,0.0519999999999996,0.6738228797912598,7.228782415390015,0.03115367889404297,172,172,8.315529823303223,0.4524577260017395,209.0,170.0,209.0,170.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,4.8990811407634275e-12,0.12866185608687497,-0.1286618560819759,1790152105.6263986,EXACT,49.8,49.8,1790152105.6263986,1790152105.6263986,0.0,0.0,1790152105.6263986,EXACT,49.8,49.8,1790152105.6263986,1790152105.6263986,0.0,0.0,1790152105.6263986,BEFORE_HISTORY,nan,nan,nan,nan,nan,nan,1790152105.6263986,BEFORE_HISTORY,nan,nan,nan,nan,nan,nan,0,0,DIRECT_TIMESTAMP,0.0,0.0,DIRECT_TIMESTAMP,1,False,False,49.8,49.852,1790152105.6263986,1790152105.678404,1790152105.6578755,1790152105.7079318,1790152105.7079318,1790152105.7863164,1790152105.7863817,1790152105.788376,1790152106.3003178,0.5109075169966673,0.15991783142089844,0.15998315811157227,0.0019943714141845703,0.6739192008972168,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.374683965931673,-2.0414626714772752,-0.09860795142184481,8.0,-3.0,0.0,0.0,0.0,0.0,8.0,-3.0,-0.42,-1.4325862187466864e-17,-2.153843937340869e-10,-0.013000179617809027,1.7146632244231778e-12,0.35000000293254124,0.17699981458338068,7.43230563763335,3.0000000000391935,1.828218245676189,0.04647677775666459,0.07497289406516305,0.11095384970493671,8.0,-3.0,0.0,0.3746839659316734,0.9585373285227248,-0.09860795142184481,0.0,0.0,0.0,0.3746839659316734,0.9585373285227248,-0.09860795142184481,-0.02160914631814557,-0.02733557247844156,0.015308935108202863,0.016272230073809624,0.04453415796160698,-0.0030280393548309803,7.478782415390015,3.0749728941043566,1.9391720953811258,8.0685297925949,3.0749728941043566,0.5318664550327681,0.4632218295260353,-0.9025048386420305,0.19953938322961795,0.4945859401328683,-0.9025048386420305,0.0988694929287654,42.05867967591976,-3.056599198332492,166.94132032408024,173.0565991983325,211.02916490053394,173.59251034239588,-2.0291649005339423,-3.592510342395883,1.0338788190989225,0.0,1.0338788190989225,1.0338788190989219,1.033878819098922,0.14174548486457775
1790152105.878412,True,True,True,True,True,,MAPPED_EXACT,0,MAPPED_EXACT,0,50.472,1790152106.2984147,0.04800000000000182,0.42344021797180176,7.228782415390015,0.03115367889404297,172,172,8.315529823303223,0.4524577260017395,209.0,170.0,209.0,170.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,4.8990811407634275e-12,0.12862194885054296,-0.12862194884564387,1790152105.878412,INTERPOLATED,50.036,50.056,1790152105.8624039,1790152105.8824062,0.8003122914084104,0.020002365112304688,1790152105.878412,INTERPOLATED,50.036,50.056,1790152105.8624039,1790152105.8824062,0.8003122914084104,0.020002365112304688,1790152105.878412,INTERPOLATED,1790152105.868507,1790152105.884507,1790152105.868507,1790152105.884507,0.6190674872222802,0.016000032424926758,1790152105.878412,INTERPOLATED,1790152105.868507,1790152105.888507,1790152105.868507,1790152105.888507,0.49525546575113844,0.019999980926513672,0,0,DIRECT_TIMESTAMP,0.0,0.0,DIRECT_TIMESTAMP,1,False,False,50.052,50.1,1790152105.878412,1790152105.9264052,1790152105.9047084,1790152105.9501462,1790152105.9501462,1790152105.983619,1790152105.9836495,1790152105.9843614,1790152106.3019254,0.3170572059971164,0.10520696640014648,0.10523748397827148,0.0007119178771972656,0.42351341247558594,0.12861948906971216,5,2,1,0.1326102316379547,1,-0.02430717795473313,-0.01678282453699823,0.013419095644789715,0.9979327195754693,0.0002795990938098974,9.815000579902531e-05,0.06426662735534634,0.9978026747703552,3.493983314478699e-12,-2.211453459591284e-12,0.06625653803348541,-0.000545424545018749,-0.0002318484192159418,-0.12862183998227264,0.12862326672364122,0.12862194885054296,-2.4597808307991187e-06,0.0,0.024307177739348734,0.016782824536998215,-0.0004189160269806886,0.0,0.0,0.0,8.371868923089824,-2.031133727164318,-0.10149263612958487,8.0,-3.0,0.0,0.0,0.0,0.0,8.0,-3.0,-0.42,-1.4325862187466864e-17,-2.153843937340869e-10,-0.013000179617809027,1.7146632244231778e-12,0.35000000293254124,0.17699981458338068,7.43230563763335,3.0000000000391935,1.828218245676189,0.04647677775666459,0.07497289406516305,0.11095384970493671,8.0,-3.0,0.0,0.3718689230898242,0.9688662728356818,-0.10149263612958487,0.0,0.0,0.0,0.3718689230898242,0.9688662728356818,-0.10149263612958487,-0.02430717795473313,-0.01678282453699823,0.013419095644789715,0.016272230073809624,0.04453415796160698,-0.0030280393548309803,7.478782415390015,3.0749728941043566,1.9391720953811258,8.0685297925949,3.0749728941043566,0.5318664550327681,0.461118819930987,-0.9131062902991061,0.2022262156810537,0.49308751172236676,-0.9131062902991061,0.10193485265929508,42.420647836011426,-3.1800223120353053,166.57935216398857,173.1800223120353,211.02916490053394,173.59251034239588,-2.0291649005339423,-3.592510342395883,1.0427315597923676,0.0,1.0427315597923676,1.0427315597923665,1.042731559792367,0.14174548486457775
1790152105.9784088,True,True,True,True,True,,MAPPED_EXACT,0,MAPPED_EXACT,0,50.472,1790152106.2984147,0.04800000000000182,0.32505059242248535,7.230007171630859,0.030103683471679688,171,172,8.31689167022705,0.4524577260017395,209.0,170.0,209.0,170.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,4.8990811407634275e-12,0.12859364916075935,-0.1285936491558603,1790152105.9784088,INTERPOLATED,50.136,50.156,1790152105.9624193,1790152105.982401,0.8002123876910594,0.01998162269592285,1790152105.9784088,INTERPOLATED,50.136,50.156,1790152105.9624193,1790152105.982401,0.8002123876910594,0.01998162269592285,1790152105.9784088,INTERPOLATED,1790152105.9645069,1790152105.988507,1790152105.9645069,1790152105.988507,0.5792438210283716,0.024000167846679688,1790152105.9784088,INTERPOLATED,1790152105.9685068,1790152105.988507,1790152105.9685068,1790152105.988507,0.4950945915338491,0.020000219345092773,0,0,DIRECT_TIMESTAMP,0.0,0.0,DIRECT_TIMESTAMP,1,False,False,50.152,50.2,1790152105.9784088,1790152106.0263925,1790152106.0079806,1790152106.0454943,1790152106.0454943,1790152106.0840135,1790152106.0840487,1790152106.0848076,1790152106.3035347,0.21839624000131153,0.10560464859008789,0.10563993453979492,0.0007588863372802734,0.32512593269348145,0.12858694506113233,5,2,1,0.1326102316379547,1,-0.025829035921334193,-0.012896551116611914,0.012163618299732629,0.9979336166548269,0.00031716786171446723,0.00011176919412032931,0.06425249926977059,0.9978026747703552,3.493983314478699e-12,-2.211453459591284e-12,0.06625653803348541,-0.0006186599788503138,-0.0002638505621366276,-0.1285935085288282,0.1285953465733236,0.12859364916075935,-6.704099627025117e-06,0.0,0.0258290357059498,0.0128965511166119,0.0008365613180763981,0.0,0.0,0.0,8.371591040842077,-2.0277832666782576,-0.10322100321706434,8.0,-3.0,0.0,0.0,0.0,0.0,8.0,-3.0,-0.42,-1.4325862187466864e-17,-2.153843937340869e-10,-0.013000179617809027,1.7146632244231778e-12,0.35000000293254124,0.17699981458338068,7.43230563763335,3.0000000000391935,1.828218245676189,0.047701533997509316,0.07547646430337895,0.11127141652182959,8.0,-3.0,0.0,0.37159104084207684,0.9722167333217424,-0.10322100321706434,0.0,0.0,0.0,0.37159104084207684,0.9722167333217424,-0.10322100321706434,-0.025829035921334193,-0.012896551116611914,0.012163618299732629,0.016272230073809624,0.04453415796160698,-0.0030280393548309803,7.480007171630859,3.0754764643425725,1.9394896621980187,8.069793810854632,3.0754764643425725,0.5319224404928447,0.46087470353874416,-0.9164697390301857,0.2040038694977493,0.4932183257461684,-0.9164697390301857,0.10372441506283153,42.53727431391965,-3.250163041626024,166.46272568608035,173.25016304162602,211.02916490053394,173.59251034239588,-2.0291649005339423,-3.592510342395883,1.0459157966538393,0.0,1.0459157966538393,1.04591579665384,1.04591579665384,0.14266555696533506
1790152106.0263925,True,True,True,True,True,,MAPPED_EXACT,0,MAPPED_EXACT,0,50.472,1790152106.2984147,0.0519999999999996,0.27790236473083496,7.2338948249816895,0.027808666229248047,163,172,8.311002731323242,0.449923574924469,210.0,170.0,209.0,170.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,-0.0005734877892871636,0.1276741085068441,-0.12824759629613128,1790152106.0263925,INTERPOLATED,50.196,50.216,1790152106.0228174,1790152106.0424051,0.18251640152391155,0.01958775520324707,1790152106.0263925,INTERPOLATED,50.196,50.216,1790152106.0228174,1790152106.0424051,0.18251640152391155,0.01958775520324707,1790152106.0263925,INTERPOLATED,1790152106.0045068,1790152106.028507,1790152106.0045068,1790152106.028507,0.9118950170865453,0.024000167846679688,1790152106.0263925,INTERPOLATED,1790152106.008507,1790152106.028507,1790152106.008507,1790152106.028507,0.8942731802684596,0.019999980926513672,0,0,DIRECT_TIMESTAMP,0.0,0.0,DIRECT_TIMESTAMP,1,False,False,50.2,50.252,1790152106.0263925,1790152106.0784025,1790152106.0468073,1790152106.0983577,1790152106.0983577,1790152106.1850433,1790152106.1850982,1790152106.186032,1790152106.3043585,0.11807969999790657,0.15865087509155273,0.1587057113647461,0.0009338855743408203,0.2779660224914551,0.12767101048983276,5,2,1,0.1326102316379547,1,-0.02663439224396195,-0.01110982432920238,0.011550966441527104,0.9979630505203954,0.00032454794894689774,0.00010863721108296384,0.06379367259071991,0.9978026747703552,3.493983314478699e-12,-2.211453459591284e-12,0.06625653803348541,-0.0006339267624703985,-0.0002582851438924742,-0.12824745640854765,0.12824936259356096,0.1276741085068441,-3.0980170113437122e-06,0.0,0.026705806438015692,0.011181482474269434,0.001449062031709818,0.0,0.0,0.0,8.3695854594418,-2.0072881332626786,-0.10398295366933824,8.0,-3.0,0.0,0.0,0.0,0.0,8.0,-3.0,-0.42,7.16581450670546e-05,7.141419405374053e-05,-0.013000028473236922,-0.00012906624923699807,0.35007136480120044,0.1769999564865322,7.433917368338431,2.995483295319572,1.8285609511641787,0.04997745664325848,0.05387021928045144,0.11193673994492714,8.0,-3.0,0.0,0.3695854594418009,0.9927118667373214,-0.10398295366933824,0.0,0.0,0.0,0.3695854594418009,0.9927118667373214,-0.10398295366933824,-0.02663439224396195,-0.01110982432920238,0.011550966441527104,0.016272230073809624,0.04453415796160698,-0.0030280393548309803,7.4838948249816895,3.0493535146000235,1.9404976911091059,8.073806090734564,3.0493535146000235,0.5321001510071537,0.46049159816881424,-0.9375045632906622,0.2047325051642288,0.4929950844092206,-0.9375045632906622,0.1045167804863662,43.24833281588462,-3.2800125539859266,166.75166718411538,173.28001255398593,211.2168180775393,173.59446239690038,-1.2168180775393012,-3.594462396900383,1.0643696335604957,0.0,1.0643696335604957,1.0643696335604962,1.0643696335604962,0.133901383291402
1790152106.1263964,True,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,50.472,1790152106.2984147,0.0519999999999996,0.17889666557312012,7.257296085357666,0.022461414337158203,145,168,8.31674575805664,0.4448567032814026,212.0,170.0,211.5,170.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,-0.007178404359387341,0.12017774080463366,-0.127356145164021,1790152106.1263964,INTERPOLATED,50.296,50.316,1790152106.122406,1790152106.1424165,0.1994161801501251,0.02001047134399414,1790152106.1263964,INTERPOLATED,50.296,50.316,1790152106.122406,1790152106.1424165,0.1994161801501251,0.02001047134399414,1790152106.1263964,INTERPOLATED,1790152106.108507,1790152106.1325068,1790152106.108507,1790152106.1325068,0.7453980111858379,0.023999929428100586,1790152106.1263964,INTERPOLATED,1790152106.108507,1790152106.1325068,1790152106.108507,1790152106.1325068,0.7453980111858379,0.023999929428100586,0,0,DIRECT_TIMESTAMP,0.0,0.0,DIRECT_TIMESTAMP,1,False,False,50.3,50.352,1790152106.1263964,1790152106.178404,1790152106.1512642,1790152106.199964,1790152106.199964,1790152106.2851775,1790152106.2852347,1790152106.2861264,1790152106.305364,0.01894231899495935,0.1587810516357422,0.15883827209472656,0.0008916854858398438,0.17896747589111328,0.12017774350752665,5,2,1,0.1326102316379547,1,-0.027813405926608623,-0.007415357005111747,0.010273676780357472,0.9981951450396216,0.00033579477860506203,0.00012505251610082102,0.06005267706825241,0.9978026747703552,3.493983314478699e-12,-2.211453459591284e-12,0.06625653803348541,-0.0006553800023680995,-0.0002900367957715102,-0.1273559784012107,0.1273580872687213,0.12017774080463366,2.7028929927563894e-09,0.0,0.02871024581714661,0.008309509351317515,0.0027263459084354846,0.0,0.0,0.0,8.37163934485208,-2.01782272701759,-0.1066495656742093,8.0,-3.0,0.0,0.0,0.0,0.0,8.0,-3.0,-0.42,0.0008941523462057671,0.0008968398905379869,-0.013000022688792957,-0.0016182730073210569,0.3508878316161257,0.1769999600211602,7.452297464328714,2.943396519389105,1.8324678435158073,0.054998621028952144,0.05987581133040365,0.11409755602461491,8.0,-3.0,0.0,0.3716393448520794,0.9821772729824101,-0.1066495656742093,0.0,0.0,0.0,0.3716393448520794,0.9821772729824101,-0.1066495656742093,-0.027813405926608623,-0.007415357005111747,0.010273676780357472,0.016272230073809624,0.04453415796160698,-0.0030280393548309803,7.507296085357666,3.0032723307195086,1.9465653995404222,8.097957525468722,3.0032723307195086,0.5331698580107389,0.4538115822373969,-0.9304645725813869,0.2060409062828794,0.48673307604889615,-0.9304645725813869,0.10718544637524768,42.5615852273271,-3.382396109930994,169.4384147726729,173.382396109931,213.37202158514805,173.6167110420899,-1.3720215851480475,-3.6167110420898894,1.0555387856747587,0.0,1.0555387856747587,1.0555387856747582,1.055538785674759,0.14010072586660832
