time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,trajectory_plan_feasible,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.047054,-0.001629,-0.004661,-0.004638,0.000245,0.004589,0.000315,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,20.001630,20.001630,0.004638,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.665224,1.590224,0.000245,0.004589,0.000315,0.000000,0.000000,0.000000,0.006695,0.027639,-0.000532,0,takeoff,,20.001630,0.004607,0.000246,0,,,
0.061831,-0.001500,-0.003439,-0.004649,0.000374,0.005666,0.000436,20.001186,0.314778,0.014812,0.031252,4.999902,0.234893,CV,0.000000,20.005226,20.005217,0.019461,20.063691,10.314583,0.484598,0.031252,4.999902,0.234893,-0.000000,0.000000,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.665236,1.515224,0.000374,0.005666,0.000436,0.000000,0.000000,0.000000,0.003207,0.026885,0.003015,0,takeoff,,20.005226,4.999832,-0.110545,0,,,
0.111870,-0.001246,-0.001491,-0.004923,0.000795,0.007143,0.000416,20.003919,0.563474,0.026420,0.062518,4.999609,0.232719,CV,-0.124271,20.013165,20.013141,0.031343,20.128955,10.562693,0.491858,0.062518,4.999609,0.232719,-0.000000,0.000000,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.665266,1.440224,0.000795,0.007143,0.000416,0.000000,0.000000,0.000000,0.004683,0.021276,-0.004625,0,takeoff,,20.013165,4.998249,-0.202998,0,,,
0.162045,-0.001027,-0.000325,-0.005257,0.001107,0.007818,0.000182,20.008230,0.813706,0.037938,0.093810,4.999120,0.229109,CV,-0.124556,20.025855,20.025809,0.043196,20.195851,10.811945,0.496157,0.093810,4.999120,0.229109,-0.000000,0.000000,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.665265,1.365224,0.001107,0.007818,0.000182,0.000000,0.000000,0.000000,0.008464,0.018690,-0.002761,0,takeoff,,20.025855,4.997409,-0.296011,0,,,
0.211948,-0.000696,0.001138,-0.005722,0.001515,0.008813,0.000222,20.014119,1.062328,0.049152,0.125143,4.998434,0.224087,CTRV,-0.124621,20.043003,20.042927,0.054874,21.501206,10.924983,0.497326,1.354237,4.813111,0.224087,0.599815,-0.168766,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.665276,1.290224,0.001515,0.008813,0.000222,0.000000,0.000000,0.000000,0.005395,0.017097,0.002374,0,takeoff,,20.043003,4.996170,-0.388246,0,,,
0.261764,-0.000539,0.002038,-0.006107,0.001631,0.009381,0.000136,20.021570,1.312730,0.060144,0.156530,4.997549,0.217684,CTRV,-0.125035,20.065073,20.064963,0.066251,21.574616,11.165040,0.495512,1.388414,4.803364,0.217684,0.600589,-0.173600,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.665283,1.215224,0.001631,0.009381,0.000136,0.000000,0.000000,0.000000,0.003298,0.010039,-0.003217,0,takeoff,,20.065073,4.995312,-0.481123,0,,,
0.311832,-0.000484,0.003184,-0.006917,0.001887,0.010147,-0.000245,20.030565,1.562242,0.070729,0.187985,4.996465,0.209938,CTRV,-0.125162,20.091780,20.091630,0.077646,21.646841,11.404323,0.490606,1.419842,4.794168,0.209938,0.600049,-0.177711,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.665281,1.140224,0.001887,0.010147,-0.000245,0.000000,0.000000,0.000000,0.001433,0.007530,-0.008496,0,takeoff,,20.091780,4.994214,-0.573270,0,,,
0.361843,-0.000567,0.003726,-0.007443,0.001983,0.010396,-0.000605,20.041199,1.813134,0.080937,0.219520,4.995179,0.200899,CTRV,-0.125572,20.123473,20.123278,0.088379,21.723565,11.643960,0.482734,1.453994,4.783921,0.200899,0.600725,-0.182581,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.665296,1.065224,0.001983,0.010396,-0.000605,0.000000,0.000000,0.000000,0.002304,0.003358,-0.010986,0,takeoff,,20.123473,4.993595,-0.665747,0,,,
0.411733,-0.000857,0.004125,-0.008265,0.001948,0.010288,-0.000889,20.053300,2.061519,0.090548,0.251151,4.993688,0.190620,CTRV,-0.125468,20.159659,20.159417,0.098813,21.796878,11.881718,0.471788,1.483268,4.774926,0.190620,0.599099,-0.186102,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.665279,0.990224,0.001948,0.010288,-0.000889,0.000000,0.000000,0.000000,-0.000892,-0.004255,-0.003693,0,takeoff,,20.159659,4.993302,-0.757418,0,,,
0.461758,-0.001157,0.004151,-0.008851,0.001955,0.009989,-0.000937,20.067131,2.312573,0.099706,0.282890,4.991991,0.179166,CTRV,-0.126228,20.200910,20.200618,0.108557,21.880496,12.119801,0.458039,1.520834,4.763094,0.179166,0.601234,-0.191971,0.000000,2.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.665243,0.915224,0.001955,0.009989,-0.000937,0.000000,0.000000,0.000000,0.000565,-0.011780,0.001039,0,takeoff,,20.200910,4.993166,-0.849368,0,,,
