time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.048809,-0.012731,0.003375,0.045551,-0.003970,0.000940,0.000268,20.001024,0.288784,0.013591,0.031252,4.999902,0.234893,CV,0.000000,20.015816,20.015790,-0.031960,20.063528,10.288588,0.483377,0.031252,4.999902,0.234893,-0.000000,0.000000,0.000000,2.000000,-0.003970,0.000940,0.000268,0.000000,0.000000,0.000000,0.015096,0.003327,0.002336,0,takeoff,,20.015816,5.004589,-0.106125,0,,,
0.098896,-0.011088,0.003343,0.045689,-0.003068,0.000855,0.000467,20.003608,0.538580,0.025262,0.062518,4.999609,0.232719,CV,-0.124700,20.021862,20.021852,-0.020427,20.128644,10.537798,0.490699,0.062518,4.999609,0.232719,-0.000000,0.000000,0.000000,2.000000,-0.003068,0.000855,0.000467,0.000000,0.000000,0.000000,0.013837,0.002078,0.002755,0,takeoff,,20.021862,5.004576,-0.198955,0,,,
0.148974,-0.010146,0.003362,0.045695,-0.002688,0.000792,0.000415,20.007756,0.788474,0.036782,0.093810,4.999120,0.229109,CV,-0.124636,20.033295,20.033293,-0.008913,20.195377,10.786714,0.495001,0.093810,4.999120,0.229109,-0.000000,0.000000,0.000000,2.000000,-0.002688,0.000792,0.000415,0.000000,0.000000,0.000000,0.009225,-0.001664,-0.002886,0,takeoff,,20.033295,5.004488,-0.292208,0,,,
0.198847,-0.009101,0.003232,0.045612,-0.002062,0.000712,0.000197,20.013489,1.038353,0.048077,0.125143,4.998434,0.224087,CTRV,-0.125038,20.049328,20.049328,0.002465,21.504665,10.900215,0.496252,1.358254,4.811979,0.224087,0.601682,-0.169834,0.000000,2.000000,-0.002062,0.000712,0.000197,0.000000,0.000000,0.000000,0.009731,-0.001151,-0.004076,0,takeoff,,20.049328,5.004351,-0.385089,0,,,
0.248892,-0.008544,0.003119,0.045592,-0.001983,0.000673,0.000169,20.020773,1.288300,0.059080,0.156530,4.997549,0.217684,CTRV,-0.125165,20.070511,20.070507,0.013488,21.575092,11.140354,0.494448,1.389663,4.803003,0.217684,0.601168,-0.173937,0.000000,2.000000,-0.001983,0.000673,0.000169,0.000000,0.000000,0.000000,-0.001433,-0.000434,-0.003131,0,takeoff,,20.070511,5.004119,-0.478301,0,,,
0.298860,-0.008007,0.002782,0.045523,-0.001907,0.000187,-0.000101,20.029637,1.538377,0.069726,0.187985,4.996465,0.209938,CTRV,-0.125414,20.096413,20.096399,0.024203,21.648376,11.379947,0.489603,1.422258,4.793452,0.209938,0.601167,-0.178371,0.000000,2.000000,-0.001907,0.000187,-0.000101,0.000000,0.000000,0.000000,0.000188,-0.013350,-0.001653,0,takeoff,,20.096413,5.004295,-0.571362,0,,,
0.348802,-0.007855,0.002434,0.045458,-0.002114,-0.000020,-0.000167,20.040049,1.787722,0.079914,0.219520,4.995179,0.200899,CTRV,-0.125570,20.127268,20.127239,0.034457,21.722397,11.618552,0.481712,1.453976,4.783927,0.200899,0.600717,-0.182576,0.000000,2.000000,-0.002114,-0.000020,-0.000167,0.000000,0.000000,0.000000,-0.003664,-0.003803,-0.004056,0,takeoff,,20.127268,5.004155,-0.664178,0,,,
0.398830,-0.007919,0.001842,0.045301,-0.002486,-0.000394,-0.000302,20.051937,2.035075,0.089539,0.251151,4.993688,0.190620,CTRV,-0.125545,20.162684,20.162636,0.044238,21.796274,11.855106,0.470779,1.484011,4.774695,0.190620,0.599441,-0.186311,0.000000,2.000000,-0.002486,-0.000394,-0.000302,0.000000,0.000000,0.000000,-0.008408,-0.010464,-0.001051,0,takeoff,,20.162684,5.004162,-0.756373,0,,,
0.448920,-0.008122,0.001327,0.045228,-0.002902,-0.000865,-0.000505,20.065546,2.285214,0.098724,0.282890,4.991991,0.179166,CTRV,-0.125957,20.203246,20.203175,0.053496,21.876272,12.093045,0.457057,1.518251,4.763918,0.179166,0.600047,-0.191234,0.000000,2.000000,-0.002902,-0.000865,-0.000505,0.000000,0.000000,0.000000,-0.007178,-0.013146,-0.007932,0,takeoff,,20.203246,5.004255,-0.848855,0,,,
0.498871,-0.008582,0.000552,0.044981,-0.003417,-0.001506,-0.000790,20.080844,2.536714,0.107347,0.314753,4.990083,0.166608,CTRV,-0.126650,20.248976,20.248880,0.062365,21.960883,12.331198,0.440563,1.555223,4.751977,0.166608,0.601837,-0.196969,0.000000,2.000000,-0.003417,-0.001506,-0.000790,0.000000,0.000000,0.000000,-0.008726,-0.011109,-0.004537,0,takeoff,,20.248976,5.004520,-0.941370,0,,,
