time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.011887,0.051153,-0.021100,0.036684,-0.001867,-0.001772,0.002103,20.001100,0.301016,0.014166,0.031252,4.999902,0.234893,CV,0.000000,19.952560,19.952547,-0.022518,20.109643,17.666216,0.829975,3.473108,-0.001867,-0.001772,0.002103,0.000000,0.000000,0.000000,0.013318,-0.014151,-0.007084,0,takeoff,,19.952560,5.007198,-0.113600,0,,,
0.061866,0.052004,-0.021530,0.035844,-0.001130,-0.001896,0.001792,20.003775,0.551901,0.025882,0.062518,4.999609,0.232719,CV,-0.124757,19.960012,19.960009,-0.009963,20.224507,18.204040,0.847542,3.530704,-0.001130,-0.001896,0.001792,0.000000,0.000000,0.000000,0.019198,0.000165,-0.008506,0,takeoff,,19.960012,5.007238,-0.207195,0,,,
0.111912,0.052880,-0.021840,0.035032,-0.000365,-0.001902,0.001423,20.008026,0.802863,0.037442,0.093810,4.999120,0.229109,CV,-0.125101,19.972181,19.972181,0.002409,20.344805,18.749655,0.859942,3.589990,-0.000365,-0.001902,0.001423,0.000000,0.000000,0.000000,0.019433,0.000676,-0.009647,0,takeoff,,19.972181,5.007088,-0.300628,0,,,
0.162195,0.054214,-0.022114,0.033827,0.000841,-0.001622,0.001060,20.013779,1.049480,0.048576,0.125143,4.998434,0.224087,CTRV,-0.124972,19.988316,19.988311,0.014749,24.577330,21.804017,1.003983,4.263547,0.000841,-0.001622,0.001060,0.000000,0.000000,0.000000,0.015635,0.003432,-0.005890,0,takeoff,,19.988316,5.006571,-0.392346,0,,,
0.211894,0.055336,-0.022087,0.032786,0.001739,-0.001087,0.000866,20.021225,1.302209,0.059686,0.156530,4.997549,0.217684,CTRV,-0.125405,20.009778,20.009760,0.026900,24.832879,22.383587,1.004086,4.338403,0.001739,-0.001087,0.000866,0.000000,0.000000,0.000000,0.015642,0.014885,-0.002331,0,takeoff,,20.009778,5.005730,-0.485565,0,,,
0.262246,0.056127,-0.021864,0.031985,0.002309,-0.000536,0.000692,20.030046,1.548926,0.070169,0.187985,4.996465,0.209938,CTRV,-0.125191,20.035626,20.035589,0.038184,25.069279,22.945391,0.996028,4.410144,0.002309,-0.000536,0.000692,0.000000,0.000000,0.000000,0.011384,0.016537,-0.003043,0,takeoff,,20.035626,5.004825,-0.577267,0,,,
0.312099,0.056941,-0.021516,0.031240,0.003005,0.000115,0.000442,20.040648,1.800992,0.080448,0.219520,4.995179,0.200899,CTRV,-0.125837,20.066701,20.066641,0.049209,25.350959,23.536657,0.982288,4.489029,0.003005,0.000115,0.000442,0.000000,0.000000,0.000000,0.017798,0.016385,-0.008736,0,takeoff,,20.066701,5.003771,-0.669775,0,,,
0.362353,0.058377,-0.020911,0.030061,0.003989,0.000933,0.000199,20.052784,2.051547,0.090168,0.251151,4.993688,0.190620,CTRV,-0.125798,20.101618,20.101528,0.060107,25.612524,24.117089,0.960384,4.565186,0.003989,0.000933,0.000199,0.000000,0.000000,0.000000,0.015685,0.012503,-0.004276,0,takeoff,,20.101618,5.002495,-0.761162,0,,,
0.412333,0.059364,-0.020575,0.029380,0.004760,0.001374,-0.000022,20.066480,2.301385,0.099304,0.282890,4.991991,0.179166,CTRV,-0.126389,20.141526,20.141405,0.069924,25.909905,24.711075,0.931748,4.646204,0.004760,0.001374,-0.000022,0.000000,0.000000,0.000000,0.016801,0.010756,-0.004535,0,takeoff,,20.141526,5.001572,-0.852226,0,,,
0.461714,0.060640,-0.020262,0.028549,0.005618,0.001776,-0.000206,20.081588,2.548303,0.107734,0.314753,4.990083,0.166608,CTRV,-0.126521,20.185196,20.185041,0.079184,26.195672,25.295249,0.895025,4.725409,0.005618,0.001776,-0.000206,0.000000,0.000000,0.000000,0.010242,0.004295,-0.004583,0,takeoff,,20.185196,5.000660,-0.942036,0,,,
0.512718,0.061956,-0.020142,0.027749,0.006431,0.002066,-0.000408,20.098754,2.802082,0.115726,0.346753,4.987962,0.153023,CTRV,-0.127140,20.234771,20.234579,0.087977,26.515559,25.904846,0.851807,4.810278,0.006431,0.002066,-0.000408,0.000000,0.000000,0.000000,0.016111,0.001873,-0.001310,0,takeoff,,20.234771,4.999851,-1.033062,0,,,
