time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,camera_measurement_valid,camera_x,camera_y,camera_z,camera_position_error,camera_confidence,kf_state_valid,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,kf_position_error,kf_state_age,guidance_prediction_0p5_x,guidance_prediction_0p5_y,guidance_prediction_0p5_z,guidance_prediction_0p5_error,guidance_prediction_0p5_age,guidance_prediction_1p0_x,guidance_prediction_1p0_y,guidance_prediction_1p0_z,guidance_prediction_1p0_error,guidance_prediction_1p0_age,guidance_prediction_2p0_x,guidance_prediction_2p0_y,guidance_prediction_2p0_z,guidance_prediction_2p0_error,guidance_prediction_2p0_age,kf_prediction_0p5_x,kf_prediction_0p5_y,kf_prediction_0p5_z,kf_prediction_0p5_error,kf_prediction_0p5_age,kf_prediction_1p0_x,kf_prediction_1p0_y,kf_prediction_1p0_z,kf_prediction_1p0_error,kf_prediction_1p0_age,kf_prediction_2p0_x,kf_prediction_2p0_y,kf_prediction_2p0_z,kf_prediction_2p0_error,kf_prediction_2p0_age,prediction_model,estimated_turn_rate,estimated_turn_acceleration,estimated_longitudinal_acceleration,control_dt,retained_plan_age,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,trajectory_planner,minco_target_curve_weight,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.027261,0.005911,-0.002982,0.051209,0.017443,-0.001318,0.000274,8.000001,0.009335,0.027736,0.000019,0.100000,0.232719,1,7.998231,1.060868,0.181466,1.062712,1.000000,1,8.000908,1.045977,0.174853,0.019675,-0.009380,-0.006571,1.047029,0.030649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050010,0.000000,7.994134,7.994100,-0.023473,8.000027,0.149306,0.353474,0.000019,0.100000,0.232719,0.000000,0.000000,0.000000,1.399707,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132314,0.082314,0.000000,0.000000,-0.049736,-0.348783,0.026358,-1.000000,0.009241,-0.000808,0.002784,0,takeoff,,7.994134,0.254164,0.017950,0,,,
0.077350,0.006861,-0.003264,0.052154,0.017860,-0.001241,0.000750,8.000004,0.017731,0.039188,0.000056,0.150000,0.229109,1,7.995197,1.060011,0.209520,1.056117,1.000000,1,8.001207,1.049029,0.176095,0.018740,-0.004570,-0.004425,1.040347,0.030623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050041,0.000000,7.993181,7.993170,-0.012966,8.000083,0.227679,0.359862,0.000056,0.150000,0.229109,0.000000,0.000000,0.000000,1.399659,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132325,0.032314,0.000000,0.000000,-0.099777,0.000000,0.000000,-1.000000,0.011177,0.003401,0.013848,0,takeoff,,7.993181,0.274479,0.017777,0,,,
0.127377,0.008234,-0.003528,0.053112,0.018682,-0.001059,0.001130,8.000010,0.028659,0.050452,0.000125,0.200000,0.224087,1,7.995407,1.059945,0.210901,1.043703,1.000000,1,8.000800,1.051178,0.183087,0.016909,-0.001330,0.005405,1.031086,0.030684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049978,0.000000,7.991841,7.991841,-0.002660,8.000185,0.308577,0.364083,0.000125,0.200000,0.224087,0.000000,0.000000,0.000000,1.399592,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132372,0.004032,0.000000,0.000000,-0.149755,0.000000,0.000000,-1.000000,0.013005,0.002677,0.007228,0,takeoff,,7.991841,0.300797,0.017821,0,,,
0.177355,0.009207,-0.003675,0.053592,0.019026,-0.000864,0.001435,8.000022,0.041990,0.061312,0.000234,0.250000,0.217684,0,,,,,,1,8.000518,1.052881,0.188947,0.015367,0.001088,0.013044,1.018918,0.030382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,-0.006210,0.000000,0.198718,0.050009,0.000000,7.990949,7.990945,0.007719,8.000350,0.391876,0.365971,0.000234,0.250000,0.217684,0.000000,0.000000,0.000000,1.399547,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132380,0.005720,0.000000,0.000000,-0.199764,0.000000,0.000000,-1.000000,0.005245,0.003402,0.010293,0,takeoff,,7.990949,0.331737,0.017149,0,,,
0.227378,0.010662,-0.003896,0.054222,0.019445,-0.000648,0.001776,8.000042,0.058014,0.071957,0.000394,0.300000,0.209938,1,8.003803,1.060644,0.238845,1.016431,1.000000,1,8.001286,1.052936,0.189599,0.015367,0.001088,0.013044,1.001853,0.030635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,-0.006547,-0.005441,0.360562,0.049993,0.000000,7.989639,7.989620,0.017736,8.000593,0.477858,0.365762,0.000394,0.300000,0.209938,0.000000,0.000000,0.000000,1.399482,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132394,0.007755,0.000000,0.000000,-0.249757,0.000000,0.000000,-1.000000,0.002819,0.003100,0.006767,0,takeoff,,7.989639,0.366174,0.016259,0,,,
0.277472,0.011465,-0.003956,0.054562,0.019658,-0.000491,0.001905,8.000073,0.076387,0.081996,0.000613,0.349999,0.200899,1,8.000993,1.088051,0.239130,1.023795,1.000000,1,8.002556,1.054638,0.200766,0.016054,0.003343,0.027427,0.985438,0.030712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.007072,-0.008652,0.486093,0.050015,0.000000,7.989059,7.989012,0.027434,8.007753,0.880240,0.363144,0.012344,0.716046,0.200899,0.011798,0.119749,0.000000,1.399453,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132398,0.010064,0.000000,0.000000,-0.299772,0.000000,0.000000,-1.000000,0.007508,0.001600,0.004004,0,takeoff,,7.989059,0.403491,0.014836,0,,,
0.327342,0.012472,-0.003880,0.054908,0.019905,-0.000257,0.002090,8.000118,0.097363,0.091630,0.000900,0.399999,0.190620,1,7.995810,1.087362,0.266754,1.005379,1.000000,1,8.003006,1.061504,0.209771,0.015568,0.012539,0.037905,0.971357,0.030272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.007829,-0.012796,0.590890,0.049937,0.000000,7.988373,7.988288,0.036722,8.011228,1.038838,0.358388,0.018146,0.844891,0.190620,0.017889,0.145446,0.000000,1.399419,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132426,0.012681,0.000000,0.000000,-0.349708,0.000000,0.000000,-1.000000,0.000856,0.008193,0.001009,0,takeoff,,7.988373,0.442843,0.013064,0,,,
0.377357,0.013166,-0.003707,0.055247,0.020092,0.000164,0.002240,8.000182,0.120592,0.100597,0.001266,0.449998,0.179166,1,7.998543,1.115901,0.266997,1.009124,1.000000,1,8.002383,1.067022,0.222423,0.013636,0.019275,0.052719,0.954241,0.030307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.008651,-0.014253,0.670341,0.050061,0.000000,7.988111,7.987983,0.045350,8.014425,1.183325,0.351324,0.023038,0.954653,0.179166,0.022499,0.164908,0.000000,1.399406,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132439,0.015569,0.000000,0.000000,-0.399770,0.000000,0.000000,-1.000000,0.006978,0.010740,0.008787,0,takeoff,,7.988111,0.483744,0.010820,0,,,
0.427505,0.014327,-0.003178,0.055966,0.020404,0.000954,0.002699,8.000268,0.146623,0.109067,0.001719,0.499997,0.166608,1,7.991877,1.143432,0.294662,1.013975,1.000000,1,8.002336,1.076844,0.233060,0.012628,0.031558,0.063822,0.938451,0.030901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.009635,-0.017325,0.737663,0.049996,0.000000,7.987523,7.987347,0.053100,8.018639,1.322735,0.342214,0.029675,1.055217,0.166608,0.029055,0.181274,0.000000,1.399376,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132461,0.018768,0.000000,0.000000,-0.449766,0.000000,0.000000,-1.000000,0.006472,0.015633,0.005895,0,takeoff,,7.987523,0.525604,0.008232,0,,,
0.478162,0.014999,-0.002707,0.056340,0.020359,0.001424,0.002872,8.000385,0.175487,0.116940,0.002269,0.549995,0.153023,1,7.986622,1.171240,0.295123,1.011664,1.000000,1,8.001102,1.090077,0.246965,0.010023,0.047835,0.078783,0.923787,0.031414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.010678,-0.018757,0.790940,0.050561,0.000000,7.987603,7.987374,0.060600,8.022772,1.455932,0.331077,0.035727,1.145208,0.153023,0.034495,0.194183,0.000000,1.399380,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132489,0.022325,0.000000,0.000000,-0.500327,0.000000,0.000000,-1.000000,-0.000108,0.013505,0.008287,0,takeoff,,7.987603,0.569037,0.004708,0,,,
