time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.025948,0.074330,-0.009734,-0.002678,0.004458,0.008234,0.005674,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.925672,19.925672,0.002678,20.000000,0.000000,0.000000,2.587750,0.004458,0.008234,0.005674,0.000000,0.000000,0.000000,-0.000870,-0.018583,0.002805,0,takeoff,,19.925672,0.010949,0.004463,0,,,
0.075675,0.074749,-0.010964,-0.002142,0.004723,0.007306,0.005705,20.000000,0.398514,0.018746,0.000000,5.000000,0.234893,19.929470,19.929459,0.020888,20.000000,17.716625,0.832327,3.463622,0.004723,0.007306,0.005705,0.000000,0.000000,0.000000,0.004121,-0.019172,-0.000768,0,takeoff,,19.929470,4.997954,-0.098100,0,,,
0.125867,0.075097,-0.011812,-0.001640,0.004956,0.006593,0.005807,20.000000,0.649196,0.030409,0.000000,5.000000,0.232719,19.935891,19.935865,0.032049,20.000000,18.160363,0.845444,3.502233,0.004956,0.006593,0.005807,0.000000,0.000000,0.000000,0.009955,-0.019100,0.001622,0,takeoff,,19.935891,4.998563,-0.160976,0,,,
0.175699,0.075775,-0.013101,-0.000638,0.005376,0.005671,0.005891,20.000000,0.897090,0.041757,0.000000,5.000000,0.229109,19.945050,19.945005,0.042395,20.000000,18.603838,0.853113,3.541350,0.005376,0.005671,0.005891,0.000000,0.000000,0.000000,0.007334,-0.012576,0.004892,0,takeoff,,19.945050,4.999317,-0.223020,0,,,
0.225786,0.076298,-0.013766,0.000182,0.005814,0.005216,0.006123,20.000000,1.148784,0.053021,0.000000,5.000000,0.224087,19.957661,19.957591,0.052839,20.000000,19.058409,0.855685,3.581925,0.005814,0.005216,0.006123,0.000000,0.000000,0.000000,0.009460,-0.010919,0.005421,0,takeoff,,19.957661,4.999541,-0.285723,0,,,
0.275892,0.077145,-0.014541,0.001437,0.006383,0.004524,0.006609,20.000000,1.398911,0.063886,0.000000,5.000000,0.217684,19.973029,19.972932,0.062449,20.000000,19.514603,0.852585,3.623138,0.006383,0.004524,0.006609,0.000000,0.000000,0.000000,0.009558,-0.015000,0.011816,0,takeoff,,19.973029,4.999937,-0.347813,0,,,
0.325832,0.077728,-0.014942,0.002356,0.006862,0.004307,0.006804,20.000000,1.647849,0.074306,0.000000,5.000000,0.209938,19.991673,19.991543,0.071950,20.000000,19.973108,0.843742,3.665052,0.006862,0.004307,0.006804,0.000000,0.000000,0.000000,0.011262,-0.000960,0.003755,0,takeoff,,19.991673,4.999826,-0.409406,0,,,
0.375748,0.078543,-0.015194,0.003721,0.007575,0.004263,0.007056,20.000000,1.898356,0.084336,0.000000,5.000000,0.200899,20.013311,20.013149,0.080615,20.000000,20.438745,0.829283,3.708078,0.007575,0.004263,0.007056,0.000000,0.000000,0.000000,0.012587,-0.001617,0.003791,0,takeoff,,20.013311,4.999502,-0.470902,0,,,
0.425908,0.079020,-0.015130,0.004472,0.008016,0.004548,0.007220,20.000000,2.149223,0.093857,0.000000,5.000000,0.190620,20.038409,20.038210,0.089385,20.000000,20.909622,0.809079,3.752080,0.008016,0.004548,0.007220,0.000000,0.000000,0.000000,0.012048,0.008627,0.004410,0,takeoff,,20.038409,4.998824,-0.532409,0,,,
0.475806,0.079689,-0.014769,0.005321,0.008532,0.004848,0.007273,20.000000,2.399129,0.102761,0.000000,5.000000,0.179166,20.066270,20.066033,0.097440,20.000000,21.382760,0.783007,3.796726,0.008532,0.004848,0.007273,0.000000,0.000000,0.000000,0.012100,0.006275,0.003901,0,takeoff,,20.066270,4.998116,-0.593263,0,,,
