time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,camera_measurement_valid,camera_x,camera_y,camera_z,camera_position_error,camera_confidence,kf_state_valid,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,kf_position_error,kf_state_age,guidance_prediction_0p5_x,guidance_prediction_0p5_y,guidance_prediction_0p5_z,guidance_prediction_0p5_error,guidance_prediction_0p5_age,guidance_prediction_1p0_x,guidance_prediction_1p0_y,guidance_prediction_1p0_z,guidance_prediction_1p0_error,guidance_prediction_1p0_age,guidance_prediction_2p0_x,guidance_prediction_2p0_y,guidance_prediction_2p0_z,guidance_prediction_2p0_error,guidance_prediction_2p0_age,kf_prediction_0p5_x,kf_prediction_0p5_y,kf_prediction_0p5_z,kf_prediction_0p5_error,kf_prediction_0p5_age,kf_prediction_1p0_x,kf_prediction_1p0_y,kf_prediction_1p0_z,kf_prediction_1p0_error,kf_prediction_1p0_age,kf_prediction_2p0_x,kf_prediction_2p0_y,kf_prediction_2p0_z,kf_prediction_2p0_error,kf_prediction_2p0_age,prediction_model,estimated_turn_rate,estimated_turn_acceleration,estimated_longitudinal_acceleration,control_dt,retained_plan_age,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,trajectory_planner,minco_target_curve_weight,minco_constraint_penalty,minco_optimization_iterations,minco_piece_durations,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.537155,-0.042513,-0.056021,-0.103057,-0.011324,-0.013279,-0.006556,8.000304,0.156212,0.112049,0.001792,0.507408,0.164657,1,7.931578,1.139917,0.132847,0.986323,1.000000,1,7.941681,1.064060,0.093825,-0.016098,0.058652,0.068063,0.909921,0.026634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.009826,-0.016779,0.737982,0.049927,0.000000,8.048492,8.045617,0.215106,8.019029,1.346139,0.342968,0.029988,1.063418,0.164657,0.029021,0.180797,0.000000,1.402425,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135163,0.026391,0.000000,0.000000,-0.554466,0.000000,0.000000,-1.000000,-0.014033,0.010337,-0.004267,0,takeoff,,8.048492,0.548271,-0.031413,0,,,
0.587207,-0.043056,-0.055261,-0.103456,-0.011816,-0.012695,-0.006475,8.000430,0.185570,0.119551,0.002357,0.557452,0.150914,1,7.929603,1.140323,0.132038,0.957458,1.000000,1,7.938889,1.079798,0.103410,-0.018960,0.077101,0.076969,0.896488,0.026218,8.000000,0.003976,0.126337,0.181721,0.550037,,,,,,,,,,,7.956649,0.996918,0.030917,0.817348,0.550037,,,,,,,,,,,BCTRA,-0.010861,-0.018575,0.790780,0.049983,0.000000,8.050180,8.047091,0.223007,8.023348,1.479948,0.331209,0.036343,1.153138,0.150914,0.034802,0.193515,0.000000,1.402509,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135146,0.029945,0.000000,0.000000,-0.604449,0.000000,0.000000,-1.000000,-0.010223,0.006989,0.007113,0,takeoff,,8.050180,0.591641,-0.035579,0,,,
0.637162,-0.043226,-0.054712,-0.103624,-0.011882,-0.012239,-0.006465,8.000590,0.217397,0.126312,0.003029,0.607348,0.136282,1,7.920377,1.195690,0.158667,0.982109,1.000000,1,7.934955,1.102582,0.116054,-0.023259,0.104360,0.089633,0.887675,0.026472,8.000002,0.033266,0.137603,0.184477,0.549854,,,,,,,,,,,7.955823,0.997293,0.029990,0.787096,0.549854,,,,,,,,,,,BCTRA,-0.011914,-0.019278,0.831156,0.050019,0.000000,8.051701,8.048417,0.229936,8.027622,1.607964,0.317459,0.042196,1.233348,0.136282,0.039612,0.203196,0.000000,1.402585,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135134,0.033828,0.000000,0.000000,-0.654468,0.000000,0.000000,-1.000000,0.000957,0.007684,0.000254,0,takeoff,,8.051701,0.635994,-0.039912,0,,,
0.687081,-0.043125,-0.053914,-0.103819,-0.011657,-0.011485,-0.006388,8.000791,0.251666,0.132281,0.003819,0.657393,0.120766,1,7.918632,1.224315,0.158417,0.976462,1.000000,1,7.931263,1.127054,0.126933,-0.026911,0.132165,0.098867,0.878160,0.026431,8.000013,0.065086,0.148058,0.187248,0.549905,,,,,,,,,,,7.953073,1.001552,0.036827,0.757441,0.549905,,,,,,,,,,,BCTRA,-0.013070,-0.021309,0.866161,0.049933,0.000000,8.053180,8.049718,0.236100,8.032941,1.735129,0.301675,0.049739,1.309584,0.120766,0.046244,0.211423,0.000000,1.402659,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135169,0.037983,0.000000,0.000000,-0.704401,0.000000,0.000000,-1.000000,0.001725,0.008896,0.001210,0,takeoff,,8.053180,0.681032,-0.044567,0,,,
0.737586,-0.042972,-0.053346,-0.103953,-0.011391,-0.011024,-0.006252,8.001039,0.288435,0.137440,0.004736,0.707408,0.104514,1,7.912734,1.252275,0.158503,0.968105,1.000000,1,7.927114,1.152893,0.136354,-0.030973,0.160023,0.105356,0.867613,0.026774,8.000082,0.136246,0.166081,0.154865,0.500398,,,,,,,,,,,7.950184,1.009093,0.054291,0.727219,0.500398,,,,,,,,,,,BCTRA,-0.014196,-0.021156,0.891614,0.050059,0.000000,8.054886,8.051269,0.241393,8.037687,1.858596,0.284046,0.055631,1.378638,0.104514,0.050406,0.217411,0.000000,1.402744,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135193,0.042490,0.000000,0.000000,-0.754459,0.000000,0.000000,-1.000000,0.008004,0.012028,0.001766,0,takeoff,,8.054886,0.727099,-0.049908,0,,,
0.787112,-0.042533,-0.052500,-0.104156,-0.010994,-0.010529,-0.005922,8.001342,0.327813,0.141767,0.005788,0.757404,0.087622,1,7.914150,1.281705,0.158326,0.958011,1.000000,1,7.923706,1.180186,0.144482,-0.033674,0.188037,0.109513,0.855906,0.026383,8.000153,0.175529,0.173572,0.155575,0.500034,,,,,,,,,,,7.949978,1.008570,0.054995,0.688184,0.500034,,,,,,,,,,,BCTRA,-0.015410,-0.022869,0.914441,0.050002,0.000000,8.056615,8.052860,0.245923,8.043777,1.982911,0.264687,0.063782,1.445589,0.087622,0.057117,0.222560,0.000000,1.402831,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135209,0.047258,0.000000,0.000000,-0.804461,0.000000,0.000000,-1.000000,0.006334,0.006808,0.005810,0,takeoff,,8.056615,0.773792,-0.055861,0,,,
0.837393,-0.042237,-0.052158,-0.104293,-0.010662,-0.010342,-0.005723,8.001707,0.369648,0.145214,0.006984,0.807363,0.070203,1,7.914150,1.281705,0.158326,0.916344,1.000000,1,7.922022,1.189586,0.149956,-0.033674,0.188037,0.109513,0.823814,0.026813,8.000260,0.217407,0.180055,0.156183,0.500044,,,,,,,,,,,7.946695,1.020846,0.069904,0.657843,0.500044,,,,,,,,,,,BCTRA,-0.016611,-0.022963,0.931776,0.049979,0.000000,8.058859,8.054995,0.249507,8.049542,2.106126,0.243705,0.070724,1.508402,0.070203,0.061907,0.226447,0.000000,1.402943,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135223,0.052414,0.000000,0.000000,-0.854440,0.000000,0.000000,-1.000000,0.006468,0.005438,0.002818,0,takeoff,,8.058859,0.821412,-0.062763,0,,,
0.887584,-0.041890,-0.051918,-0.104442,-0.010518,-0.010126,-0.005636,8.002142,0.414085,0.147770,0.008338,0.857433,0.052311,1,7.914150,1.281705,0.158326,0.872134,1.000000,1,7.920339,1.198985,0.155430,-0.033674,0.188037,0.109513,0.789189,0.026980,8.001039,0.313857,0.185360,0.107051,0.500192,,,,,,,,,,,7.943594,1.035352,0.085826,0.627086,0.500192,,,,,,,,,,,BCTRA,-0.017818,-0.023253,0.945352,0.050066,0.000000,8.061466,8.057519,0.252212,8.055834,2.229686,0.221166,0.078193,1.568460,0.052311,0.067023,0.229353,0.000000,1.403073,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135235,0.057894,0.000000,0.000000,-0.904506,0.000000,0.000000,-1.000000,0.007264,-0.000272,-0.004009,0,takeoff,,8.061466,0.869697,-0.070778,0,,,
0.937235,-0.041696,-0.051916,-0.104555,-0.010493,-0.010102,-0.005481,8.002653,0.460759,0.149401,0.009852,0.907352,0.034149,1,7.894506,1.420697,0.185208,0.966674,1.000000,1,7.913789,1.250847,0.166029,-0.040693,0.249293,0.116897,0.795243,0.026523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.019035,-0.023593,0.956154,0.049947,0.000000,8.064669,8.060669,0.253956,8.062608,2.353515,0.197321,0.086075,1.626248,0.034149,0.072314,0.231525,0.000000,1.403233,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135234,0.063666,0.000000,0.000000,-0.954453,0.000000,0.000000,-1.000000,0.001304,-0.002589,0.008325,0,takeoff,,8.064669,0.918536,-0.079865,0,,,
0.987520,-0.041301,-0.052218,-0.104812,-0.010392,-0.010382,-0.005391,8.003255,0.510357,0.150124,0.011541,0.957310,0.015762,1,7.891989,1.448388,0.185201,0.945258,1.000000,1,7.907953,1.298554,0.174675,-0.046164,0.299992,0.120941,0.794318,0.026931,8.001980,0.429797,0.192563,0.091063,0.500095,,,,,,,,,,,7.938142,1.062947,0.110109,0.557850,0.500095,,,,,,,,,,,BCTRA,-0.020281,-0.024227,0.965470,0.050099,0.000000,8.068231,8.064203,0.254935,8.070088,2.479378,0.172245,0.094752,1.682901,0.015762,0.078220,0.233243,0.000000,1.403412,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.135225,0.069848,0.000000,0.000000,-1.004552,0.000000,0.000000,-1.000000,0.001754,-0.007638,0.000547,0,takeoff,,8.068231,0.968172,-0.090011,0,,,
