time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,camera_measurement_valid,camera_x,camera_y,camera_z,camera_position_error,camera_confidence,kf_state_valid,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,kf_position_error,kf_state_age,guidance_prediction_0p5_x,guidance_prediction_0p5_y,guidance_prediction_0p5_z,guidance_prediction_0p5_error,guidance_prediction_0p5_age,guidance_prediction_1p0_x,guidance_prediction_1p0_y,guidance_prediction_1p0_z,guidance_prediction_1p0_error,guidance_prediction_1p0_age,guidance_prediction_2p0_x,guidance_prediction_2p0_y,guidance_prediction_2p0_z,guidance_prediction_2p0_error,guidance_prediction_2p0_age,kf_prediction_0p5_x,kf_prediction_0p5_y,kf_prediction_0p5_z,kf_prediction_0p5_error,kf_prediction_0p5_age,kf_prediction_1p0_x,kf_prediction_1p0_y,kf_prediction_1p0_z,kf_prediction_1p0_error,kf_prediction_1p0_age,kf_prediction_2p0_x,kf_prediction_2p0_y,kf_prediction_2p0_z,kf_prediction_2p0_error,kf_prediction_2p0_age,prediction_model,estimated_turn_rate,estimated_turn_acceleration,estimated_longitudinal_acceleration,control_dt,retained_plan_age,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,trajectory_planner,minco_target_curve_weight,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.045922,0.031014,0.007366,0.036486,0.005752,-0.000572,0.000987,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,8.027549,1.065603,0.169204,1.079305,1.000000,1,8.031562,1.068100,0.167058,0.004118,0.009861,0.004810,1.081547,0.002040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049992,0.000000,7.969073,7.968989,-0.036486,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.398454,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133278,0.083278,0.000000,0.000000,-0.049005,-0.115053,0.011451,-1.000000,-0.013311,-0.001311,0.009857,0,takeoff,,7.969073,0.005864,0.005748,0,,,
0.095768,0.030588,0.007116,0.037116,0.005084,-0.000839,0.001301,8.000000,0.002980,0.014024,0.000003,0.050000,0.234893,1,8.027102,1.065419,0.169694,1.074124,1.000000,1,8.031051,1.068150,0.167710,0.003071,0.009213,0.005411,1.076648,0.001896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049990,0.000000,7.969446,7.969413,-0.023091,8.000004,0.072904,0.342516,0.000003,0.050000,0.234893,0.000000,0.000000,0.000000,1.398472,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133279,0.033278,0.000000,0.000000,-0.098995,0.000000,0.000000,-1.000000,-0.017773,-0.011439,0.007590,0,takeoff,,7.969446,0.239114,0.005784,0,,,
0.145975,0.029869,0.006766,0.037985,0.004254,-0.001039,0.001468,8.000001,0.008483,0.025753,0.000019,0.100000,0.232719,1,8.026406,1.064899,0.170246,1.066578,1.000000,1,8.030465,1.068082,0.168373,0.001988,0.008439,0.005985,1.069588,0.001963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050071,0.000000,7.970142,7.970132,-0.012232,8.000027,0.148334,0.351212,0.000019,0.100000,0.232719,0.000000,0.000000,0.000000,1.398507,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133243,0.000218,0.000000,0.000000,-0.149066,0.000000,0.000000,-1.000000,-0.009024,-0.002797,0.004066,0,takeoff,,7.970142,0.252396,0.004569,0,,,
0.195876,0.029496,0.006561,0.038518,0.003952,-0.001201,0.001736,8.000003,0.016422,0.037189,0.000056,0.150000,0.229109,1,8.017831,1.077377,0.197647,1.073168,1.000000,1,8.028572,1.069954,0.173272,-0.000940,0.010569,0.012743,1.062668,0.001960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049938,0.000000,7.970514,7.970514,-0.001329,8.000082,0.226201,0.357604,0.000056,0.150000,0.229109,0.000000,0.000000,0.000000,1.398526,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133231,0.001240,0.000000,0.000000,-0.199004,0.000000,0.000000,-1.000000,-0.006557,-0.002908,0.010045,0,takeoff,,7.970514,0.273085,0.003747,0,,,
0.245821,0.028978,0.006325,0.039272,0.003491,-0.001265,0.001918,8.000009,0.026909,0.048492,0.000125,0.200000,0.224087,1,8.016051,1.076732,0.198271,1.060574,1.000000,1,8.026563,1.071529,0.177811,-0.003830,0.012111,0.018489,1.052929,0.001985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049974,0.000000,7.971063,7.971058,0.009219,8.000184,0.306620,0.361890,0.000125,0.200000,0.224087,0.000000,0.000000,0.000000,1.398553,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133221,0.002586,0.000000,0.000000,-0.248978,0.000000,0.000000,-1.000000,-0.011391,-0.003185,0.002616,0,takeoff,,7.971063,0.299797,0.002589,0,,,
0.295983,0.028677,0.006207,0.039875,0.003245,-0.001374,0.002061,8.000020,0.039935,0.059523,0.000234,0.250000,0.217684,0,,,,,,1,8.026371,1.072135,0.178735,-0.003830,0.012111,0.018489,1.039395,0.002141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,-0.006265,0.000000,0.200472,0.050112,0.000000,7.971439,7.971414,0.019648,8.000348,0.389578,0.363969,0.000234,0.250000,0.217684,0.000000,0.000000,0.000000,1.398572,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133197,0.004237,0.000000,0.000000,-0.299090,0.000000,0.000000,-1.000000,-0.001396,-0.008665,0.005592,0,takeoff,,7.971439,0.331196,0.001416,0,,,
0.345827,0.028417,0.006192,0.040848,0.003100,-0.001197,0.002397,8.000038,0.055385,0.070117,0.000394,0.300000,0.209938,1,8.021429,1.076849,0.226345,1.033563,1.000000,1,8.025304,1.073559,0.188127,-0.005116,0.013314,0.030926,1.025302,0.001404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,-0.006572,-0.004905,0.360172,0.049915,0.000000,7.971827,7.971773,0.029270,8.000589,0.474962,0.363736,0.000394,0.300000,0.209938,0.000000,0.000000,0.000000,1.398591,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133179,0.006176,0.000000,0.000000,-0.349005,0.000000,0.000000,-1.000000,0.000189,0.005515,0.009444,0,takeoff,,7.971827,0.365788,0.000085,0,,,
0.395968,0.028279,0.006296,0.041344,0.003088,-0.001113,0.002606,8.000067,0.073090,0.080138,0.000613,0.349999,0.200899,1,8.017600,1.104425,0.226966,1.041882,1.000000,1,8.023714,1.079584,0.196390,-0.007070,0.021163,0.040765,1.013461,0.002090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.007080,-0.008307,0.484850,0.050007,0.000000,7.972162,7.972068,0.038793,8.007658,0.875537,0.361116,0.012167,0.715012,0.200899,0.011572,0.119550,0.000000,1.398608,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133177,0.008386,0.000000,0.000000,-0.399013,0.000000,0.000000,-1.000000,0.000257,0.001198,0.003860,0,takeoff,,7.972162,0.403244,-0.001431,0,,,
0.445913,0.028077,0.006592,0.041884,0.002964,-0.000911,0.002919,8.000110,0.093832,0.089981,0.000900,0.399999,0.190620,1,8.012760,1.103866,0.254945,1.023495,1.000000,1,8.021502,1.084753,0.208359,-0.009785,0.027168,0.055270,0.998196,0.002240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.007847,-0.012902,0.590830,0.050033,0.000000,7.972655,7.972510,0.048097,8.011245,1.034603,0.356589,0.018210,0.844730,0.190620,0.017981,0.145543,0.000000,1.398633,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133176,0.010950,0.000000,0.000000,-0.449045,0.000000,0.000000,-1.000000,0.001189,0.007824,0.004980,0,takeoff,,7.972655,0.442678,-0.003455,0,,,
0.495803,0.027976,0.007028,0.042171,0.003003,-0.000576,0.003169,8.000170,0.116798,0.099116,0.001266,0.449998,0.179166,1,8.012927,1.132277,0.255269,1.027495,1.000000,1,8.019589,1.094049,0.218908,-0.011865,0.038764,0.066644,0.984758,0.002072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.008700,-0.014763,0.672788,0.049953,0.000000,7.973153,7.972950,0.056945,8.014608,1.180393,0.349709,0.023446,0.956362,0.179166,0.023024,0.165616,0.000000,1.398658,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133183,0.013775,0.000000,0.000000,-0.498998,0.000000,0.000000,-1.000000,0.002164,0.010087,0.006910,0,takeoff,,7.973153,0.483731,-0.005723,0,,,
