measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790061711.6037261,1790061711.6075923,1790061712.1077993,1790061712.1077993,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,38.552,38.552,1790061711.6075923,1790061711.6066196,1790061711.6037261,1790061711.6037261,0.0,-inf,inf,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,55.22439896408939,-7.105591975817474,-0.019026849159875597,nan,nan,nan,nan,nan,0.0038661956787109375
1790061711.703726,1790061711.7086904,1790061712.2050815,1790061712.2050815,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,38.652,38.652,1790061711.7086904,1790061711.7075317,1790061711.703726,1790061711.703726,0.0,1790061712.1711397,1790061712.1871397,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,55.51460213107127,-7.380803251864243,-0.01156036846489331,nan,nan,nan,nan,nan,0.004964351654052734
1790061711.851726,1790061711.8547592,1790061712.3048153,1790061712.3048153,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,38.8,38.8,1790061711.8547592,1790061711.8533726,1790061711.851726,1790061711.851726,0.0,-inf,inf,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,55.94553420006831,-7.787196167249431,-3.542143487908576e-05,nan,nan,nan,nan,nan,0.003033161163330078
1790061711.9027314,1790061711.9027314,1790061712.405311,1790061712.405311,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,38.852,38.852,1790061711.9027314,1790061711.9013503,1790061711.9027314,1790061711.9027314,0.0,-inf,inf,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1790061712.0267315,1790061712.0527852,1790061712.5049527,1790061712.5049527,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,38.952,39.0,1790061712.0095794,1790061712.0527852,1790061712.0027313,1790061712.0507314,0.04800000000000182,1790061712.41087,1790061712.4908702,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,56.45654745849915,-8.265357387495175,0.013524255786250152,nan,nan,nan,nan,nan,0.026053667068481445
1790061712.0767314,1790061712.1111038,1790061712.605108,1790061712.605108,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,39.0,39.052,1790061712.055104,1790061712.1111038,1790061712.0507314,1790061712.1027315,0.0519999999999996,-inf,inf,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,56.60290922761806,-8.401539622979303,0.017254735422551095,nan,nan,nan,nan,nan,0.03437232971191406
1790061712.1767313,1790061712.2076087,1790061712.7078056,1790061712.7078056,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,39.1,39.152,1790061712.1528857,1790061712.2076087,1790061712.1507313,1790061712.2027314,0.0519999999999996,1790061712.611553,1790061712.690944,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030877351760864258
1790061712.2267315,1790061712.248866,1790061712.804501,1790061712.804501,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,39.152,39.2,1790061712.2062228,1790061712.248866,1790061712.2027314,1790061712.2507315,0.04800000000000182,1790061712.7708828,1790061712.7868829,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02213454246520996
1790061712.2767315,1790061712.3071222,1790061712.9064245,1790061712.9064245,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,39.2,39.252,1790061712.2498536,1790061712.3071222,1790061712.2507315,1790061712.3027315,0.0519999999999996,1790061712.7708828,1790061712.8908827,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03039073944091797
1790061712.3767314,1790061712.4071887,1790061713.0051022,1790061713.0051022,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,39.3,39.352,1790061712.3593585,1790061712.4071887,1790061712.3507314,1790061712.4027314,0.0519999999999996,-inf,inf,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030457258224487305
1790061712.4267313,1790061712.4534578,1790061713.1064036,1790061713.1064036,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,39.352,39.4,1790061712.4063418,1790061712.4534578,1790061712.4027314,1790061712.4507315,0.04800000000000182,1790061713.0111713,1790061713.0909507,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.026726484298706055
1790061712.4767315,1790061712.508561,1790061713.2049742,1790061713.2049742,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,39.4,39.452,1790061712.4569097,1790061712.508561,1790061712.4507315,1790061712.5027313,0.0519999999999996,1790061713.0111713,1790061713.1842375,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0318293571472168
1790061712.6027315,1790061712.612695,1790061713.3051038,1790061713.3051038,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,39.552,39.552,1790061712.612695,1790061712.6110146,1790061712.6027315,1790061712.6027315,0.0,1790061713.2510064,1790061713.2909405,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009963512420654297
1790061712.6507313,1790061712.6514826,1790061713.405775,1790061713.405775,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,39.6,39.6,1790061712.6514826,1790061712.650345,1790061712.6507313,1790061712.6507313,0.0,-inf,inf,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0007512569427490234
1790061712.8527315,1790061712.9033601,1790061713.5065994,1790061713.5065994,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,39.752,39.852,1790061712.8092365,1790061712.9033601,1790061712.8027315,1790061712.9027314,0.09999999999999432,1790061713.4511154,1790061713.4909155,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.050628662109375
1790061713.0767314,1790061713.1106744,1790061713.6049626,1790061713.6049626,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,40.0,40.052,1790061713.057397,1790061713.1106744,1790061713.0507314,1790061713.1027315,0.0519999999999996,1790061713.4511154,1790061713.5869155,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,59.574119373263386,-11.078941068742708,0.04688932954520318,nan,nan,nan,nan,nan,0.03394293785095215
1790061713.1767313,1790061713.2097576,1790061713.7068193,1790061713.7068193,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,40.1,40.152,1790061713.1594994,1790061713.2097576,1790061713.1507313,1790061713.2027314,0.0519999999999996,1790061713.6517541,1790061713.690987,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,59.87611020317627,-11.34052480350172,0.04361998238752917,nan,nan,nan,nan,nan,0.03302621841430664
1790061713.3527315,1790061713.4082994,1790061713.8049512,1790061713.8049512,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,40.252,40.352,1790061713.3081677,1790061713.4082994,1790061713.3027315,1790061713.4027314,0.09999999999999432,1790061713.7736,1790061713.7856002,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,60.41164598362077,-11.799021288303978,0.03532237825083057,nan,nan,nan,nan,nan,0.05556797981262207
1790061713.4527314,1790061713.5089011,1790061713.9054523,1790061713.9054523,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,40.352,40.452,1790061713.4102528,1790061713.5089011,1790061713.4027314,1790061713.5027313,0.10000000000000142,1790061713.8510718,1790061713.8910532,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,60.71707697117951,-12.057248235967414,0.0293526625223976,nan,nan,nan,nan,nan,0.056169748306274414
1790061713.5527315,1790061713.605935,1790061714.0044305,1790061714.0044305,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,40.452,40.552,1790061713.5119855,1790061713.605935,1790061713.5027313,1790061713.6027315,0.10000000000000142,-inf,inf,TERMINAL_APPROACH,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,61.023653944458204,-12.31399679802888,0.022661858053309617,nan,nan,nan,nan,nan,0.053203582763671875
