time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.036954,0.011850,0.011146,-0.006162,0.009435,0.002719,-0.002280,20.000000,0.280588,0.013206,0.000000,5.000000,0.234893,19.989975,19.989966,0.019368,20.000000,17.546778,0.824348,3.453238,0.009435,0.002719,-0.002280,0.000000,0.000000,0.000000,-0.018525,-0.000652,-0.002910,0,takeoff,,19.989975,5.002915,-0.058154,0,,,
0.087121,0.010774,0.011065,-0.006343,0.008744,0.002728,-0.002235,20.000000,0.529758,0.024850,0.000000,5.000000,0.232719,19.995978,19.995954,0.031193,20.000000,17.985841,0.837321,3.491217,0.008744,0.002728,-0.002235,0.000000,0.000000,0.000000,-0.020863,-0.001710,0.001235,0,takeoff,,19.995978,5.002800,-0.121255,0,,,
0.136935,0.009194,0.010832,-0.006540,0.007796,0.002634,-0.002449,20.000000,0.781828,0.036475,0.000000,5.000000,0.229109,20.005714,20.005668,0.043015,20.000000,18.435212,0.845386,3.530677,0.007796,0.002634,-0.002449,0.000000,0.000000,0.000000,-0.014187,0.001465,-0.003663,0,takeoff,,20.005714,5.002734,-0.185300,0,,,
0.186819,0.007992,0.010630,-0.006635,0.007128,0.002613,-0.002557,20.000000,1.030101,0.047702,0.000000,5.000000,0.224087,20.018059,20.017985,0.054336,20.000000,18.882066,0.847782,3.570393,0.007128,0.002613,-0.002557,0.000000,0.000000,0.000000,-0.016663,0.000444,-0.003858,0,takeoff,,20.018059,5.002529,-0.248001,0,,,
0.236966,0.005827,0.010289,-0.006692,0.005915,0.002510,-0.002503,20.000000,1.281817,0.058788,0.000000,5.000000,0.217684,20.034671,20.034563,0.065480,20.000000,19.340655,0.845012,3.611767,0.005915,0.002510,-0.002503,0.000000,0.000000,0.000000,-0.019121,-0.003280,0.001236,0,takeoff,,20.034671,5.002342,-0.311989,0,,,
0.286713,0.004428,0.010045,-0.006684,0.005226,0.002541,-0.002410,20.000000,1.529562,0.069340,0.000000,5.000000,0.209938,20.053370,20.053225,0.076024,20.000000,19.795838,0.836299,3.653255,0.005226,0.002541,-0.002410,0.000000,0.000000,0.000000,-0.017313,-0.000850,0.000265,0,takeoff,,20.053370,5.001972,-0.374270,0,,,
0.336897,0.002517,0.009564,-0.006560,0.004377,0.002361,-0.002525,20.000000,1.781844,0.079654,0.000000,5.000000,0.200899,20.076049,20.075864,0.086214,20.000000,20.264560,0.822285,3.696543,0.004377,0.002361,-0.002525,0.000000,0.000000,0.000000,-0.011675,-0.001467,0.003818,0,takeoff,,20.076049,5.001780,-0.437697,0,,,
0.387081,0.001217,0.009168,-0.006339,0.003812,0.002292,-0.002410,20.000000,2.032510,0.089407,0.000000,5.000000,0.190620,20.101104,20.100876,0.095746,20.000000,20.734275,0.802394,3.740353,0.003812,0.002292,-0.002410,0.000000,0.000000,0.000000,-0.014532,-0.002489,0.004411,0,takeoff,,20.101104,5.001436,-0.500187,0,,,
0.436876,-0.000854,0.008306,-0.005641,0.002684,0.001777,-0.002331,20.000000,2.280273,0.098502,0.000000,5.000000,0.179166,20.129750,20.129481,0.104143,20.000000,21.204083,0.776604,3.784762,0.002684,0.001777,-0.002331,0.000000,0.000000,0.000000,-0.019030,-0.012404,0.001906,0,takeoff,,20.129750,5.001518,-0.562402,0,,,
0.486825,-0.002087,0.007691,-0.004974,0.002139,0.001386,-0.002082,20.000000,2.531253,0.107107,0.000000,5.000000,0.166608,20.160962,20.160651,0.112081,20.000000,21.683521,0.745292,3.830454,0.002139,0.001386,-0.002082,0.000000,0.000000,0.000000,-0.012530,-0.009867,0.006602,0,takeoff,,20.160962,5.001460,-0.624495,0,,,
0.536897,-0.003734,0.006749,-0.003821,0.001357,0.000910,-0.001828,20.000000,2.780877,0.115006,0.000000,5.000000,0.153023,20.195526,20.195176,0.118827,20.000000,22.165472,0.708262,3.876919,0.001357,0.000910,-0.001828,0.000000,0.000000,0.000000,-0.013715,-0.009464,0.010496,0,takeoff,,20.195526,5.001488,-0.686260,0,,,
0.586850,-0.004965,0.006005,-0.002902,0.000688,0.000552,-0.001632,20.000000,3.030651,0.122202,0.000000,5.000000,0.138494,20.232715,20.232328,0.125104,20.000000,22.651583,0.665676,3.924186,0.000688,0.000552,-0.001632,0.000000,0.000000,0.000000,-0.016974,-0.009141,0.007693,0,takeoff,,20.232715,5.001411,-0.747568,0,,,
0.636788,-0.007061,0.004822,-0.001283,-0.000665,-0.000061,-0.001080,20.000000,3.280389,0.128644,0.000000,5.000000,0.123111,20.273843,20.273427,0.129927,20.000000,23.143130,0.617708,3.972548,-0.000665,-0.000061,-0.001080,0.000000,0.000000,0.000000,-0.021110,-0.008994,0.005676,0,takeoff,,20.273843,5.001603,-0.809292,0,,,
0.686955,-0.008425,0.004125,-0.000225,-0.001397,-0.000485,-0.000872,20.000000,3.531583,0.134327,0.000000,5.000000,0.106969,20.317434,20.316989,0.134551,20.000000,23.640810,0.564539,4.021845,-0.001397,-0.000485,-0.000872,0.000000,0.000000,0.000000,-0.017154,-0.009409,0.004518,0,takeoff,,20.317434,5.001648,-0.870261,0,,,
0.736882,-0.010325,0.003161,0.001411,-0.002406,-0.000836,-0.000439,20.000000,3.782182,0.139162,0.000000,5.000000,0.090168,20.364506,20.364040,0.137751,20.000000,24.142328,0.506328,4.072029,-0.002406,-0.000836,-0.000439,0.000000,0.000000,0.000000,-0.013275,-0.003960,0.008109,0,takeoff,,20.364506,5.001657,-0.930977,0,,,
0.786707,-0.011618,0.002429,0.002657,-0.003179,-0.001151,-0.000098,20.000000,4.029963,0.143095,0.000000,5.000000,0.072810,20.413369,20.412886,0.140438,20.000000,24.641685,0.443244,4.122344,-0.003179,-0.001151,-0.000098,0.000000,0.000000,0.000000,-0.018424,-0.004259,0.011268,0,takeoff,,20.413369,5.001683,-0.990339,0,,,
0.836877,-0.013628,0.001139,0.004552,-0.004277,-0.001779,0.000265,20.000000,4.281758,0.146205,0.000000,5.000000,0.055004,20.466780,20.466290,0.141653,20.000000,25.154473,0.375823,4.174543,-0.004277,-0.001779,0.000265,0.000000,0.000000,0.000000,-0.019763,-0.009596,0.007222,0,takeoff,,20.466780,5.002080,-1.050681,0,,,
0.886874,-0.014845,0.000298,0.005649,-0.004864,-0.002312,0.000496,20.000000,4.530760,0.148380,0.000000,5.000000,0.036859,20.521683,20.521187,0.142731,20.000000,25.664619,0.304175,4.226772,-0.004864,-0.002312,0.000496,0.000000,0.000000,0.000000,-0.014068,-0.014532,0.003670,0,takeoff,,20.521683,5.002447,-1.109330,0,,,
0.936920,-0.016537,-0.000915,0.007236,-0.005693,-0.002895,0.000818,20.000000,4.780989,0.149652,0.000000,5.000000,0.018486,20.580297,20.579804,0.142416,20.000000,26.182126,0.228779,4.280227,-0.005693,-0.002895,0.000818,0.000000,0.000000,0.000000,-0.016109,-0.007357,0.010344,0,takeoff,,20.580297,5.002929,-1.168099,0,,,
0.986923,-0.017754,-0.001789,0.008325,-0.006432,-0.003484,0.001063,20.000000,5.031130,0.150000,0.000000,5.000000,-0.000000,20.641241,20.640755,0.141675,20.000000,26.702737,0.150000,4.334321,-0.006432,-0.003484,0.001063,0.000000,0.000000,0.000000,-0.015304,-0.012815,0.006024,0,takeoff,,20.641241,5.003488,-1.226221,0,,,
1.036837,-0.019803,-0.003098,0.010069,-0.007535,-0.004125,0.001398,20.000000,5.280398,0.149425,0.000000,5.000000,-0.018486,20.705730,20.705261,0.139356,20.000000,27.226631,0.068283,4.389247,-0.007535,-0.004125,0.001398,0.000000,0.000000,0.000000,-0.019735,-0.009398,0.004838,0,takeoff,,20.705730,5.004170,-1.284058,0,,,
1.087031,-0.021101,-0.003926,0.011214,-0.008137,-0.004473,0.001599,20.000000,5.532043,0.147917,0.000000,5.000000,-0.036859,20.772822,20.772372,0.136703,20.000000,27.758297,-0.015930,4.445251,-0.008137,-0.004473,0.001599,0.000000,0.000000,0.000000,-0.016135,-0.007530,0.006336,0,takeoff,,20.772822,5.004627,-1.341285,0,,,
1.136914,-0.022814,-0.005104,0.012721,-0.008790,-0.004947,0.001814,20.000000,5.780789,0.145517,0.000000,5.000000,-0.055004,20.842439,20.842016,0.132796,20.000000,28.288410,-0.102086,4.501524,-0.008790,-0.004947,0.001814,0.000000,0.000000,0.000000,-0.010354,-0.008797,0.005666,0,takeoff,,20.842439,5.005277,-1.397463,0,,,
1.186894,-0.023948,-0.005949,0.013811,-0.009296,-0.005358,0.002013,20.000000,6.031515,0.142200,0.000000,5.000000,-0.072810,20.914731,20.914337,0.128389,20.000000,28.825674,-0.189731,4.558832,-0.009296,-0.005358,0.002013,0.000000,0.000000,0.000000,-0.015851,-0.007399,0.005987,0,takeoff,,20.914731,5.005926,-1.453339,0,,,
1.237072,-0.025641,-0.007316,0.015509,-0.009905,-0.005893,0.002391,20.000000,6.282542,0.137995,0.000000,5.000000,-0.090168,20.990560,20.990203,0.122486,20.000000,29.368372,-0.278324,4.617166,-0.009905,-0.005893,0.002391,0.000000,0.000000,0.000000,-0.007874,-0.008507,0.005966,0,takeoff,,20.990560,5.006758,-1.508935,0,,,
1.287026,-0.026683,-0.008133,0.016484,-0.010237,-0.006108,0.002595,20.000000,6.530782,0.132992,0.000000,5.000000,-0.106969,21.067487,21.067165,0.116508,20.000000,29.907551,-0.367125,4.675354,-0.010237,-0.006108,0.002595,0.000000,0.000000,0.000000,-0.006778,-0.004591,0.003810,0,takeoff,,21.067487,5.007317,-1.562919,0,,,
1.337047,-0.028143,-0.009108,0.017780,-0.010698,-0.006297,0.002814,20.000000,6.781120,0.127130,0.000000,5.000000,-0.123111,21.148183,21.147900,0.109350,20.000000,30.455370,-0.455781,4.734850,-0.010698,-0.006297,0.002814,0.000000,0.000000,0.000000,-0.011405,-0.004395,0.006292,0,takeoff,,21.148183,5.007892,-1.616895,0,,,
