measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,image_measurement_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,position_source_stamp,position_mapped_stamp,attitude_source_stamp,attitude_mapped_stamp,position_history_start_stamp,position_history_end_stamp,attitude_history_start_stamp,attitude_history_end_stamp,image_clock_offset,image_clock_mapping_mode,image_clock_status,image_clock_reset_count,image_clock_anchor_sim_stamp,image_clock_anchor_system_stamp,image_clock_reference_age,image_clock_sync_quality,image_measurement_time_source,px4_clock_offset,px4_clock_reset_count,px4_clock_calibration_count,px4_clock_recalibration_count,px4_clock_status,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,geometry_diagnostics_enabled,mask_centroid_u,mask_centroid_v,projection_centroid_u,projection_centroid_v,mask_bbox_left,mask_bbox_top,mask_bbox_right,mask_bbox_bottom,valid_depth_count,depth_min,depth_median,depth_mad,camera_fx,camera_fy,camera_cx,camera_cy,camera_translation_x,camera_translation_y,camera_translation_z,camera_pitch_down,surface_camera_x,surface_camera_y,surface_camera_z,center_camera_x,center_camera_y,center_camera_z,target_body_flu_x,target_body_flu_y,target_body_flu_z,interpolated_uav_x,interpolated_uav_y,interpolated_uav_z,interpolated_attitude_w,interpolated_attitude_x,interpolated_attitude_y,interpolated_attitude_z,target_reference_z_offset,gazebo_entity_available,gazebo_entity_clock_status,gazebo_entity_clock_reset_count,gazebo_entity_raw_stamp,gazebo_entity_mapped_stamp,gazebo_entity_center_x,gazebo_entity_center_y,gazebo_entity_center_z,gazebo_entity_reference_x,gazebo_entity_reference_y,gazebo_entity_reference_z,entity_expected_projection_u,entity_expected_projection_v,projection_error_u,projection_error_v,entity_expected_camera_x,entity_expected_camera_y,entity_expected_camera_z,camera_center_error_x,camera_center_error_y,camera_center_error_z,camera_center_error_3d,entity_expected_body_flu_x,entity_expected_body_flu_y,entity_expected_body_flu_z,body_flu_error_x,body_flu_error_y,body_flu_error_z,body_flu_error_3d,vision_to_entity_x,vision_to_entity_y,vision_to_entity_z,vision_to_entity_3d,entity_to_truth_x,entity_to_truth_y,entity_to_truth_z,entity_to_truth_3d,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790148280.9686315,1790148281.030319,1790148281.0641994,1790148281.0642374,front_rgbd_red_sphere,True,True,True,,746.852,746.9,1790148280.9837227,1790148281.030319,1790148280.9686315,1790148281.0166311,1790148280.9686315,0.04800000000000182,1790148280.0120919,1790148281.0241199,1790148281.0241199,1790148281.0241199,1790148281.0281198,1790148281.0281198,1790148280.008092,1790148281.0241199,1790148280.0120919,1790148281.0281198,1790147534.1166315,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,1,746.9,1790148281.0166311,0.003779888153076172,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,UNKNOWN,1.0,528,1.0,6.723762512207031,0.5914697051048279,True,331.0,421.0,331.0,421.0,320,407,343,435,528,5.253670692443848,5.331543684005737,0.04941701889038086,269.9681840122649,269.9681840122649,320.0,240.0,0.35,0.0,-0.05,0.20944,5.331543684005737,-0.21723663748984112,-3.574530125969204,5.581543684005737,-0.22742302300805117,-3.7421424694961147,5.031536033730841,-0.22742302300805117,-4.8708381556893725,2.999552074021055,0.005630320906703492,-5.005160996039553,0.9999976501640742,-0.002020671480550141,-0.0007851816195025464,-6.551495733456332e-06,0.42,True,CLOCK_REFERENCE_READY,1,746.936,1790148281.052642,8.0,0.0,-0.42,8.0,0.0,0.0,318.8174620150933,409.91979438926467,12.182537984906674,11.080205610735334,5.497130024502195,0.02407900429351891,-3.459930683728387,0.08441365950354207,-0.25150202730157006,-0.28221178576772754,0.38732728754089785,5.007642288557429,0.02407900429351891,-4.577242776164119,0.02389374517341203,-0.25150202730157006,-0.2935953795252537,0.38732728754089796,0.023436766660054786,0.25268625605092165,0.2926137413814996,0.3873272875408973,0.0,0.0,0.0,0.0,8.023436766660055,0.25268625605092165,0.2926137413814996,0.021678918047782637,0.021678918047782637,0.021678918047782637,8.0,0.0,0.0,0.023436766660054786,0.25268625605092165,0.2926137413814996,0.25377081398086304,0.3873272875408973,0.061687469482421875
1790148281.0166311,1790148281.143485,1790148281.1640663,1790148281.164101,front_rgbd_red_sphere,True,True,True,,746.9,747.0,1790148281.032343,1790148281.143485,1790148281.0166311,1790148281.116633,1790148281.0166311,0.10000000000002274,1790148280.1280918,1790148281.12812,1790148281.12812,1790148281.12812,1790148281.12812,1790148281.12812,1790148280.1280918,1790148281.12812,1790148280.112092,1790148281.12812,1790147534.116631,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,1,747.0,1790148281.116633,0.00383758544921875,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,UNKNOWN,1.0,527,1.0,6.7946014404296875,0.5890808701515198,True,332.0,420.0,332.0,420.0,320,406,343,434,527,5.318999290466309,5.399383068084717,0.05305624008178711,269.9681840122649,269.9681840122649,320.0,240.0,0.35,0.0,-0.05,0.20944,5.399383068084717,-0.2400008617833019,-3.6000129267495287,5.649383068084717,-0.25111328234862196,-3.7666992352293294,5.092787307146339,-0.25111328234862196,-4.908962928219465,2.998100236569603,0.0057852465251679135,-5.006090997926622,0.9999957784622235,-0.0019691688693713244,-0.002130882487102089,-0.0001573897123903505,0.42,True,CLOCK_REFERENCE_READY,1,747.036,1790148281.153477,8.0,0.0,-0.42,8.0,0.0,0.0,318.91055740922195,408.84247559150754,13.089442590778049,11.157524408492463,5.507977963574805,0.022227159117063137,-3.444778644105672,0.14140510450991162,-0.2733404414656851,-0.32192059112365756,0.44535746037483165,5.021403466465601,0.022227159117063137,-4.564677265055093,0.07138384068073833,-0.2733404414656851,-0.3442856631643716,0.4453574603748317,0.0700044793987189,0.2746725755213748,0.3435078116027182,0.4453574603748314,0.0,0.0,0.0,0.0,8.070004479398719,0.2746725755213748,0.3435078116027182,0.021888023466605688,0.021888023466605688,0.021888023466605688,8.0,0.0,0.0,0.0700044793987189,0.2746725755213748,0.3435078116027182,0.2834530840887624,0.4453574603748314,0.12685394287109375
1790148281.2166486,1790148281.2365246,1790148281.2647624,1790148281.2647998,front_rgbd_red_sphere,True,True,True,,747.1,747.1,1790148281.2365246,1790148281.2346432,1790148281.2166486,1790148281.2166486,1790148281.2166486,0.0,1790148280.228092,1790148281.22412,1790148281.22412,1790148281.22412,1790148281.2281199,1790148281.2281199,1790148280.224092,1790148281.22412,1790148280.228092,1790148281.2281199,1790147534.1166487,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,1,747.1,1790148281.2166486,0.0038115978240966797,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,UNKNOWN,1.0,477,1.0,6.697276592254639,0.5362377166748047,True,332.0,400.0,332.0,400.0,321,387,343,413,477,5.43023681640625,5.507226467132568,0.051609039306640625,269.9681840122649,269.9681840122649,320.0,240.0,0.35,0.0,-0.05,0.20944,5.507226467132568,-0.24479446660495535,-3.2639262213994047,5.757226467132568,-0.25590688717027543,-3.4120918289370055,5.2720012534949205,-0.25590688717027543,-4.584526535763669,2.996162201104176,0.004623948552300506,-5.010448602096789,0.9996189562164502,-0.0016794493585765805,-0.02754439594483565,-0.0006542741174338751,0.42,True,CLOCK_REFERENCE_READY,1,747.132,1790148281.248638,8.0,0.0,-0.42,8.0,0.0,0.0,319.3883204758643,389.6140239942124,12.611679524135695,10.385976005787597,5.677255723706119,0.012863223465307886,-3.1462858379980743,0.07997074342644961,-0.2687701106355833,-0.2658059909389312,0.3863748400119629,5.249042371168773,0.012863223465307886,-4.307902179739944,0.02295888232614729,-0.2687701106355833,-0.27662435602372515,0.3863748400119633,0.008067969117064422,0.2696792267062763,0.2765746545721451,0.3863748400119636,0.0,0.0,0.0,0.0,8.008067969117064,0.2696792267062763,0.2765746545721451,0.021600994323354578,0.021600994323354578,0.021600994323354578,8.0,0.0,0.0,0.008067969117064422,0.2696792267062763,0.2765746545721451,0.2697998840670045,0.3863748400119636,0.01987600326538086
1790148281.268645,1790148281.3353355,1790148281.3653474,1790148281.3653908,front_rgbd_red_sphere,True,True,True,,747.152,747.2,1790148281.2945814,1790148281.3353355,1790148281.268645,1790148281.3171117,1790148281.268645,0.04800000000000182,1790148280.3280919,1790148281.32812,1790148281.32812,1790148281.32812,1790148281.32812,1790148281.32812,1790148280.3280919,1790148281.32812,1790148280.3080919,1790148281.32812,1790147534.116645,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,1,747.2,1790148281.3171117,0.003838777542114258,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,UNKNOWN,1.0,459,1.0,6.733178615570068,0.5197024345397949,True,332.0,394.0,332.0,394.0,321,381,343,406,459,5.520471096038818,5.594176769256592,0.04611492156982422,269.9681840122649,269.9681840122649,320.0,240.0,0.35,0.0,-0.05,0.20944,5.594176769256592,-0.24865937990689052,-3.191128708805095,5.844176769256592,-0.25977180047221055,-3.3337381060600357,5.373342166587928,-0.25977180047221055,-4.525963063687508,2.9988759663623608,0.0036967935041407303,-5.011636304749239,0.9993486673057396,-0.0015847424653954232,-0.03604370732854603,-0.000762172929765005,0.42,True,CLOCK_REFERENCE_READY,1,747.232,1790148281.348712,8.0,0.0,-0.42,8.0,0.0,0.0,319.53812806333826,383.54354527561134,12.461871936661737,10.456454724388664,5.727209240432234,0.009798329507692376,-3.045188165097022,0.11696752882435746,-0.26957012997990293,-0.2885499409630139,0.41183798538553656,5.318923715158287,0.009798329507692376,-4.219399687901952,0.0544184514296413,-0.26957012997990293,-0.30656337578555526,0.41183798538553673,0.032634212436210674,0.27047963970813044,0.30884672393995954,0.4118379853855365,0.0,0.0,0.0,0.0,8.03263421243621,0.27047963970813044,0.30884672393995954,0.021706654990665677,0.021706654990665677,0.021706654990665677,8.0,0.0,0.0,0.032634212436210674,0.27047963970813044,0.30884672393995954,0.27244123644920526,0.4118379853855365,0.06669044494628906
1790148281.46863,1790148281.5393486,1790148281.564561,1790148281.5645971,front_rgbd_red_sphere,True,True,True,,747.352,747.4,1790148281.492994,1790148281.5393486,1790148281.46863,1790148281.5172398,1790148281.46863,0.04800000000000182,1790148280.5281198,1790148281.524148,1790148281.524148,1790148281.524148,1790148281.528148,1790148281.528148,1790148280.5041199,1790148281.524148,1790148280.5281198,1790148281.528148,1790147534.11663,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,1,747.4,1790148281.5172398,0.0038466453552246094,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,UNKNOWN,1.0,450,1.0,6.649634838104248,0.4943094849586487,True,332.0,385.0,332.0,385.0,321,373,343,397,450,5.520357608795166,5.6036505699157715,0.05806422233581543,269.9681840122649,269.9681840122649,320.0,240.0,0.35,0.0,-0.05,0.20944,5.6036505699157715,-0.24908048733599777,-3.009722555309973,5.8536505699157715,-0.2601929079013178,-3.1439976371409237,5.422058293614103,-0.2601929079013178,-4.342338617024913,3.034228923585127,-0.0004969434987255876,-5.01371438051823,0.9988129305915306,-0.001211872503012781,-0.048681105339201856,-0.001187868321131749,0.42,True,CLOCK_REFERENCE_READY,1,747.428,1790148281.5446427,8.0,0.0,-0.42,8.0,0.0,0.0,320.1065493765064,375.86447536338517,11.893450623493607,9.135524636614832,5.7686077541939715,-0.00227671850210036,-2.903115672567968,0.08504281572179995,-0.25791618939921745,-0.24088196457295563,0.3630112424107988,5.388956168054189,-0.00227671850210036,-4.089039089497058,0.033102125559913986,-0.25791618939921745,-0.25329952752785445,0.36301124241079863,0.00895578583496004,0.2584825607907251,0.25472283325956374,0.3630112424107993,0.0,0.0,0.0,0.0,8.00895578583496,0.2584825607907251,0.25472283325956374,0.021461180751271125,0.021461180751271125,0.021461180751271125,8.0,0.0,0.0,0.00895578583496004,0.2584825607907251,0.25472283325956374,0.25863766224750134,0.3630112424107993,0.07071852684020996
1790148281.5686293,1790148281.5846007,1790148281.6650546,1790148281.6650965,front_rgbd_red_sphere,True,True,True,,747.452,747.452,1790148281.5846007,1790148281.5827012,1790148281.5686293,1790148281.5686293,1790148281.5686293,0.0,1790148280.62812,1790148281.6281478,1790148281.6281478,1790148281.6281478,1790148281.6281478,1790148281.6281478,1790148280.62412,1790148281.6281478,1790148280.62812,1790148281.6281478,1790147534.1166294,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,1,747.452,1790148281.5686293,0.003795623779296875,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,UNKNOWN,1.0,461,1.0,6.648980140686035,0.5056824684143066,True,332.0,389.0,332.0,389.0,321,376,343,401,461,5.491217136383057,5.566821098327637,0.050148963928222656,269.9681840122649,269.9681840122649,320.0,240.0,0.35,0.0,-0.05,0.20944,5.566821098327637,-0.24744342902605432,-3.072422577073508,5.816821098327637,-0.2585558495913744,-3.2104017990928986,5.372227404693882,-0.2585558495913744,-4.399634386601959,3.066870478076059,-0.002941943384524915,-5.013152749695475,0.9989680715106697,-0.0010571051331961954,-0.04538190555797282,-0.0014687678230800698,0.42,True,CLOCK_REFERENCE_READY,1,747.528,1790148281.6446416,8.0,0.0,-0.42,8.0,0.0,0.0,320.4156146652585,379.4017937260819,11.584385334741512,9.598206273918095,5.718096133523316,-0.008802980318385034,-2.9526177709707833,0.09872496480432069,-0.24975286927298937,-0.2577840281221153,0.3722575983651224,5.329256263937119,-0.008802980318385034,-4.126957462582818,0.04297114075676234,-0.24975286927298937,-0.2726769240191409,0.37225759836512234,0.018828008933381213,0.2502415097387696,0.2749552916818195,0.3722575983651222,0.0,0.0,0.0,0.0,8.018828008933381,0.2502415097387696,0.2749552916818195,0.021459262272629353,0.021459262272629353,0.021459262272629353,8.0,0.0,0.0,0.018828008933381213,0.2502415097387696,0.2749552916818195,0.25094881373844785,0.3722575983651222,0.01597142219543457
1790148281.6166472,1790148281.7380002,1790148281.7640011,1790148281.7640336,front_rgbd_red_sphere,True,True,True,,747.5,747.6,1790148281.638573,1790148281.7380002,1790148281.6166472,1790148281.7182472,1790148281.6166472,0.10000000000002274,1790148280.7281199,1790148281.724148,1790148281.724148,1790148281.724148,1790148281.728148,1790148281.728148,1790148280.70412,1790148281.724148,1790148280.7281199,1790148281.728148,1790147534.1166472,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,1,747.6,1790148281.7182472,0.003942012786865234,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,UNKNOWN,1.0,464,1.0,6.642489433288574,0.511430561542511,True,332.5,391.0,332.5,391.0,322,379,343,404,464,5.374127388000488,5.542551517486572,0.11585783958435059,269.9681840122649,269.9681840122649,320.0,240.0,0.35,0.0,-0.05,0.20944,5.542551517486572,-0.25662984778026515,-3.1000885611856033,5.792551517486572,-0.2682052858691402,-3.239919853299214,5.342351012194129,-0.2682052858691402,-4.423461456281814,3.086642666862916,-0.00430977881124163,-5.01256686291606,0.9990910792203527,-0.0009888074026016672,-0.04258425169897893,-0.001618391012605931,0.42,True,MAPPED_EXACT,1,747.644,1790148281.760647,8.0,0.0,-0.42,8.0,0.0,0.0,320.57825156430994,382.1346376079026,11.921748435690063,8.865362392097381,5.6824994278968255,-0.012171486782391513,-2.991759935883911,0.11005208958974677,-0.2560337990867487,-0.24815991741530308,0.37315963515556355,5.286299302918517,-0.012171486782391513,-4.157843284987149,0.05605170927561254,-0.2560337990867487,-0.2656181712946646,0.37315963515556333,0.03409676942688833,0.2564168400731896,0.26895339326910067,0.37315963515556394,0.0,0.0,0.0,0.0,8.034096769426888,0.2564168400731896,0.26895339326910067,0.021440250108607572,0.021440250108607572,0.021440250108607572,8.0,0.0,0.0,0.03409676942688833,0.2564168400731896,0.26895339326910067,0.25867389810042696,0.37315963515556394,0.1213529109954834
1790148281.8166397,1790148281.8366723,1790148281.864711,1790148281.8647542,front_rgbd_red_sphere,True,True,True,,747.7,747.7,1790148281.8366723,1790148281.8355393,1790148281.8166397,1790148281.8166397,1790148281.8166397,0.0,1790148280.82812,1790148281.828148,1790148281.828148,1790148281.828148,1790148281.828148,1790148281.828148,1790148280.8241198,1790148281.828148,1790148280.82812,1790148281.828148,1790147534.1166396,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,1,747.7,1790148281.8166397,0.0037860870361328125,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,PREPARATION,MID,UNKNOWN,1.0,508,1.0,6.583601474761963,0.5526591539382935,True,333.0,406.0,333.0,406.0,322,393,344,419,508,5.274219512939453,5.353511095046997,0.05222630500793457,269.9681840122649,269.9681840122649,320.0,240.0,0.35,0.0,-0.05,0.20944,5.353511095046997,-0.2577920227535004,-3.2918058290062353,5.603511095046997,-0.26983047836593044,-3.445527646826496,5.114693233296922,-0.26983047836593044,-4.585272400852571,3.1878678938700236,-0.010455497978175493,-5.009120316806372,0.9996220812656309,-0.0007725413655657723,-0.027391090127146626,-0.0021968176195417814,0.42,True,CLOCK_REFERENCE_READY,1,747.744,1790148281.8606343,8.0,0.0,-0.42,8.0,0.0,0.0,321.24187353820395,397.187177208438,11.758126461796053,8.812822791561985,5.490824586575051,-0.025258197672202,-3.1969960477683914,0.11268650847194639,-0.24457228069372844,-0.24853159905810474,0.366444819046072,5.056141950917471,-0.025258197672202,-4.31874294234245,0.05855128237945095,-0.24457228069372844,-0.26652945851012166,0.36644481904607246,0.044952722295688474,0.24475868067772297,0.2689874465413134,0.36644481904607246,0.0,0.0,0.0,0.0,8.044952722295688,0.24475868067772297,0.2689874465413134,0.02126814263613537,0.02126814263613537,0.02126814263613537,8.0,0.0,0.0,0.044952722295688474,0.24475868067772297,0.2689874465413134,0.2488524844338365,0.36644481904607246,0.020032644271850586
1790148281.916643,1790148281.9484727,1790148281.9645014,1790148281.9645367,front_rgbd_red_sphere,True,True,True,,747.8,747.752,1790148281.9484727,1790148281.894112,1790148281.916643,1790148281.868636,1790148281.916643,0.04800000000000182,1790148280.92812,1790148281.9241478,1790148281.9241478,1790148281.9241478,1790148281.928148,1790148281.928148,1790148280.90412,1790148281.9241478,1790148280.92812,1790148281.928148,1790147534.116643,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,1,747.752,1790148281.868636,0.003885984420776367,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,UNKNOWN,1.0,535,1.0,6.616598129272461,0.5763826966285706,True,333.0,415.0,333.0,415.0,322,401,345,428,535,5.220556259155273,5.297617435455322,0.04932069778442383,269.9681840122649,269.9681840122649,320.0,240.0,0.35,0.0,-0.05,0.20944,5.297617435455322,-0.25510052939345773,-3.4340455879888543,5.547617435455322,-0.2671389850058878,-3.5961017212331052,5.028714807425637,-0.2671389850058878,-4.720935083085576,3.2462518557589295,-0.013747633038275113,-5.007257147055169,0.999809015495336,-0.000672734721227086,-0.019393517641743536,-0.002317635804290372,0.42,True,CLOCK_REFERENCE_READY,1,747.844,1790148281.9606483,8.0,0.0,-0.42,8.0,0.0,0.0,321.5119839011437,405.6568274690069,11.488016098856292,9.343172530993115,5.382235891270871,-0.030143752122248606,-3.3026266621004816,0.16538154418445128,-0.2369952328836392,-0.2934750591326236,0.41188032958530674,4.927964299965028,-0.030143752122248606,-4.399488352294672,0.1007505074606092,-0.2369952328836392,-0.32144673079090325,0.41188032958530574,0.0893135682090076,0.2369894948626076,0.32481451900714303,0.41188032958530646,0.0,0.0,0.0,0.0,8.089313568209008,0.2369894948626076,0.32481451900714303,0.021364493917749507,0.021364493917749507,0.021364493917749507,8.0,0.0,0.0,0.0893135682090076,0.2369894948626076,0.32481451900714303,0.25326060519050125,0.41188032958530646,0.031829833984375
1790148282.0166306,1790148282.0315173,1790148282.0636892,1790148282.0637171,front_rgbd_red_sphere,True,True,True,,747.9,747.9,1790148282.0315173,1790148282.0301838,1790148282.0166306,1790148282.0166306,1790148282.0166306,0.0,1790148281.0281198,1790148282.028148,1790148282.028148,1790148282.028148,1790148282.028148,1790148282.028148,1790148281.0241199,1790148282.028148,1790148281.0281198,1790148282.028148,1790147534.1166306,GAZEBO_CLOCK_SYSTEM_INTERPOLATION,MAPPED_EXACT,1,747.9,1790148282.0166306,0.003816366195678711,0.0,RGB,0.0,1,1,0,DIRECT_TIMESTAMP,TERMINAL_APPROACH,MID,UNKNOWN,1.0,557,1.0,6.5201873779296875,0.5918073654174805,True,333.0,421.0,333.0,421.0,322,407,345,435,557,5.078550338745117,5.161323547363281,0.05506420135498047,269.9681840122649,269.9681840122649,320.0,240.0,0.35,0.0,-0.05,0.20944,5.161323547363281,-0.24853745770529156,-3.460406141896752,5.411323547363281,-0.2605759133177216,-3.6280184854236626,4.888763397973857,-0.2605759133177216,-4.723817228137716,3.30677017726898,-0.01767483631695036,-5.0040847337015135,0.9998973395582821,-0.0005701833516944581,-0.014130376577508957,-0.002306012357468629,0.42,True,MAPPED_EXACT,1,747.944,1790148282.060629,8.0,0.0,-0.42,8.0,0.0,0.0,321.759605127478,412.25827763479197,11.240394872522018,8.741722365208034,5.287819119805342,-0.0344650747288163,-3.373992447867887,0.12350442755793889,-0.22611083858890532,-0.25402603755577546,0.3618130493916443,4.820772955727369,-0.0344650747288163,-4.44966422132249,0.06799044224648831,-0.22611083858890532,-0.2741530068152258,0.36181304939164416,0.06126267927613682,0.22612631028798538,0.275721705046105,0.3618130493916442,0.0,0.0,0.0,0.0,8.061262679276137,0.22612631028798538,0.275721705046105,0.021083583487191675,0.021083583487191675,0.021083583487191675,8.0,0.0,0.0,0.06126267927613682,0.22612631028798538,0.275721705046105,0.23427809132855135,0.3618130493916442,0.014886617660522461
