time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.545254,0.046010,0.009627,0.020413,0.009757,-0.000116,-0.001515,20.105339,2.893447,0.118529,0.346753,4.987962,0.153023,CTRV,-0.126963,20.265802,20.265564,0.098116,26.543171,26.080110,0.857254,4.827554,0.009757,-0.000116,-0.001515,0.000000,0.000000,0.000000,-0.012051,-0.005434,-0.002300,0,takeoff,,20.265802,5.001836,-1.044113,0,,,
0.595113,0.045674,0.009511,0.020347,0.009208,-0.000498,-0.001522,20.124312,3.141363,0.125359,0.378904,4.985622,0.138494,CTRV,-0.127569,20.321693,20.321422,0.105012,26.872628,26.683735,0.805798,4.913144,0.009208,-0.000498,-0.001522,0.000000,0.000000,0.000000,-0.013791,-0.009678,-0.003115,0,takeoff,,20.321693,5.001768,-1.134428,0,,,
0.644959,0.045060,0.009278,0.020105,0.008487,-0.001011,-0.001581,20.145036,3.390927,0.131468,0.411222,4.983061,0.123111,CTRV,-0.127972,20.382762,20.382458,0.111363,27.203996,27.291066,0.746950,4.999417,0.008487,-0.001011,-0.001581,0.000000,0.000000,0.000000,-0.014503,-0.011904,-0.001726,0,takeoff,,20.382762,5.001871,-1.224722,0,,,
0.695168,0.044514,0.009054,0.019914,0.007863,-0.001427,-0.001565,20.167308,3.639444,0.136744,0.443721,4.980272,0.106969,CTRV,-0.128660,20.447989,20.447655,0.116830,27.558970,27.902513,0.681039,5.088342,0.007863,-0.001427,-0.001565,0.000000,0.000000,0.000000,-0.021557,-0.010775,0.004832,0,takeoff,,20.447989,5.001908,-1.314011,0,,,
0.745742,0.043563,0.008572,0.019709,0.006698,-0.001909,-0.001481,20.191193,3.887648,0.141178,0.476417,4.977251,0.090168,CTRV,-0.129370,20.518016,20.517657,0.121469,27.926176,28.516172,0.608133,5.178748,0.006698,-0.001909,-0.001481,0.000000,0.000000,0.000000,-0.019498,-0.007874,0.001170,0,takeoff,,20.518016,5.002106,-1.403128,0,,,
0.794901,0.042999,0.008174,0.019514,0.006095,-0.002291,-0.001395,20.216868,4.137126,0.144766,0.509324,4.973991,0.072810,CTRV,-0.130021,20.592449,20.592068,0.125252,28.302331,29.132953,0.528499,5.270300,0.006095,-0.002291,-0.001395,0.000000,0.000000,0.000000,-0.013632,-0.007455,0.001345,0,takeoff,,20.592449,5.002212,-1.491236,0,,,
0.844607,0.042248,0.007550,0.019244,0.005106,-0.002791,-0.001343,20.244122,4.385632,0.147448,0.542458,4.970487,0.055004,CTRV,-0.131014,20.671230,20.670833,0.128204,28.707112,29.753341,0.442539,5.364890,0.005106,-0.002791,-0.001343,0.000000,0.000000,0.000000,-0.019801,-0.012377,0.003639,0,takeoff,,20.671230,5.002541,-1.578820,0,,,
0.895363,0.041700,0.007079,0.019074,0.004372,-0.003191,-0.001397,20.272816,4.632034,0.149206,0.575835,4.966731,0.036859,CTRV,-0.131408,20.753438,20.753030,0.130132,29.091536,30.362579,0.350332,5.456631,0.004372,-0.003191,-0.001397,0.000000,0.000000,0.000000,-0.020221,-0.008881,-0.002647,0,takeoff,,20.753438,5.002815,-1.664880,0,,,
0.945245,0.040809,0.006371,0.018827,0.003247,-0.003441,-0.001296,20.303753,4.882861,0.150076,0.609472,4.962715,0.018486,CTRV,-0.132753,20.841888,20.841475,0.131249,29.540824,30.992868,0.252792,5.556277,0.003247,-0.003441,-0.001296,0.000000,0.000000,0.000000,-0.018041,0.000325,0.002892,0,takeoff,,20.841888,5.003060,-1.751469,0,,,
0.995243,0.040291,0.005976,0.018654,0.002660,-0.003498,-0.001164,20.335873,5.129344,0.150000,0.643385,4.958433,-0.000000,CTRV,-0.133647,20.932673,20.932261,0.131346,29.976140,31.607628,0.150000,5.653186,0.002660,-0.003498,-0.001164,0.000000,0.000000,0.000000,-0.015774,-0.000978,0.003034,0,takeoff,,20.932673,5.003128,-1.835688,0,,,
1.045245,0.039563,0.005452,0.018388,0.001946,-0.003506,-0.001149,20.369999,5.377844,0.149002,0.677592,4.953874,-0.018486,CTRV,-0.134676,21.028702,21.028297,0.130614,30.433073,32.227758,0.042657,5.752591,0.001946,-0.003506,-0.001149,0.000000,0.000000,0.000000,-0.009444,0.000597,0.003181,0,takeoff,,21.028702,5.003240,-1.919609,0,,,
1.095214,0.039031,0.005090,0.018246,0.001652,-0.003557,-0.001123,20.405648,5.624628,0.147090,0.712108,4.949030,-0.036859,CTRV,-0.135973,21.128059,21.127666,0.128844,30.916946,32.844335,-0.068685,5.854050,0.001652,-0.003557,-0.001123,0.000000,0.000000,0.000000,-0.006719,-0.004213,-0.001261,0,takeoff,,21.128059,5.003414,-2.001899,0,,,
1.145373,0.037960,0.004519,0.017955,0.000727,-0.003854,-0.001166,20.443348,5.873201,0.144253,0.746953,4.943891,-0.055004,CTRV,-0.137317,21.232928,21.232552,0.126298,31.419084,33.463800,-0.183434,5.957486,0.000727,-0.003854,-0.001166,0.000000,0.000000,0.000000,-0.013378,-0.009245,-0.000115,0,takeoff,,21.232928,5.003992,-2.084356,0,,,
1.195279,0.037162,0.004206,0.017756,0.000083,-0.003886,-0.001214,20.482398,6.118850,0.140555,0.782144,4.938446,-0.072810,CTRV,-0.138465,21.340376,21.340023,0.122800,31.921679,34.072124,-0.300666,6.059866,0.000083,-0.003886,-0.001214,0.000000,0.000000,0.000000,-0.015501,-0.000839,-0.005007,0,takeoff,,21.340376,5.004338,-2.164969,0,,,
1.245305,0.036047,0.003870,0.017427,-0.000870,-0.003846,-0.001211,20.522769,6.361622,0.136048,0.817701,4.932683,-0.090168,CTRV,-0.139317,21.450894,21.450566,0.118620,32.418616,34.669983,-0.419456,6.160788,-0.000870,-0.003846,-0.001211,0.000000,0.000000,0.000000,-0.018059,-0.000585,0.001865,0,takeoff,,21.450894,5.004727,-2.244406,0,,,
