time,mission_id,phase,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,distance,horizontal_distance,vertical_error,relative_speed,closing_speed,approach_phase,first_terminal_approach,controller_status,plan_id,prediction_age,trajectory_age,tracker_rejection_reason,planner_event_id,planner_result,planner_failure_reason,planner_source_age_at_publish,planner_completion_to_publish_delay,terminal_admission,terminal_admission_reason,selected_t_go,contact_stamp,remaining_t_go,terminal_mode,planned_capture_margin,target_yaw,body_clearance,sea_safety_state,sea_safety_margin,gazebo_real_time_factor,front_rgb_hz,front_depth_hz,down_rgb_hz,down_depth_hz,rgbd_localizer_compute_time,front_monitor_compute_time,down_monitor_compute_time,tracker_hz,tracker_callback_time,planner_compute_time,prediction_0p5_error,prediction_1p0_error,prediction_2p0_error,kf_prediction_0p5_error,kf_prediction_1p0_error,kf_prediction_2p0_error,shadow_bctra_prediction_0p5_error,shadow_bctra_prediction_1p0_error,shadow_bctra_prediction_2p0_error
0.03899192810058594,1,FAR_GUIDANCE,3.001033344377806,0.005347651349860699,-5.0043704775506015,-0.008557941701519413,0.005543356762521053,0.001515349925584475,8.0,0.0,0.0,0.0,0.0,0.0,7.07343057490335,4.998969515950012,5.0043704775506015,0.010308416743620805,-0.004980205339140684,PREPARATION,False,FAR_GUIDANCE,0,0.031185150146484375,0.0,,,0,,0.0,0.0,False,,0.0,0.0,0.0,False,0.0,-0.0010994427732247125,4.774370477550601,SAFE,4.804458507950698,0.9984568953514099,19.952999114990234,19.945751190185547,19.976600646972656,19.964160919189453,0.003107735887169838,0.004012390039861202,0.0028373380191624165,20.20815687408157,0.002178404000005685,0.0,,,,,,,,,
0.08923935890197754,1,FAR_GUIDANCE,2.999488064697851,0.005639095483748145,-5.005202033161953,-0.009419324457589584,0.004819572408215457,0.0016341809843903035,8.0,0.0,0.0,0.0,0.0,0.0,7.075111222254083,5.000515114915374,5.005202033161953,0.010706189748230689,-0.005505103056687639,PREPARATION,False,FAR_GUIDANCE,0,0.030980348587036133,0.0,,,0,,0.0,0.0,False,,0.0,0.0,0.0,False,0.0,-0.0011390575973773132,4.7752020331619525,SAFE,4.805248054548448,1.0002307891845703,20.149667739868164,20.160810470581055,19.976600646972656,19.964160919189453,0.003107735887169838,0.00255984696559608,0.0028373380191624165,20.124866851555076,0.001351558996248059,0.0,,,,,,,,,
0.139113187789917,1,FAR_GUIDANCE,2.9980482177145915,0.0057876193340974345,-5.006124037651593,-0.009430737488487892,0.004198977745508164,0.0007720788658899127,8.0,0.0,0.0,0.0,0.0,0.0,7.076781260516593,5.001955130630995,5.006124037651593,0.010352117148641508,-0.006123020072113096,PREPARATION,False,FAR_GUIDANCE,0,0.030980348587036133,0.0,,,0,,0.0,0.0,False,,0.0,0.0,0.0,False,0.0,-0.0011390575973773132,4.776124037651592,SAFE,4.805248054548448,1.0002307891845703,20.149667739868164,20.160810470581055,20.210521697998047,20.18474578857422,0.004134290851652622,0.00255984696559608,0.002425040118396282,20.124866851555076,0.001351558996248059,0.0,,,,,,,,,
0.18901944160461426,1,FAR_GUIDANCE,2.9967102777341244,0.005799528982839494,-5.0070551270949375,-0.00724780501916486,0.0035692003641889006,-0.0006361511579466032,8.0,0.0,0.0,0.0,0.0,0.0,7.078385601620999,5.003293083506879,5.0070551270949375,0.008103984028323004,-0.005575962398869248,PREPARATION,False,FAR_GUIDANCE,0,0.031414031982421875,0.0,,1:1,0,NONE,0.03280448913574219,0.003271341323852539,False,HORIZONTAL_PREPARATION_NOT_READY,0.0,0.0,0.0,False,0.0,-0.0011618420460339784,4.777055127094937,SAFE,4.806656835199772,0.9983295202255249,19.78398895263672,19.78920555114746,20.210521697998047,20.18474578857422,0.004134290851652622,0.00255984696559608,0.002425040118396282,19.875078186700364,0.0024195450023398735,0.016401688000769354,,,,,,,,,
0.23981666564941406,1,FAR_GUIDANCE,2.9955505666121716,0.00562772677005306,-5.008223209312826,0.00021038564823423148,0.0027758575081988836,-0.003097742899114955,8.0,0.0,0.0,0.0,0.0,0.0,7.0800314629911085,5.004452597701806,5.008223209312826,0.004164811892009551,-0.0020447572004468804,PREPARATION,False,FAR_GUIDANCE,0,0.03043532371520996,0.0,,1:1,0,NONE,0.03280448913574219,0.003271341323852539,False,HORIZONTAL_PREPARATION_NOT_READY,0.0,0.0,0.0,False,0.0,-0.0010912236750186821,4.778223209312825,SAFE,4.8087671279907225,0.9983295202255249,19.78398895263672,19.78920555114746,19.540393829345703,19.708946228027344,0.003862647106871009,0.00255984696559608,0.002639851998537779,20.06797929999694,0.0017078140008379705,0.016401688000769354,,,,,,,,,
0.28899097442626953,1,FAR_GUIDANCE,2.9952719057161894,0.005219900372724434,-5.0093673691545755,0.013848658528406532,0.0019460580117849373,-0.005981199902906722,8.0,0.0,0.0,0.0,0.0,0.0,7.081037493490922,5.004730816444933,5.0093673691545755,0.015210103125888748,0.005555200716062584,PREPARATION,False,FAR_GUIDANCE,0,0.03129315376281738,0.0,,1:1,0,NONE,0.03280448913574219,0.003271341323852539,False,HORIZONTAL_PREPARATION_NOT_READY,0.0,0.0,0.0,False,0.0,-0.0010106734930439565,4.779367369154575,SAFE,4.80968599319458,0.9981815814971924,20.06782341003418,20.029434204101562,19.540393829345703,19.708946228027344,0.003862647106871009,0.0023460399825125933,0.002639851998537779,20.0343785525725,0.0016627750010229647,0.016401688000769354,,,,,,,,,
0.33901524543762207,1,FAR_GUIDANCE,2.9962129511351088,0.0046006468019166805,-5.01048518333736,0.03465607324933532,0.001023152538506186,-0.007636849306325601,8.0,0.0,0.0,0.0,0.0,0.0,7.081162882520232,5.003789163857628,5.01048518333736,0.0355022776946476,0.01908480079775544,PREPARATION,False,FAR_GUIDANCE,0,0.03129315376281738,0.0,,1:2,0,NONE,0.02293109893798828,0.0010967254638671875,False,HORIZONTAL_PREPARATION_NOT_READY,0.0,0.0,0.0,False,0.0,-0.0010106734930439565,4.780485183337359,SAFE,4.80968599319458,0.9981815814971924,20.06782341003418,20.029434204101562,19.987869262695312,19.97844696044922,0.004664803855121136,0.0023460399825125933,0.0024310369044542313,20.0343785525725,0.0016627750010229647,0.008725208004761953,,,,,,,,,
0.39058852195739746,1,FAR_GUIDANCE,2.9988494256517937,0.003703839498800044,-5.011629066670298,0.06466749152267759,-3.473182740818109e-06,-0.00689191656806485,8.0,0.0,0.0,0.0,0.0,0.0,7.080109228509475,5.001151945875113,5.011629066670298,0.06503370653653183,0.04080052108145824,PREPARATION,False,FAR_GUIDANCE,0,0.029722213745117188,0.0,,1:2,0,NONE,0.02293109893798828,0.0010967254638671875,False,HORIZONTAL_PREPARATION_NOT_READY,0.0,0.0,0.0,False,0.0,-0.0006558739102731082,4.781629066670297,SAFE,4.8120654106140135,0.9997800588607788,19.772794723510742,19.784038543701172,19.987869262695312,19.97844696044922,0.004664803855121136,0.0023460399825125933,0.0024310369044542313,19.98712891693005,0.002494499996828381,0.008725208004761953,,,,,,,,,
0.439075231552124,1,FAR_GUIDANCE,3.0037833459199166,0.00261439908213885,-5.012645835940264,0.1026805275693746,-0.0010259589055035313,-0.00379944622829535,8.0,0.0,0.0,0.0,0.0,0.0,7.077344556128308,4.996217338105874,5.012645835940264,0.1027559201469316,0.06979617311622666,PREPARATION,False,FAR_GUIDANCE,0,0.03117203712463379,0.0,,1:2,0,NONE,0.02293109893798828,0.0010967254638671875,False,HORIZONTAL_PREPARATION_NOT_READY,0.0,0.0,0.0,False,0.0,-0.00041538408362562507,4.782645835940263,SAFE,4.813030529022217,0.9997800588607788,19.772794723510742,19.784038543701172,19.684694290161133,19.745328903198242,0.005211132112890482,0.0023460399825125933,0.0038508540019392967,20.038738966380507,0.0013621590042021126,0.008725208004761953,,,,,,,,,
0.4890170097351074,1,FAR_GUIDANCE,3.011390612599435,0.0015247707649895666,-5.013378703506126,0.146475305827415,-0.0020351807345897065,0.00042111441056791874,8.0,0.0,0.0,0.0,0.0,0.0,7.072495455619302,4.988609620424004,5.013378703506126,0.14649004920199865,0.10361581700169618,PREPARATION,False,FAR_GUIDANCE,0,0.031207799911499023,0.0,,1:2,0,NONE,0.02293109893798828,0.0010967254638671875,False,HORIZONTAL_PREPARATION_NOT_READY,0.0,0.0,0.0,False,0.0,-0.000250442355787861,4.783378703506125,SAFE,4.813278155096674,0.99742591381073,27.195653915405273,27.15416717529297,19.684694290161133,19.745328903198242,0.005211132112890482,0.002147821942344308,0.0038508540019392967,20.00400623446392,0.0023234580003190786,0.008725208004761953,,,,,,,0.40409674355576386,,
