time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.004180,-0.053159,-0.010211,-0.005125,-0.003562,-0.012217,-0.003324,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,CV,0.000000,20.053163,20.053162,0.005125,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131702,0.056702,-0.003562,-0.012217,-0.053324,0.000000,0.000000,-1.000000,0.000539,-0.000546,0.005586,0,takeoff,,20.053163,0.013153,-0.003569,0,,,
0.052556,-0.053249,-0.010539,-0.004911,-0.003571,-0.012047,-0.003235,20.001228,0.321434,0.015125,0.031252,4.999902,0.234893,CV,0.000000,20.057234,20.057224,0.020036,20.063732,10.321239,0.484911,0.031252,4.999902,0.234893,-0.000000,0.000000,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131723,0.016611,0.000000,0.000000,-0.103324,0.071236,0.244349,-1.000000,-0.000747,0.000589,0.002966,0,takeoff,,20.057234,5.017724,-0.118010,0,,,
0.102833,-0.053283,-0.010720,-0.004653,-0.003545,-0.011997,-0.003115,20.004054,0.574239,0.026921,0.062518,4.999609,0.232719,CV,-0.125712,20.065890,20.065865,0.031575,20.129090,10.573458,0.492359,0.062518,4.999609,0.232719,-0.000000,0.000000,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131749,0.029212,0.000000,0.000000,-0.153324,0.000000,0.000000,-1.000000,-0.001339,0.006053,0.001952,0,takeoff,,20.065890,5.017586,-0.212503,0,,,
0.152535,-0.053247,-0.010839,-0.004260,-0.003502,-0.011768,-0.002897,20.008371,0.821230,0.038283,0.093810,4.999120,0.229109,CV,-0.125130,20.078911,20.078866,0.042543,20.195992,10.819470,0.496502,0.093810,4.999120,0.229109,-0.000000,0.000000,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131770,0.041511,0.000000,0.000000,-0.203324,0.000000,0.000000,-1.000000,0.001116,0.003911,0.000633,0,takeoff,,20.078911,5.017199,-0.305371,0,,,
0.202446,-0.053198,-0.010810,-0.003964,-0.003409,-0.011649,-0.002743,20.014363,1.071457,0.049561,0.125143,4.998434,0.224087,CTRV,-0.125242,20.096795,20.096723,0.053525,21.507540,10.932931,0.497736,1.360218,4.811425,0.224087,0.602594,-0.170357,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131800,0.053931,0.000000,0.000000,-0.253324,0.000000,0.000000,-1.000000,0.003603,0.002494,0.001690,0,takeoff,,20.096795,5.016862,-0.398776,0,,,
0.252573,-0.053150,-0.010625,-0.003530,-0.003324,-0.011234,-0.002541,20.021880,1.322133,0.060553,0.156530,4.997549,0.217684,CTRV,-0.125183,20.119324,20.119222,0.064083,21.576370,11.174153,0.495921,1.389832,4.802954,0.217684,0.601246,-0.173983,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131821,0.066351,0.000000,0.000000,-0.303324,0.000000,0.000000,-1.000000,0.002190,0.012755,0.005483,0,takeoff,,20.119324,5.016170,-0.491999,0,,,
0.302933,-0.053168,-0.010363,-0.003235,-0.003375,-0.010751,-0.002337,20.030957,1.572188,0.071147,0.187985,4.996465,0.209938,CTRV,-0.125484,20.146516,20.146378,0.074382,21.650374,11.413617,0.491024,1.422924,4.793254,0.209938,0.601476,-0.178554,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131838,0.078719,0.000000,0.000000,-0.353324,0.000000,0.000000,-1.000000,-0.004471,0.016271,0.005171,0,takeoff,,20.146516,5.015366,-0.584879,0,,,
0.352600,-0.053201,-0.009611,-0.002557,-0.003469,-0.009680,-0.002145,20.041544,1.820688,0.081240,0.219520,4.995179,0.200899,CTRV,-0.125962,20.178102,20.177928,0.083798,21.727720,11.650695,0.483038,1.457729,4.782784,0.200899,0.602450,-0.183619,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131876,0.090901,0.000000,0.000000,-0.403324,0.000000,0.000000,-1.000000,0.000219,0.017937,0.004909,0,takeoff,,20.178102,5.013936,-0.676887,0,,,
0.402797,-0.053087,-0.009025,-0.002002,-0.003443,-0.009113,-0.002019,20.053870,2.072468,0.090966,0.251151,4.993688,0.190620,CTRV,-0.126214,20.214623,20.214409,0.092968,21.804723,11.891054,0.472206,1.490395,4.772706,0.190620,0.602383,-0.188109,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131876,0.103217,0.000000,0.000000,-0.453324,0.000000,0.000000,-1.000000,0.001188,0.013792,0.004418,0,takeoff,,20.214623,5.012978,-0.769260,0,,,
0.452822,-0.052684,-0.008135,-0.001122,-0.003102,-0.008181,-0.001746,20.067544,2.319658,0.099960,0.282890,4.991991,0.179166,CTRV,-0.126115,20.254689,20.254437,0.101082,21.879813,12.127137,0.458293,1.519761,4.763437,0.179166,0.600741,-0.191665,0.000000,2.000000,nan,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.131885,0.115248,0.000000,0.000000,-0.503324,0.000000,0.000000,-1.000000,0.006487,0.019804,0.007456,0,takeoff,,20.254689,5.011610,-0.859647,0,,,
