time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason
0.593686,0.036751,0.029236,0.074461,-0.006745,0.004414,20.000000,87.886024,0.000000,5.000000,90.096320,20.000000,127.886024,8.000000,0.002759,0.092543,-0.179166,90.096319,0.018082,-1.340788,-0.006745,0.004414,0.002759,0.000000,0.000000,0.000000,-0.021502,-0.008995,0.000563,0,takeoff,,90.096320,4.998902,-4.872868,0,,
0.642779,0.035482,0.029269,0.074218,-0.007465,0.004288,20.000000,88.128878,0.000000,5.000000,90.333400,20.000000,128.128878,8.000000,0.002533,0.083254,-0.190620,90.333399,0.009036,-1.441707,-0.007465,0.004288,0.002533,0.000000,0.000000,0.000000,-0.016533,-0.003369,-0.005081,0,takeoff,,90.333400,4.999450,-4.873807,0,,
0.693228,0.034259,0.029377,0.073964,-0.008145,0.004115,20.000000,88.382544,0.000000,5.000000,90.580974,20.000000,128.382544,8.000000,0.002469,0.073049,-0.200899,90.580974,-0.000914,-1.534140,-0.008145,0.004115,0.002469,0.000000,0.000000,0.000000,-0.020098,-0.005225,-0.001015,0,takeoff,,90.580974,5.000029,-4.874810,0,,
0.742947,0.032676,0.029751,0.073578,-0.008856,0.004131,20.000000,88.631397,0.000000,5.000000,90.823708,20.000000,128.631397,8.000000,0.002278,0.062582,-0.209938,90.823707,-0.010997,-1.616926,-0.008856,0.004131,0.002278,0.000000,0.000000,0.000000,-0.006648,0.003465,-0.001181,0,takeoff,,90.823708,5.000382,-4.875614,0,,
0.793387,0.031135,0.030484,0.073338,-0.009371,0.004275,20.000000,88.881169,0.000000,5.000000,91.067010,20.000000,128.881169,8.000000,0.002334,0.051692,-0.217684,91.067007,-0.021646,-1.689780,-0.009371,0.004275,0.002334,0.000000,0.000000,0.000000,-0.009109,0.001943,0.005349,0,takeoff,,91.067010,5.000576,-4.876249,0,,
0.843048,0.030216,0.031143,0.073075,-0.009782,0.004739,20.000000,89.130730,0.000000,5.000000,91.310074,20.000000,129.130730,8.000000,0.002233,0.040494,-0.224087,91.310068,-0.032582,-1.752206,-0.009782,0.004739,0.002233,0.000000,0.000000,0.000000,-0.012242,0.014135,-0.004174,0,takeoff,,91.310074,5.000394,-4.876552,0,,
0.894990,0.028906,0.032186,0.072683,-0.010221,0.005424,20.000000,89.390841,0.000000,5.000000,91.563180,20.000000,129.390841,8.000000,0.001959,0.028563,-0.229109,91.563169,-0.044120,-1.804311,-0.010221,0.005424,0.001959,0.000000,0.000000,0.000000,-0.008476,0.004931,-0.004703,0,takeoff,,91.563180,4.999929,-4.876665,0,,
0.942968,0.027908,0.032943,0.072173,-0.010652,0.005788,20.000000,89.631615,0.000000,5.000000,91.797655,20.000000,129.631615,8.000000,0.001619,0.017339,-0.232719,91.797638,-0.054833,-1.844409,-0.010652,0.005788,0.001619,0.000000,0.000000,0.000000,-0.011432,0.008924,-0.012216,0,takeoff,,91.797655,4.999718,-4.877034,0,,
0.993014,0.026233,0.034117,0.071229,-0.011278,0.006420,20.000000,89.882010,0.000000,5.000000,92.041292,20.000000,129.882010,8.000000,0.001408,0.005567,-0.234893,92.041269,-0.065662,-1.873578,-0.011278,0.006420,0.001408,0.000000,0.000000,0.000000,-0.011879,0.007676,-0.004965,0,takeoff,,92.041292,4.999180,-4.877196,0,,
1.042960,0.025158,0.034764,0.070670,-0.011672,0.006619,20.000000,90.132309,0.000000,5.000000,92.285252,20.000000,130.132309,8.000000,0.001254,-0.006235,-0.235619,92.285220,-0.076905,-1.891190,-0.011672,0.006619,0.001254,0.000000,0.000000,0.000000,-0.010952,0.003656,-0.004132,0,takeoff,,92.285252,4.999010,-4.877732,0,,
1.093311,0.023599,0.035442,0.069806,-0.012247,0.007000,20.000000,90.382745,0.000000,5.000000,92.529451,20.000000,130.382745,8.000000,0.000869,-0.018005,-0.234893,92.529410,-0.087812,-1.897150,-0.012247,0.007000,0.000869,0.000000,0.000000,0.000000,-0.007914,0.006689,-0.004017,0,takeoff,,92.529451,4.998578,-4.878116,0,,
1.142863,0.022454,0.035794,0.069265,-0.012650,0.006909,20.000000,90.631677,0.000000,5.000000,92.772442,20.000000,130.631677,8.000000,0.000700,-0.029594,-0.232719,92.772390,-0.098859,-1.891343,-0.012650,0.006909,0.000700,0.000000,0.000000,0.000000,-0.007840,-0.002873,-0.006858,0,takeoff,,92.772442,4.998560,-4.878920,0,,
1.193591,0.020536,0.036170,0.068497,-0.013484,0.006916,20.000000,90.884859,0.000000,5.000000,93.019757,20.000000,130.884859,8.000000,0.000380,-0.041196,-0.229109,93.019693,-0.109693,-1.874070,-0.013484,0.006916,0.000380,0.000000,0.000000,0.000000,-0.012525,0.000537,-0.005461,0,takeoff,,93.019757,4.998374,-4.879713,0,,
1.243157,0.019284,0.036369,0.067803,-0.013854,0.006828,20.000000,91.132713,0.000000,5.000000,93.261928,20.000000,131.132713,8.000000,0.000245,-0.052300,-0.224087,93.261851,-0.120104,-1.845000,-0.013854,0.006828,0.000245,0.000000,0.000000,0.000000,-0.006239,-0.000108,-0.003111,0,takeoff,,93.261928,4.998228,-4.880485,0,,
1.292827,0.017519,0.036499,0.066935,-0.014626,0.006604,20.000000,91.380841,0.000000,5.000000,93.504574,20.000000,131.380841,8.000000,0.000077,-0.063099,-0.217684,93.504483,-0.130034,-1.804571,-0.014626,0.006604,0.000077,0.000000,0.000000,0.000000,-0.015532,-0.006193,0.000317,0,takeoff,,93.504574,4.998163,-4.881462,0,,
1.342975,0.016273,0.036419,0.066396,-0.015090,0.006288,20.000000,91.632382,0.000000,5.000000,93.750677,20.000000,131.632382,8.000000,0.000085,-0.073657,-0.209938,93.750572,-0.140053,-1.753165,-0.015090,0.006288,0.000085,0.000000,0.000000,0.000000,-0.010617,-0.012279,-0.001763,0,takeoff,,93.750677,4.998149,-4.882470,0,,
1.393283,0.014311,0.036008,0.065835,-0.015748,0.005606,20.000000,91.883091,0.000000,5.000000,93.996473,20.000000,131.883091,8.000000,-0.000054,-0.083722,-0.200899,93.996354,-0.149557,-1.690911,-0.015748,0.005606,-0.000054,0.000000,0.000000,0.000000,-0.011794,-0.015616,-0.002418,0,takeoff,,93.996473,4.998455,-4.883856,0,,
1.443142,0.013202,0.035609,0.065742,-0.016045,0.005176,20.000000,92.133262,0.000000,5.000000,94.241578,20.000000,132.133262,8.000000,-0.000105,-0.093248,-0.190620,94.241444,-0.158990,-1.618209,-0.016045,0.005176,-0.000105,0.000000,0.000000,0.000000,-0.006115,-0.009775,0.000857,0,takeoff,,94.241578,4.998482,-4.884920,0,,
1.492762,0.011909,0.035025,0.065763,-0.016173,0.004448,20.000000,92.380630,0.000000,5.000000,94.484193,20.000000,132.380630,8.000000,-0.000140,-0.102098,-0.179166,94.484044,-0.167861,-1.535430,-0.016173,0.004448,-0.000140,0.000000,0.000000,0.000000,0.000835,-0.009298,0.001256,0,takeoff,,94.484193,4.998785,-4.886220,0,,
