time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,camera_measurement_valid,camera_x,camera_y,camera_z,camera_position_error,camera_confidence,kf_state_valid,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,kf_position_error,kf_state_age,guidance_prediction_0p5_x,guidance_prediction_0p5_y,guidance_prediction_0p5_z,guidance_prediction_0p5_error,guidance_prediction_0p5_age,guidance_prediction_1p0_x,guidance_prediction_1p0_y,guidance_prediction_1p0_z,guidance_prediction_1p0_error,guidance_prediction_1p0_age,guidance_prediction_2p0_x,guidance_prediction_2p0_y,guidance_prediction_2p0_z,guidance_prediction_2p0_error,guidance_prediction_2p0_age,kf_prediction_0p5_x,kf_prediction_0p5_y,kf_prediction_0p5_z,kf_prediction_0p5_error,kf_prediction_0p5_age,kf_prediction_1p0_x,kf_prediction_1p0_y,kf_prediction_1p0_z,kf_prediction_1p0_error,kf_prediction_1p0_age,kf_prediction_2p0_x,kf_prediction_2p0_y,kf_prediction_2p0_z,kf_prediction_2p0_error,kf_prediction_2p0_age,prediction_model,estimated_turn_rate,estimated_turn_acceleration,estimated_longitudinal_acceleration,control_dt,retained_plan_age,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,trajectory_planner,minco_target_curve_weight,minco_constraint_penalty,minco_optimization_iterations,minco_piece_durations,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.005713,-0.028788,-0.038812,0.018276,-0.000510,-0.003731,-0.003103,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,7.966108,1.030446,0.148238,1.041606,1.000000,1,7.964714,1.033278,0.149952,-0.006648,-0.010811,-0.004783,1.044698,0.020181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049855,0.000000,8.028903,8.028882,-0.018276,8.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.401445,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.134388,0.084388,-0.000510,-0.003731,-0.052958,0.000000,0.000000,-1.000000,0.004033,-0.007233,-0.005529,0,takeoff,,8.028903,0.004879,-0.000521,0,,,
0.054972,-0.028358,-0.039265,0.017017,-0.000226,-0.003803,-0.003463,8.000000,0.000461,0.012575,0.000000,0.008633,0.235598,1,7.966108,1.030446,0.148238,1.039434,1.000000,1,7.964381,1.032737,0.149712,-0.006648,-0.010811,-0.004783,1.041954,0.019435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050087,0.000000,8.028458,8.028456,-0.004441,8.000000,0.012560,0.342747,0.000000,0.008633,0.235598,0.000000,0.000000,0.000000,1.401423,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.134394,0.034388,0.000000,0.000000,-0.103044,0.010190,0.074483,-1.000000,0.002971,0.007094,-0.008673,0,takeoff,,8.028458,0.239384,-0.000155,0,,,
0.105008,-0.027924,-0.039494,0.016087,-0.000047,-0.003768,-0.003871,8.000000,0.005656,0.024422,0.000004,0.058570,0.234623,1,7.965815,1.027726,0.143604,1.029564,1.000000,1,7.964485,1.030998,0.147932,-0.006047,-0.012465,-0.006909,1.033365,0.019531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050039,0.000000,8.028056,8.028052,0.008335,8.000006,0.087736,0.353223,0.000004,0.058570,0.234623,0.000000,0.000000,0.000000,1.401403,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.134386,0.005625,0.000000,0.000000,-0.153083,0.000000,0.000000,-1.000000,0.005013,0.004196,-0.007451,0,takeoff,,8.028056,0.246506,-0.000649,0,,,
0.154962,-0.026971,-0.039643,0.014414,0.000615,-0.003690,-0.004491,8.000002,0.013397,0.036091,0.000023,0.108540,0.232203,1,7.965392,1.027176,0.142158,1.019900,1.000000,1,7.964441,1.029593,0.146309,-0.005692,-0.013533,-0.008658,1.022774,0.019311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050020,0.000000,8.027177,8.027148,0.021678,8.000034,0.165501,0.361491,0.000023,0.108540,0.232203,0.000000,0.000000,0.000000,1.401359,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.134374,0.006610,0.000000,0.000000,-0.203103,0.000000,0.000000,-1.000000,0.013845,0.002568,-0.012155,0,takeoff,,8.027177,0.261955,-0.000789,0,,,
0.204993,-0.026327,-0.039539,0.013444,0.001039,-0.003548,-0.004951,8.000006,0.023564,0.047346,0.000065,0.158750,0.228332,1,7.964190,1.040762,0.168067,1.024963,1.000000,1,7.964148,1.031381,0.150537,-0.005703,-0.010147,-0.002252,1.013720,0.019390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.049956,0.000000,8.026653,8.026581,0.033902,8.000097,0.246026,0.367315,0.000065,0.158750,0.228332,0.000000,0.000000,0.000000,1.401333,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.134347,0.007865,0.000000,0.000000,-0.253059,0.000000,0.000000,-1.000000,0.010146,0.005457,-0.013854,0,takeoff,,8.026653,0.284187,-0.001288,0,,,
0.255267,-0.025639,-0.039133,0.011954,0.001319,-0.003080,-0.005493,8.000015,0.036329,0.058490,0.000140,0.208550,0.223089,1,7.964190,1.040762,0.168067,1.011028,1.000000,1,7.963863,1.030873,0.150424,-0.005703,-0.010147,-0.002252,0.999439,0.019468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,0.000000,0.000000,0.000000,0.050215,0.000000,8.026144,8.026010,0.046536,8.000211,0.328571,0.371107,0.000140,0.208550,0.223089,0.000000,0.000000,0.000000,1.401307,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.134349,0.009408,0.000000,0.000000,-0.303273,0.000000,0.000000,-1.000000,0.000829,0.009420,-0.009253,0,takeoff,,8.026144,0.311510,-0.002135,0,,,
0.305059,-0.025297,-0.038709,0.010866,0.001290,-0.002646,-0.005968,8.000031,0.051436,0.069084,0.000257,0.258607,0.216445,1,7.965363,1.055159,0.192348,1.011858,1.000000,1,7.963950,1.035760,0.159505,-0.005192,-0.002725,0.010400,0.989126,0.019602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,-0.006473,0.000000,0.200274,0.049812,0.000000,8.026046,8.025835,0.058218,8.000391,0.413822,0.372389,0.000257,0.258607,0.216445,0.000000,0.000000,0.000000,1.401302,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.134341,0.011238,0.000000,0.000000,-0.353085,0.000000,0.000000,-1.000000,-0.007080,0.012847,-0.013858,0,takeoff,,8.026046,0.343106,-0.003514,0,,,
0.355165,-0.025099,-0.037647,0.009313,0.000978,-0.001651,-0.006743,8.000057,0.069235,0.079425,0.000425,0.308536,0.208485,1,7.965363,1.055159,0.192348,0.992976,1.000000,1,7.963690,1.035623,0.160026,-0.005192,-0.002725,0.010400,0.970425,0.019476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CV,-0.006796,-0.005220,0.361601,0.050058,0.000000,8.026174,8.025868,0.070112,8.000653,0.501589,0.371577,0.000425,0.308536,0.208485,0.000000,0.000000,0.000000,1.401309,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.134352,0.013325,0.000000,0.000000,-0.403143,0.000000,0.000000,-1.000000,-0.009014,0.017634,-0.013255,0,takeoff,,8.026174,0.377544,-0.005458,0,,,
0.405175,-0.025161,-0.036821,0.008524,0.000675,-0.000992,-0.007003,8.000100,0.089811,0.089123,0.000655,0.358639,0.199209,1,7.955235,1.069428,0.217262,0.988981,1.000000,1,7.961561,1.043147,0.173395,-0.007764,0.007816,0.028084,0.957829,0.019633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.007324,-0.008698,0.488016,0.049925,0.000000,8.026665,8.026260,0.080599,8.008156,0.908359,0.368282,0.012874,0.726353,0.199209,0.012211,0.119985,0.000000,1.401333,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.134357,0.015787,0.000000,0.000000,-0.453067,0.000000,0.000000,-1.000000,-0.007110,0.015315,-0.004711,0,takeoff,,8.026665,0.414558,-0.007725,0,,,
0.455135,-0.025382,-0.035406,0.007717,0.000025,0.000309,-0.007121,8.000158,0.112776,0.098428,0.000954,0.408493,0.188755,1,7.955235,1.069428,0.217262,0.965051,1.000000,1,7.961173,1.043538,0.174801,-0.007764,0.007816,0.028084,0.934704,0.019333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCTRA,-0.008069,-0.012608,0.592180,0.050015,0.000000,8.027420,8.026907,0.090711,8.011653,1.068636,0.362945,0.018641,0.854634,0.188755,0.018197,0.145467,0.000000,1.401371,nan,0.000000,0,PURSUIT,0.000000,0.000000000,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.134383,0.018472,0.000000,0.000000,-0.503082,0.000000,0.000000,-1.000000,-0.012273,0.020727,-0.004447,0,takeoff,,8.027420,0.452750,-0.010678,0,,,
