time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.042156,0.001439,0.021966,0.038616,0.000443,0.013312,0.000972,20.002019,0.448017,0.021072,0.031252,4.999902,0.234893,CV,0.000000,20.005125,20.005118,-0.017544,20.064523,10.447822,0.490858,0.031252,4.999902,0.234893,-0.000000,0.000000,0.000000,2.000000,0.000443,0.013312,0.000972,0.000000,0.000000,0.000000,-0.002651,0.002882,-0.007983,0,takeoff,,20.005125,4.992169,-0.136797,0,,,
0.091935,0.001430,0.022417,0.037756,0.000326,0.013314,0.000798,20.005651,0.701967,0.032867,0.062518,4.999609,0.232719,CV,-0.127263,20.015761,20.015760,-0.004889,20.130687,10.701185,0.498304,0.062518,4.999609,0.232719,-0.000000,0.000000,0.000000,2.000000,0.000326,0.013314,0.000798,0.000000,0.000000,0.000000,-0.001096,-0.001834,0.001455,0,takeoff,,20.015761,4.992074,-0.231388,0,,,
0.141914,0.001423,0.022691,0.037242,0.000327,0.013330,0.000566,20.010849,0.953272,0.044335,0.093810,4.999120,0.229109,CV,-0.126764,20.031054,20.031053,0.007093,20.198470,10.951512,0.502553,0.093810,4.999120,0.229109,-0.000000,0.000000,0.000000,2.000000,0.000327,0.013330,0.000566,0.000000,0.000000,0.000000,-0.004754,0.000881,-0.008182,0,takeoff,,20.031054,4.991901,-0.325088,0,,,
0.191961,0.001371,0.022954,0.036632,0.000165,0.012952,0.000274,20.018102,1.202578,0.055440,0.125143,4.998434,0.224087,CTRV,-0.126461,20.051468,20.051459,0.018808,21.523215,11.061720,0.503615,1.371938,4.808096,0.224087,0.608035,-0.173496,0.000000,2.000000,0.000165,0.012952,0.000274,0.000000,0.000000,0.000000,-0.004950,-0.004930,-0.004936,0,takeoff,,20.051468,4.992068,-0.418267,0,,,
0.241901,0.001276,0.023085,0.036238,0.000049,0.012800,0.000183,20.026398,1.451961,0.066209,0.156530,4.997549,0.217684,CTRV,-0.126222,20.076058,20.076035,0.029971,21.591058,11.301931,0.501577,1.399812,4.800055,0.217684,0.605872,-0.176687,0.000000,2.000000,0.000049,0.012800,0.000183,0.000000,0.000000,0.000000,-0.002257,-0.004247,-0.001186,0,takeoff,,20.076058,4.991946,-0.511189,0,,,
0.291824,0.001119,0.023216,0.035680,0.000023,0.012705,-0.000105,20.036253,1.701088,0.076563,0.187985,4.996465,0.209938,CTRV,-0.126088,20.105311,20.105269,0.040883,21.661575,11.541287,0.496440,1.428715,4.791531,0.209938,0.604154,-0.180144,0.000000,2.000000,0.000023,0.012705,-0.000105,0.000000,0.000000,0.000000,0.003841,-0.001110,-0.008097,0,takeoff,,20.105311,4.991724,-0.603648,0,,,
0.341876,0.000986,0.023296,0.035409,-0.000207,0.012566,-0.000356,20.047747,1.951545,0.086504,0.219520,4.995179,0.200899,CTRV,-0.126172,20.139350,20.139285,0.051095,21.735967,11.781113,0.488301,1.459732,4.782173,0.200899,0.603374,-0.184177,0.000000,2.000000,-0.000207,0.012566,-0.000356,0.000000,0.000000,0.000000,-0.006604,-0.001867,-0.005302,0,takeoff,,20.139350,4.991514,-0.696289,0,,,
0.392599,0.000651,0.023356,0.035132,-0.000394,0.012409,-0.000352,20.060997,2.204870,0.096021,0.251151,4.993688,0.190620,CTRV,-0.126303,20.178707,20.178615,0.060889,21.812719,12.023263,0.477261,1.491247,4.772440,0.190620,0.602775,-0.188349,0.000000,2.000000,-0.000394,0.012409,-0.000352,0.000000,0.000000,0.000000,-0.003270,-0.003633,-0.002156,0,takeoff,,20.178707,4.991281,-0.789171,0,,,
0.441856,0.000387,0.023307,0.035108,-0.000587,0.012290,-0.000343,20.075417,2.450577,0.104660,0.282890,4.991991,0.179166,CTRV,-0.126490,20.221358,20.221239,0.069552,21.891336,12.257220,0.462993,1.523333,4.762295,0.179166,0.602383,-0.192687,0.000000,2.000000,-0.000587,0.012290,-0.000343,0.000000,0.000000,0.000000,-0.008720,-0.004794,-0.000384,0,takeoff,,20.221358,4.990992,-0.879781,0,,,
0.491928,-0.000050,0.023052,0.035215,-0.000907,0.011934,-0.000295,20.091695,2.700745,0.112824,0.314753,4.990083,0.166608,CTRV,-0.126853,20.269540,20.269392,0.077609,21.973705,12.494763,0.446041,1.557152,4.751345,0.166608,0.602722,-0.197529,0.000000,2.000000,-0.000907,0.011934,-0.000295,0.000000,0.000000,0.000000,-0.006620,-0.009546,-0.003831,0,takeoff,,20.269540,4.990938,-0.971165,0,,,
