time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,t_go,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.039259,0.017152,0.027220,-0.028042,0.004830,0.002176,-0.002735,20.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,19.982886,19.982866,0.028042,20.000000,-0.000000,0.000000,2.595177,0.004830,0.002176,-0.002735,0.000000,0.000000,0.000000,-0.011537,-0.011296,0.001552,0,takeoff,,19.982886,0.005962,0.004823,0,,,
0.063664,0.016690,0.026727,-0.027755,0.004489,0.001806,-0.002739,20.001517,0.367694,0.017298,0.031252,4.999902,0.234893,19.987787,19.987736,0.045053,20.110336,17.777104,0.835184,3.481950,0.004489,0.001806,-0.002739,0.000000,0.000000,0.000000,-0.007108,-0.010146,-0.003651,0,takeoff,,19.987787,5.003814,-0.112556,0,,,
0.113787,0.016009,0.025961,-0.027428,0.004213,0.001127,-0.002905,20.004775,0.631888,0.029605,0.062518,4.999609,0.232719,19.998029,19.997947,0.057033,20.226223,18.341281,0.853930,3.542155,0.004213,0.001127,-0.002905,0.000000,0.000000,0.000000,-0.002668,-0.011903,-0.004207,0,takeoff,,19.998029,5.004372,-0.210401,0,,,
0.163804,0.015633,0.025528,-0.027295,0.003943,0.000781,-0.002808,20.009500,0.881397,0.041041,0.093810,4.999120,0.229109,20.012294,20.012177,0.068336,20.347377,18.886735,0.866224,3.601702,0.003943,0.000781,-0.002808,0.000000,0.000000,0.000000,-0.005724,-0.005441,0.001956,0,takeoff,,20.012294,5.004524,-0.304341,0,,,
0.213767,0.015137,0.024941,-0.026981,0.003370,0.000395,-0.002767,20.015804,1.131566,0.052256,0.125143,4.998434,0.224087,20.031415,20.031258,0.079237,20.474216,19.441306,0.873109,3.663096,0.003370,0.000395,-0.002767,0.000000,0.000000,0.000000,-0.014012,-0.006957,0.001520,0,takeoff,,20.031415,5.004666,-0.398598,0,,,
0.263614,0.014816,0.024459,-0.026744,0.003182,-0.000014,-0.002783,20.023658,1.380979,0.063117,0.156530,4.997549,0.217684,20.054973,20.054772,0.089861,20.606890,20.001888,0.874209,3.726008,0.003182,-0.000014,-0.002783,0.000000,0.000000,0.000000,0.000086,-0.008958,-0.003040,0,takeoff,,20.054973,5.004773,-0.492019,0,,,
0.313722,0.014399,0.023659,-0.026193,0.002769,-0.000533,-0.002570,20.033099,1.630892,0.073613,0.187985,4.996465,0.209938,20.083364,20.083116,0.099806,20.745706,20.571357,0.869442,3.790773,0.002769,-0.000533,-0.002570,0.000000,0.000000,0.000000,-0.006850,-0.009185,0.003263,0,takeoff,,20.083364,5.004943,-0.585576,0,,,
0.363656,0.014175,0.023130,-0.025783,0.002600,-0.000954,-0.002462,20.044116,1.880678,0.083653,0.219520,4.995179,0.200899,20.116187,20.115890,0.109436,20.890833,21.147722,0.858545,3.857128,0.002600,-0.000954,-0.002462,0.000000,0.000000,0.000000,-0.003658,-0.008863,0.001853,0,takeoff,,20.116187,5.004973,-0.678444,0,,,
0.413708,0.013705,0.022368,-0.025141,0.002120,-0.001512,-0.002271,20.056732,2.130733,0.093190,0.251151,4.993688,0.190620,20.153961,20.153614,0.118331,21.042576,21.732503,0.841433,3.925309,0.002120,-0.001512,-0.002271,0.000000,0.000000,0.000000,-0.008664,-0.009154,0.001923,0,takeoff,,20.153961,5.005122,-0.771355,0,,,
0.463722,0.013123,0.021867,-0.024610,0.001570,-0.001931,-0.002125,20.070959,2.381037,0.102163,0.282890,4.991991,0.179166,20.196499,20.196101,0.126773,21.201162,22.325037,0.817969,3.995200,0.001570,-0.001931,-0.002125,0.000000,0.000000,0.000000,-0.012021,-0.007326,0.003826,0,takeoff,,20.196499,5.005124,-0.863871,0,,,
