time,mission_id,phase,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,distance,horizontal_distance,vertical_error,relative_speed,closing_speed,controller_status,plan_id,plan_source_age,tracker_rejection_reason,plan_prediction_sequence_id,latest_prediction_sequence_id,planner_source_age_at_publish,planner_completion_to_publish_delay,selected_t_go,contact_stamp,remaining_t_go,terminal_mode,planned_capture_margin,target_yaw,sea_safety_state,sea_safety_margin,gazebo_real_time_factor,front_rgb_hz,front_depth_hz,down_rgb_hz,down_depth_hz,rgbd_localizer_compute_time,front_monitor_compute_time,down_monitor_compute_time,tracker_hz,tracker_callback_time,planner_compute_time,prediction_0p5_error,prediction_1p0_error,prediction_2p0_error
0.043738365173339844,1,FAR_GUIDANCE,67.37594080992014,-16.919217255675015,-4.999637153587188,3.471898953287848,-2.069032705813725,-0.003388973045829558,71.87313064625317,-19.15506009078562,0.14889783799337103,3.765431668655392,-1.3496385992876294,0.028510444077621724,7.192435065182169,5.022321137415705,5.14853499158056,0.777629030006171,0.017260433791730537,FAR_GUIDANCE,0,0.0,,0,746,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.46818258219967657,SAFE,4.929116420745849,1.0009148120880127,20.085474014282227,20.097665786743164,20.12501335144043,19.944168090820312,0.004173341207206249,0.003793202107772231,0.0019950009882450104,0.0,0.0006312820041785017,0.0,,,
0.09480571746826172,1,FAR_GUIDANCE,67.55121956057967,-17.022644105317372,-5.000351849125333,3.481745248653171,-2.049248681392659,-0.0026126367105506775,72.065947391246,-19.222936061128205,0.1498737867721533,3.7806115652260015,-1.3065129899390218,0.009663658314707755,7.19366917340898,5.022355231940387,5.1502256358974865,0.8007047458086354,0.03082009964894613,FAR_GUIDANCE,0,0.0,,0,747,0.0,0.0,0.0,0.0,0.0,False,0.0,-0.46121614829997615,SAFE,4.929673843383789,1.0009148120880127,20.085474014282227,20.097665786743164,19.659189224243164,19.67698860168457,0.008632280863821507,0.003793202107772231,0.0019950009882450104,20.14806844274501,0.0005955759988864884,0.0,,,
0.14376139640808105,1,FAR_GUIDANCE,67.73417051027147,-17.129198055924544,-5.001073852603098,3.491942994732696,-2.0279164027824677,-0.0023466957697212726,72.25122428604072,-19.28580536947906,0.14990384542203636,3.7950708508663125,-1.263897637035864,-0.008435209575445371,7.182430031933513,5.005469999717121,5.150977698025135,0.8219782488469438,0.04313379013270138,FAR_GUIDANCE,0,0.0,,0,748,0.13475990295410156,0.0002562999725341797,0.0,0.0,0.0,False,0.0,-0.45244699451856984,SAFE,4.930596523284912,1.0010724067687988,20.18113899230957,20.178810119628906,19.659189224243164,19.67698860168457,0.008632280863821507,0.003793202107772231,0.0019950009882450104,20.05097952978746,0.0005348730046534911,0.06359042599797249,,,
0.19385457038879395,1,FAR_GUIDANCE,67.88903114739767,-17.21818134716001,-5.0016313738180695,3.5006705732677887,-2.0091255977586733,-0.0018117704691622478,72.44154792426764,-19.347947081604765,0.149018984442152,3.8097647762794833,-1.21888980200022,-0.026903402278122514,7.1965623877198235,5.026063179795645,5.150650358260221,0.8489060190741182,0.05629059759857875,FAR_GUIDANCE,0,0.0,,0,749,0.13475990295410156,0.0002562999725341797,0.0,0.0,0.0,False,0.0,-0.4451402539973994,SAFE,4.931132011413574,1.0010724067687988,20.18113899230957,20.178810119628906,19.755634307861328,19.7454776763916,0.005547819193452597,0.003793202107772231,0.005170850083231926,19.99696777546282,0.0008664760098326951,0.06359042599797249,,,
0.24377727508544922,1,FAR_GUIDANCE,68.07420132371017,-17.32318491068271,-5.0022038597352365,3.5108376917785806,-1.9859792435827903,-0.0010564316809130586,72.63229982619025,-19.40770647130406,0.14721700837177365,3.824297616073555,-1.1724963725718411,-0.04517650778351564,7.185960434896811,5.012134484928193,5.14942086810701,0.8729021060133416,0.0687638371187813,FAR_GUIDANCE,0,0.0,,0,750,0.13475990295410156,0.0002562999725341797,0.0,0.0,0.0,False,0.0,-0.43648471406176537,SAFE,4.931827716827392,0.9906414151191711,19.847021102905273,19.859128952026367,19.755634307861328,19.7454776763916,0.005547819193452597,0.001671727979555726,0.005170850083231926,20.00925014878237,0.0006228070124052465,0.06359042599797249,,,
0.29376840591430664,1,FAR_GUIDANCE,68.24314784844792,-17.417660070118803,-5.002622080857548,3.520123663454094,-1.964082463342022,-0.0002275457276892713,72.82360518149048,-19.465060702270886,0.14451111777990366,3.8386422229868145,-1.1246447812099811,-0.0631557184482838,7.187866087572577,5.017214239830716,5.147133198637452,0.9000386935415418,0.08119297843853847,FAR_GUIDANCE,0,0.0,,0,751,0.13475990295410156,0.0002562999725341797,0.0,0.0,0.0,False,0.0,-0.42865448081256075,SAFE,4.932242565155029,0.9906414151191711,19.847021102905273,19.859128952026367,20.01996612548828,20.019872665405273,0.004887035116553307,0.001671727979555726,0.001989403972402215,20.01183255785548,0.000649503999738954,0.06359042599797249,,,
0.3436117172241211,1,FAR_GUIDANCE,68.41766671076788,-17.51393999939439,-5.002962440708171,3.5295981971244283,-1.9407411960097845,0.00026615355765992034,73.01569579707851,-19.52000810694529,0.14091521010734556,3.852775416681749,-1.0752309466401975,-0.08075334762628227,7.185099722150751,5.0165905484393924,5.143877650815517,0.9274242106914721,0.09283777256773133,FAR_GUIDANCE,0,0.0,,0,752,0.12024950981140137,0.009284019470214844,0.0,0.0,0.0,False,0.0,-0.41949675867902014,SAFE,4.9327155876159665,1.0022296905517578,20.086238861083984,20.096494674682617,20.01996612548828,20.019872665405273,0.004887035116553307,0.001671727979555726,0.001989403972402215,19.87963125340664,0.0026220380095764995,0.04025728699343745,,,
0.39365196228027344,1,FAR_GUIDANCE,68.59570497600782,-17.6107641255366,-5.0032403454885745,3.539204307105701,-1.916030589643572,0.0008723339377104765,73.20870396098218,-19.572505589358936,0.1364467645382554,3.8666619483921214,-1.024170579960411,-0.09787309664354624,7.179454909338881,5.012802530147604,5.13968711002683,0.9551928830187083,0.10398527746243263,FAR_GUIDANCE,0,0.0,,0,753,0.12024950981140137,0.009284019470214844,0.0,0.0,0.0,False,0.0,-0.41119252244423077,SAFE,4.932937194650837,1.0022296905517578,20.086238861083984,20.096494674682617,20.11164093017578,19.750850677490234,0.003490092931315303,0.001671727979555726,0.001989403972402215,19.930858686347626,0.002054128999589011,0.04025728699343745,,,
0.4435915946960449,1,FAR_GUIDANCE,68.78113055010402,-17.71009620763792,-5.0035405314134875,3.549403810739773,-1.889443863988164,0.0013203504347150182,73.40228850943843,-19.622381429597272,0.13114015137496057,3.880228897532761,-0.9715058943473743,-0.11438008514850022,7.167766832803976,5.001193423098521,5.134680682788448,0.982569053529567,0.11449159016475059,FAR_GUIDANCE,0,0.0,,0,754,0.12024950981140137,0.009284019470214844,0.0,0.0,0.0,False,0.0,-0.40085501262674716,SAFE,4.9331594742162075,1.0000710487365723,20.135499954223633,20.1514892578125,20.11164093017578,19.750850677490234,0.003490092931315303,0.001671727979555726,0.001989403972402215,20.013307837380996,0.0005063600110588595,0.04025728699343745,,,
0.4936199188232422,1,FAR_GUIDANCE,68.94635670081864,-17.797160320995534,-5.003851482275906,3.5586834548651143,-1.865169562753282,0.0016719429785185683,73.59677605532026,-19.669638657717407,0.12501793960119836,3.893446668991654,-0.9171003411392861,-0.13020105883730962,7.172020415537172,5.013239999662493,5.128869421877105,1.014047408710272,0.12476388852457972,FAR_GUIDANCE,0,0.0,,0,755,0.12024950981140137,0.009284019470214844,0.0,0.0,0.0,False,0.0,-0.39202896416653443,SAFE,4.933364675037388,1.0000710487365723,20.135499954223633,20.1514892578125,19.783000946044922,19.79601287841797,0.009278152137994766,0.001671727979555726,0.0023606319446116686,20.02333711888744,0.0005989259952912107,0.04025728699343745,,,
