time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,camera_measurement_valid,camera_x,camera_y,camera_z,camera_position_error,camera_confidence,kf_state_valid,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,kf_position_error,kf_state_age,guidance_prediction_0p5_x,guidance_prediction_0p5_y,guidance_prediction_0p5_z,guidance_prediction_0p5_error,guidance_prediction_0p5_age,guidance_prediction_1p0_x,guidance_prediction_1p0_y,guidance_prediction_1p0_z,guidance_prediction_1p0_error,guidance_prediction_1p0_age,guidance_prediction_2p0_x,guidance_prediction_2p0_y,guidance_prediction_2p0_z,guidance_prediction_2p0_error,guidance_prediction_2p0_age,kf_prediction_0p5_x,kf_prediction_0p5_y,kf_prediction_0p5_z,kf_prediction_0p5_error,kf_prediction_0p5_age,kf_prediction_1p0_x,kf_prediction_1p0_y,kf_prediction_1p0_z,kf_prediction_1p0_error,kf_prediction_1p0_age,kf_prediction_2p0_x,kf_prediction_2p0_y,kf_prediction_2p0_z,kf_prediction_2p0_error,kf_prediction_2p0_age,prediction_model,estimated_turn_rate,distance,horizontal_distance,vertical_error,intercept_x,intercept_y,intercept_z,intercept_vx,intercept_vy,intercept_vz,intercept_ax,intercept_ay,intercept_az,t_go,guidance_altitude_reference,guidance_closing_speed,trajectory_plan_feasible,trajectory_planner,minco_target_curve_weight,planned_closing_speed,planned_max_horizontal_speed,planned_max_vertical_speed,planned_max_horizontal_acceleration,planned_max_vertical_acceleration,uav_yaw,observation_yaw,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase,intercept_elapsed_time,minimum_distance,relative_speed,closing_speed,constraint_violation,outcome,failure_reason,failure_detail
0.041912,-0.001052,0.033547,-0.074254,-0.009876,0.021076,0.003902,51.461176,-3.448201,-0.095693,2.843379,-2.813396,-0.190620,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,0.007711,51.579880,51.579875,-0.021440,57.191096,-9.030920,-0.476934,2.886427,-2.769213,-0.190620,0.021353,0.022257,0.000000,2.000000,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131689,0.081689,0.000000,0.000000,-0.046098,0.197514,-0.421510,-1.000000,0.003861,0.001226,0.005311,0,takeoff,,51.579880,4.026553,-3.038160,0,,,
0.091912,-0.000446,0.033711,-0.074001,-0.009538,0.021032,0.004188,51.602362,-3.587730,-0.104423,2.844684,-2.812076,-0.179166,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,0.008066,51.729736,51.729727,-0.030423,57.336847,-9.165749,-0.462756,2.889677,-2.765821,-0.179166,0.022310,0.023309,0.000000,2.000000,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131659,0.031689,0.000000,0.000000,-0.096098,0.000000,0.000000,-1.000000,0.011237,-0.002304,0.008565,0,takeoff,,51.729736,4.025755,-3.045664,0,,,
0.142404,0.000529,0.033940,-0.073827,-0.008728,0.020711,0.004135,51.746237,-3.729777,-0.112672,2.846045,-2.810699,-0.166608,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,0.008498,51.882418,51.882404,-0.038845,57.485823,-9.302533,-0.445888,2.893403,-2.761923,-0.166608,0.023471,0.024589,0.000000,2.000000,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131615,-0.018311,0.000000,0.000000,-0.146098,0.000000,0.000000,-1.000000,0.011341,-0.003712,-0.000858,0,takeoff,,51.882418,4.024396,-3.052778,0,,,
0.192080,0.001039,0.033999,-0.073765,-0.008353,0.020555,0.004099,51.888053,-3.869649,-0.120097,2.847462,-2.809263,-0.153023,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,0.008897,52.033671,52.033650,-0.046332,57.632664,-9.437212,-0.426142,2.896997,-2.758153,-0.153023,0.024539,0.025775,0.000000,2.000000,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131598,-0.068311,0.000000,0.000000,-0.196098,0.000000,0.000000,-1.000000,0.008655,-0.005772,-0.002752,0,takeoff,,52.033671,4.023461,-3.060203,0,,,
0.242061,0.001733,0.034023,-0.073738,-0.007923,0.020237,0.004060,52.030294,-4.009790,-0.126805,2.848936,-2.807768,-0.138494,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,0.009296,52.185500,52.185473,-0.053067,57.780038,-9.572038,-0.403792,2.900643,-2.754319,-0.138494,0.025604,0.026965,0.000000,2.000000,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131586,-0.077580,0.000000,0.000000,-0.246098,0.000000,0.000000,-1.000000,0.004511,-0.006212,-0.003687,0,takeoff,,52.185500,4.022385,-3.067552,0,,,
0.292319,0.002241,0.034019,-0.073771,-0.007453,0.020011,0.004030,52.172979,-4.150215,-0.132748,2.850467,-2.806214,-0.123111,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,0.009694,52.338296,52.338262,-0.058977,57.927959,-9.707030,-0.378970,2.904333,-2.750427,-0.123111,0.026662,0.028154,0.000000,2.000000,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131577,-0.080046,0.000000,0.000000,-0.296098,0.000000,0.000000,-1.000000,0.010179,-0.002601,0.003634,0,takeoff,,52.338296,4.021371,-3.074859,0,,,
0.341979,0.003138,0.034051,-0.073861,-0.006953,0.019634,0.004017,52.315057,-4.289882,-0.137847,2.852056,-2.804600,-0.106969,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,0.010100,52.490354,52.490315,-0.063986,58.075429,-9.841092,-0.351785,2.908121,-2.746422,-0.106969,0.027738,0.029371,0.000000,2.000000,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131536,-0.082480,0.000000,0.000000,-0.346098,0.000000,0.000000,-1.000000,0.006880,-0.006390,-0.000260,0,takeoff,,52.490354,4.020267,-3.082074,0,,,
0.391887,0.003770,0.033992,-0.073922,-0.006634,0.019342,0.003862,52.457920,-4.430155,-0.142123,2.853702,-2.802924,-0.090168,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,0.010514,52.643814,52.643770,-0.068202,58.223839,-9.975588,-0.322459,2.912004,-2.742304,-0.090168,0.028831,0.030616,0.000000,2.000000,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131519,-0.084909,0.000000,0.000000,-0.396098,0.000000,0.000000,-1.000000,0.009986,-0.006447,-0.006240,0,takeoff,,52.643814,4.019396,-3.089478,0,,,
0.442238,0.004578,0.033738,-0.073962,-0.006070,0.018808,0.003749,52.600852,-4.570323,-0.145522,2.855406,-2.801188,-0.072810,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,0.010921,52.797449,52.797400,-0.071560,58.372393,-10.109887,-0.291143,2.915906,-2.738155,-0.072810,0.029904,0.031846,0.000000,2.000000,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131500,-0.087328,0.000000,0.000000,-0.446098,0.000000,0.000000,-1.000000,0.012964,-0.010259,-0.000511,0,takeoff,,52.797449,4.018244,-3.096587,0,,,
0.492772,0.005166,0.033395,-0.073991,-0.005676,0.018406,0.003576,52.744719,-4.711228,-0.148037,2.857169,-2.799390,-0.055004,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTRV,0.011345,52.952596,52.952544,-0.074046,58.522081,-10.244703,-0.258046,2.919945,-2.733847,-0.055004,0.031015,0.033126,0.000000,2.000000,nan,0.000000,0,PURSUIT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131466,-0.089745,0.000000,0.000000,-0.496098,0.000000,0.000000,-1.000000,0.005427,-0.011294,-0.002484,0,takeoff,,52.952596,4.017373,-3.103887,0,,,
