measurement_stamp,receipt_stamp,processed_stamp,published_stamp,source,valid,observation_valid,truth_available,rejection_reason,rgb_raw_stamp,depth_raw_stamp,rgb_receipt_stamp,depth_receipt_stamp,rgb_mapped_stamp,depth_mapped_stamp,rgb_depth_acquisition_skew,pose_history_start_stamp,pose_history_end_stamp,approach_phase,distance_bin,motion_regime,confidence,red_pixel_count,valid_depth_ratio,target_range,view_angle,position_x,position_y,position_z,covariance_xx,covariance_yy,covariance_zz,truth_x,truth_y,truth_z,error_x,error_y,error_z,horizontal_error,position_3d_error,observation_age
1790061588.7151356,1790061588.7161562,1790061589.312005,1790061589.312005,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,57.452,57.5,1790061588.6672697,1790061588.7161562,1790061588.6911354,1790061588.7391355,0.04800000000000182,1790061589.150074,1790061589.2908192,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001020669937133789
1790061588.8411355,1790061588.8651412,1790061589.4124415,1790061589.4124415,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,57.552,57.652,1790061588.770981,1790061588.8651412,1790061588.7911355,1790061588.8911355,0.10000000000000142,1790061589.3315778,1790061589.3902647,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.024005651473999023
1790061588.9411354,1790061588.9673116,1790061589.5123136,1790061589.5123136,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,57.652,57.752,1790061588.8664944,1790061588.9673116,1790061588.8911355,1790061588.9911356,0.10000000000000142,1790061589.3315778,1790061589.4862013,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02617621421813965
1790061589.1411355,1790061589.1673396,1790061589.6117382,1790061589.6117382,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,57.852,57.952,1790061589.0705986,1790061589.1673396,1790061589.0911355,1790061589.1911354,0.10000000000000142,1790061589.3315778,1790061589.5900106,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02620410919189453
1790061589.2411356,1790061589.268903,1790061589.7119222,1790061589.7119222,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,57.952,58.052,1790061589.1698022,1790061589.268903,1790061589.1911354,1790061589.2911355,0.10000000000000142,-inf,inf,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,44.237771692683964,3.7455374016118475,-0.00851042208920871,nan,nan,nan,nan,nan,0.027767419815063477
1790061589.3151355,1790061589.3197892,1790061589.8154962,1790061589.8154962,front_rgbd_red_sphere,False,False,True,POSE_UNAVAILABLE,58.052,58.1,1790061589.2726264,1790061589.3197892,1790061589.2911355,1790061589.3391354,0.04800000000000182,1790061589.712492,1790061589.7902043,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,44.44837354719427,3.5375844729710706,-0.002741590731998873,nan,nan,nan,nan,nan,0.0046536922454833984
1790061589.3651354,1790061589.367007,1790061589.917109,1790061589.917109,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,58.1,58.152,1790061589.3247166,1790061589.367007,1790061589.3391354,1790061589.3911355,0.0519999999999996,-inf,inf,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0018715858459472656
1790061589.4149377,1790061589.4149377,1790061590.0130584,1790061590.0130584,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,58.2,58.2,1790061589.4149377,1790061589.4139297,1790061589.4149377,1790061589.4149377,0.0,1790061589.95021,1790061589.98621,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1790061589.4669378,1790061589.4719021,1790061590.111516,1790061590.111516,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,58.252,58.252,1790061589.4719021,1790061589.4693875,1790061589.4669378,1790061589.4669378,0.0,1790061590.0586357,1790061590.0986357,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004964351654052734
1790061589.5149376,1790061589.5204425,1790061590.2115214,1790061590.2115214,front_rgbd_red_sphere,False,False,False,POSE_UNAVAILABLE,58.3,58.3,1790061589.5204425,1790061589.5187037,1790061589.5149376,1790061589.5149376,0.0,-inf,inf,PREPARATION,UNKNOWN,STRAIGHT,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0055048465728759766
