measurement_stamp,valid,truth_available,geometry_diagnostics_enabled,gazebo_entity_available,gazebo_model_available,rejection_reason,image_clock_status,image_clock_reset_count,gazebo_entity_clock_status,gazebo_entity_clock_reset_count,gazebo_entity_raw_stamp,gazebo_entity_mapped_stamp,rgb_depth_acquisition_skew,observation_age,depth_median,depth_mad,valid_depth_count,red_pixel_count,target_range,view_angle,projection_centroid_u,projection_centroid_v,mask_centroid_u,mask_centroid_v,camera_fx,camera_fy,camera_cx,camera_cy,camera_pitch_down,target_reference_z_offset,gazebo_model_heading_ned,px4_attitude_yaw_ned,model_px4_heading_difference,position_x,position_y,position_z,truth_x,truth_y,truth_z,truth_velocity_x,truth_velocity_y,truth_velocity_z,gazebo_entity_center_x,gazebo_entity_center_y,gazebo_entity_center_z,gazebo_model_world_x,gazebo_model_world_y,gazebo_model_world_z,physical_camera_world_x,physical_camera_world_y,physical_camera_world_z,physical_expected_camera_x,physical_expected_camera_y,physical_expected_camera_z,physical_camera_center_error_x,physical_camera_center_error_y,physical_camera_center_error_z,gazebo_entity_reference_x,gazebo_entity_reference_y,gazebo_entity_reference_z,error_x,error_y,error_z,entity_to_truth_x,entity_to_truth_y,entity_to_truth_z,vision_to_entity_x,vision_to_entity_y,vision_to_entity_z,interpolated_uav_x,interpolated_uav_y,interpolated_uav_z,uav_velocity_latest_x,uav_velocity_latest_y,uav_velocity_latest_z,center_camera_x,center_camera_y,center_camera_z,target_body_flu_x,target_body_flu_y,target_body_flu_z,camera_center_error_x,camera_center_error_y,camera_center_error_z,body_flu_error_x,body_flu_error_y,body_flu_error_z,projection_error_u,projection_error_v,entity_expected_projection_u,entity_expected_projection_v,physical_expected_projection_u,physical_expected_projection_v,physical_projection_error_u,physical_projection_error_v,error_3d,entity_to_truth_3d,vision_to_entity_3d,camera_center_error_3d,body_flu_error_3d,physical_camera_center_error_3d
1790148454.5736823,True,True,True,False,False,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,110.984,1790148455.15768,0.0,0.5943152904510498,7.259042501449585,0.04813814163208008,248,248,8.21028995513916,0.4163054823875427,346.0,356.5,346.0,356.5,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,nan,nan,nan,8.030230572399603,0.7295033088986397,0.18360331259355084,8.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030230572399602806,0.7295033088986397,0.18360331259355084,nan,nan,nan,nan,nan,nan,0.9993136361408473,-0.0067092769264266,-5.000953901766106,-0.001185904024168849,0.004839695990085602,-0.002058275043964386,7.509042501449585,-0.7231781987644126,-3.2403946213866948,7.021233664990224,-0.7231781987644126,-4.7808052145474305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7528606388947405,nan,nan,nan,nan,nan
1790148454.673684,True,True,True,False,False,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,111.044,1790148455.2176888,0.0,0.5543918609619141,7.257819175720215,0.04719996452331543,248,248,8.208952903747559,0.4163054823875427,346.0,356.5,346.0,356.5,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,nan,nan,nan,8.027846467945352,0.7281888375155849,0.18408993946579782,8.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02784646794535206,0.7281888375155849,0.18408993946579782,nan,nan,nan,nan,nan,nan,0.9983768641978898,-0.007135939255237291,-5.000347302136515,-0.0004929809365421534,0.004709857050329447,-0.002386954613029957,7.507819175720215,-0.7230603831444721,-3.2398667167819615,7.02014682977955,-0.7230603831444721,-4.780034501671791,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7516139399132055,nan,nan,nan,nan,nan
1790148454.7736754,True,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,111.044,1790148455.2176888,0.0,0.45535898208618164,7.257959842681885,0.04665517807006836,250,250,8.203628540039062,0.41479262709617615,346.0,356.0,346.0,356.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,-0.09983772168889996,0.0012207536418900604,-0.10105847533079002,8.028586935917154,0.7274437802691561,0.17381507779149802,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,-0.03252583102388285,1.0109376440392956,4.942669170099129,-0.06737811305051296,1.3592197965817803,5.132629325547343,7.436900797663994,-0.729815773474593,-3.2362404333934633,0.07105904501789073,0.00674184302632741,0.010218282162739456,8.0,0.0,0.0,0.02858693591715422,0.7274437802691561,0.17381507779149802,0.0,0.0,0.0,0.02858693591715422,0.7274437802691561,0.17381507779149802,0.9974202935436549,-0.006977395888350069,-4.999152752654976,-0.0004929809365421534,0.004709857050329447,-0.002386954613029957,7.507959842681885,-0.7230739304482656,-3.226022151230724,7.023162876481034,-0.7230739304482656,-4.766521720877629,0.0647503859713554,-0.7273074133618317,-0.1644222053451374,0.029150050602026134,-0.7273074133618317,-0.17429156217068442,26.153550118516705,4.954545432332793,319.8464498814833,351.0454545676672,346.4931648799632,357.4793071200749,-0.4931648799632171,-1.4793071200749068,0.7484673323700082,0.0,0.7484673323700082,0.7484673323700083,0.7484673323700083,0.07210585008585378
1790148454.8256981,True,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,111.044,1790148455.2176888,0.09999999999999432,0.4039478302001953,7.2611799240112305,0.0500493049621582,249,249,8.207146644592285,0.41479262709617615,346.0,356.0,346.0,356.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,-0.09988958952727017,0.0012535436306579364,-0.10114313315792811,8.03019363119635,0.7281249761131271,0.1775735151509626,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,-0.03269113769492676,1.0110851758197477,4.942418003475182,-0.06756093567535451,1.3593999262485312,5.1323151646507466,7.437184368397716,-0.7304204141065205,-3.2346286834274887,0.07399555561351434,0.007036365209040829,0.007222926807964214,8.0,0.0,0.0,0.03019363119635088,0.7281249761131271,0.1775735151509626,0.0,0.0,0.0,0.03019363119635088,0.7281249761131271,0.1775735151509626,0.9969701907068057,-0.00666643908148413,-4.998599081333875,-0.0004929809365421534,0.004709857050329447,-0.002386954613029957,7.5111799240112305,-0.7233840488974796,-3.2274057566195244,7.026024922580971,-0.7233840488974796,-4.768544585124519,0.06714348795758251,-0.7279899545838578,-0.16772706262709836,0.03080373727585961,-0.7279899545838578,-0.1780217550819687,26.167039482485734,5.036558623287135,319.83296051751427,350.96344137671286,346.51410305218866,357.416321602773,-0.5141030521886591,-1.416321602772996,0.7500733227409386,0.0,0.7500733227409386,0.7500733227409385,0.7500733227409385,0.07467947079071263
1790148454.973679,True,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,111.044,1790148455.2176888,0.0,0.25655317306518555,7.260452508926392,0.04780101776123047,250,250,8.206352233886719,0.41479262709617615,346.0,356.0,346.0,356.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,-0.10003951276476473,0.0011603880432586612,-0.10119990080802338,8.026663324556324,0.7287716500202414,0.1810244154907395,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,-0.0331040066421273,1.0115613513127046,4.941822407275827,-0.06804729483791319,1.3599669212287246,5.1315393687251385,7.437989375203546,-0.7315498549010443,-3.230235565514043,0.07246313372284519,0.008235861637249875,0.003142364798652597,8.0,0.0,0.0,0.02666332455632414,0.7287716500202414,0.1810244154907395,0.0,0.0,0.0,0.02666332455632414,0.7287716500202414,0.1810244154907395,0.9962661163396116,-0.005517397726133925,-4.997979563305635,-0.0004929809365421534,0.004709857050329447,-0.002386954613029957,7.510452508926392,-0.7233139932637944,-3.2270932007153905,7.025378387511306,-0.7233139932637944,-4.768087620899933,0.06442343336099299,-0.7286331341574744,-0.17184954697415478,0.027286008009439477,-0.7286331341574744,-0.18148862038196611,26.192854311069595,5.227053434130255,319.8071456889304,350.77294656586974,346.5522274743322,357.24416177050443,-0.5522274743321987,-1.2441617705044337,0.7513913026868124,0.0,0.7513913026868124,0.7513913026868123,0.7513913026868123,0.07299732613165141
1790148455.0256839,True,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,111.044,1790148455.2176888,0.0,0.20520901679992676,7.261261940002441,0.04939603805541992,247,247,8.207236289978027,0.41479262709617615,346.0,356.0,346.0,356.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,-0.10009058858993654,0.0011285098948646663,-0.10121909848480122,8.02663018698132,0.7290241264717815,0.1826594247740277,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,-0.03323291731175831,1.0117729260390593,4.941658010736823,-0.06820890054987519,1.360201987112355,5.1313257992411145,7.438127137347827,-0.7317195204737487,-3.2290884355593827,0.07313480265461436,0.008327572809311401,0.0016474382872782023,8.0,0.0,0.0,0.026630186981320136,0.7290241264717815,0.1826594247740277,0.0,0.0,0.0,0.026630186981320136,0.7290241264717815,0.1826594247740277,0.9962220262749516,-0.005420351853286855,-4.997887573062372,-0.0004929809365421534,0.004709857050329447,-0.002386954613029957,7.511261940002441,-0.7233919476644373,-3.2274409972721045,7.0260978193570995,-0.7233919476644373,-4.768596107803398,0.06474274728326268,-0.7288739879711629,-0.1734960968685213,0.027256006362527785,-0.7288739879711629,-0.1831655782934174,26.198747418489916,5.281429685752414,319.8012525815101,350.7185703142476,346.5578937413887,357.2003549906795,-0.557893741388682,-1.2003549906795001,0.7520304576912977,0.0,0.7520304576912977,0.7520304576912976,0.752030457691298,0.07362582346659466
1790148455.1736782,True,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,111.044,1790148455.2176888,0.0,0.057764530181884766,7.25953221321106,0.04800701141357422,246,246,8.20534610748291,0.41479262709617615,346.0,356.0,346.0,356.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,-0.10022757251828454,0.0009597272943659116,-0.10118729981265047,8.024606228302266,0.7287351244170606,0.18343426477773767,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,-0.03360738226653223,1.012556129833155,4.94123734835028,-0.06867114450144715,1.3610164988044122,5.130831398452989,7.437796795482752,-0.7321048546750251,-3.2273753160660865,0.07173541772830738,0.008879492924185328,0.0006775482546474976,8.0,0.0,0.0,0.02460622830226633,0.7287351244170606,0.18343426477773767,0.0,0.0,0.0,0.02460622830226633,0.7287351244170606,0.18343426477773767,0.9966408549299554,-0.005445838501153809,-4.9973778230559995,-0.0004929809365421534,0.004709857050329447,-0.002386954613029957,7.50953221321106,-0.7232253617508397,-3.226697767811439,7.0245604178722,-0.7232253617508397,-4.767509488514844,0.06287447503862786,-0.7285488628508112,-0.1748480264468788,0.025147477927006,-0.7285488628508112,-0.184099528292883,26.19299610309463,5.359446677524659,319.80700389690537,350.64055332247534,346.573059678535,357.143379573577,-0.5730596785350031,-1.1433795735770218,0.7518699871154328,0.0,0.7518699871154328,0.7518699871154332,0.7518699871154331,0.07228606105524626
1790148455.2256813,True,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,111.164,1790148455.3376908,0.04799999999998761,0.12264680862426758,7.258939027786255,0.04807734489440918,246,246,8.20469856262207,0.41479262709617615,346.0,356.0,346.0,356.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,-0.10027218068237846,0.0008972945507028961,-0.10116947523308137,8.024508439429319,0.7284620261468144,0.18332061480468115,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,-0.0337613048035494,1.012901878698345,4.9410904123093795,-0.0688428988186025,1.3613595909917837,5.130686046501166,7.437371127047021,-0.7324767245141587,-3.227357652964362,0.07156790073923425,0.009308491054570545,0.0009147652215841795,8.0,0.0,0.0,0.024508439429318685,0.7284620261468144,0.18332061480468115,0.0,0.0,0.0,0.024508439429318685,0.7284620261468144,0.18332061480468115,0.997070438511572,-0.005345718363222084,-4.997167761221647,0.0013117577182129025,0.004763471428304911,-0.002540036803111434,7.508939027786255,-0.7231682334595881,-3.226442887742778,7.024033187700673,-0.7231682334595881,-4.767136847744353,0.06271606435739407,-0.7282727632466415,-0.17478418846729005,0.02500580160821375,-0.7282727632466415,-0.18400414982434654,26.185068408992777,5.359912896126275,319.8149315910072,350.6400871038737,346.5880790094246,357.1494429745923,-0.5880790094245754,-1.1494429745923185,0.7515743708732683,0.0,0.7515743708732683,0.7515743708732681,0.7515743708732681,0.07217651430586355
1790148455.3256881,True,True,True,True,True,,MAPPED_EXACT,0,MAPPED_EXACT,0,111.26,1790148455.433816,0.04800000000000182,0.11325335502624512,7.258517026901245,0.04864311218261719,248,248,8.20423698425293,0.41479262709617615,346.0,356.0,346.0,356.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,-0.10034844817305942,0.0007418211992315236,-0.10109026937229096,8.025731125528234,0.7279449805845538,0.18300834726199527,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,-0.03408408416714759,1.0136608211147593,4.940807440373752,-0.06918704473836651,1.3621003826321325,5.13043247598012,7.436235081087877,-0.7333380640684597,-3.2278933363366615,0.07228194581336833,0.010210472520252312,0.0016317740446591955,8.0,0.0,0.0,0.025731125528233534,0.7279449805845538,0.18300834726199527,0.0,0.0,0.0,0.025731125528233534,0.7279449805845538,0.18300834726199527,0.9980890025768094,-0.004722121791455601,-4.9965292441928195,0.002534849103540182,0.0049597155302762985,-0.002977891592308879,7.508517026901245,-0.7231275915482074,-3.2262615622920023,7.023658108358388,-0.7231275915482074,-4.766871745588497,0.06371910937731862,-0.7277592739115146,-0.17425370894965075,0.02609722073332943,-0.7277592739115146,-0.18369380787752299,26.167957127969885,5.326073469561379,319.8320428720301,350.6739265304386,346.62341134522995,357.1867877620424,-0.6234113452299539,-1.1867877620423997,0.7510379755689875,0.0,0.7510379755689875,0.7510379755689877,0.7510379755689877,0.07301777952106163
1790148455.473683,True,True,True,True,True,,MAPPED_EXACT,0,CLOCK_REFERENCE_READY,0,111.34,1790148455.5136902,0.0,0.054747581481933594,7.253814220428467,0.046300411224365234,247,247,8.199098587036133,0.41479262709617615,346.0,356.0,346.0,356.0,269.9681840122649,269.9681840122649,320.0,240.0,0.20944,0.42,-0.10042652172432652,0.0005788728969777061,-0.10100539462130423,8.025852348128032,0.7275861256007804,0.17768265074444406,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.42,-0.034579354121687236,1.0150245219986174,4.940428193108186,-0.06971267974746967,1.3633763076141727,5.130208810898641,7.4334137341872335,-0.7339588682492096,-3.2313101940910283,0.0704004862412333,0.011284192916813374,0.007069334915721814,8.0,0.0,0.0,0.02585234812803172,0.7275861256007804,0.17768265074444406,0.0,0.0,0.0,0.02585234812803172,0.7275861256007804,0.17768265074444406,1.000499833863308,-0.003439997276510058,-4.996290950262228,0.003610927378758788,0.0055226474069058895,-0.003377650398761034,7.503814220428467,-0.7226746753323963,-3.2242408591753065,7.019478198738865,-0.7226746753323963,-4.763917429190605,0.06255502208184005,-0.7274108991525337,-0.16906002322400981,0.026038402125620586,-0.7274108991525337,-0.17837158925935093,26.1718297548461,5.158326551223013,319.8281702451539,350.841673448777,346.65606273059166,357.35536003693954,-0.6560627305916569,-1.355360036939544,0.7494137965410429,0.0,0.7494137965410429,0.749413796541043,0.7494137965410429,0.0716487052844403
