time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode,phase
0.972740,0.040298,-0.014451,-0.014934,0.016770,-0.001661,20.000000,22.146809,0.000000,1.000000,29.824677,20.000000,26.451874,4.305065,0.007349,0.000000,0.000000,29.824673,0.014934,0.000000,0.016770,-0.001661,0.007349,0.000000,0.000000,0.000000,-0.013922,-0.002744,0.001475,0,takeoff
1.022600,0.039574,-0.014704,-0.014719,0.016217,-0.001810,20.000000,22.196929,0.000000,1.000000,29.862610,20.000000,26.507887,4.310958,0.007419,0.000000,0.000000,29.862606,0.014719,0.000000,0.016217,-0.001810,0.007419,0.000000,0.000000,0.000000,-0.014680,-0.003983,-0.000430,0,takeoff
1.072763,0.038145,-0.015137,-0.014482,0.014901,-0.001982,20.000000,22.247187,0.000000,1.000000,29.901287,20.000000,26.564141,4.316954,0.007330,0.000000,0.000000,29.901283,0.014482,0.000000,0.014901,-0.001982,0.007330,0.000000,0.000000,0.000000,-0.018358,0.000642,-0.001874,0,takeoff
1.122595,0.037137,-0.015390,-0.014426,0.014123,-0.002049,20.000000,22.296871,0.000000,1.000000,29.939156,20.000000,26.619701,4.322830,0.007193,0.000000,0.000000,29.939153,0.014426,0.000000,0.014123,-0.002049,0.007193,0.000000,0.000000,0.000000,-0.020233,0.001273,-0.001574,0,takeoff
1.173405,0.035633,-0.015678,-0.014433,0.012985,-0.002081,20.000000,22.347535,0.000000,1.000000,29.978150,20.000000,26.676407,4.328872,0.006930,0.000000,0.000000,29.978146,0.014433,0.000000,0.012985,-0.002081,0.006930,0.000000,0.000000,0.000000,-0.017471,0.002651,-0.004877,0,takeoff
1.222897,0.034434,-0.015801,-0.014323,0.012355,-0.002139,20.000000,22.397015,0.000000,1.000000,30.015969,20.000000,26.731751,4.334736,0.006815,0.000000,0.000000,30.015965,0.014323,0.000000,0.012355,-0.002139,0.006815,0.000000,0.000000,0.000000,-0.018501,-0.004477,-0.002053,0,takeoff
1.272644,0.032271,-0.015946,-0.013971,0.011239,-0.001974,20.000000,22.446883,0.000000,1.000000,30.054768,20.000000,26.787618,4.340735,0.006735,0.000000,0.000000,30.054764,0.013971,0.000000,0.011239,-0.001974,0.006735,0.000000,0.000000,0.000000,-0.017746,-0.001244,0.000851,0,takeoff
1.322716,0.030630,-0.016090,-0.013761,0.010094,-0.001938,20.000000,22.496979,0.000000,1.000000,30.093424,20.000000,26.843700,4.346720,0.006696,0.000000,0.000000,30.093421,0.013761,0.000000,0.010094,-0.001938,0.006696,0.000000,0.000000,0.000000,-0.027237,0.002645,0.000412,0,takeoff
1.372756,0.028200,-0.016389,-0.013533,0.008469,-0.002163,20.000000,22.547064,0.000000,1.000000,30.132746,20.000000,26.899859,4.352795,0.006602,0.000000,0.000000,30.132743,0.013533,0.000000,0.008469,-0.002163,0.006602,0.000000,0.000000,0.000000,-0.034968,-0.000368,-0.002072,0,takeoff
1.422597,0.026351,-0.016595,-0.013449,0.007190,-0.002332,20.000000,22.596944,0.000000,1.000000,30.171493,20.000000,26.955733,4.358789,0.006539,0.000000,0.000000,30.171490,0.013449,0.000000,0.007190,-0.002332,0.006539,0.000000,0.000000,0.000000,-0.029687,-0.007456,-0.001240,0,takeoff
