time,uav_x,uav_y,uav_z,uav_vx,uav_vy,target_x,target_y,target_vx,target_vy,distance,intercept_x,intercept_y,t_go,uav_vz,target_z,target_vz,horizontal_distance,vertical_error,intercept_z,command_vx,command_vy,command_vz,command_ax,command_ay,command_az,uav_ax,uav_ay,uav_az,terminal_mode
0.000000,19.998501,38.285023,-5.001441,-0.011667,0.986778,20.000000,46.312215,0.000000,1.000000,9.457813,20.000000,51.313656,5.001441,0.004548,0.000000,0.000000,8.027192,5.001441,0.000000,0.002249,1.039886,0.001441,0.026608,0.350439,-0.009193,-0.003504,0.036143,-0.019940,0
0.050000,19.996990,38.346497,-5.000952,-0.011630,0.989095,20.000000,46.361955,0.000000,1.000000,9.447598,20.000000,51.362907,5.000952,0.003341,0.000000,0.000000,8.015459,5.000952,0.000000,0.001985,1.289886,0.101441,-0.005269,4.999997,2.000000,0.000831,0.038177,-0.021040,0
0.100000,19.996103,38.385052,-5.000742,-0.011431,0.990761,20.000000,46.411545,0.000000,1.000000,9.456851,20.000000,51.412287,5.000742,0.005126,0.000000,0.000000,8.026494,5.000742,0.000000,0.001756,1.539886,0.201441,-0.004585,4.999998,2.000000,0.004734,0.041351,0.086976,0
0.150000,19.995001,38.439114,-4.999940,-0.010746,0.992989,20.000000,46.461796,0.000000,1.000000,9.453193,20.000000,51.461736,4.999940,0.034729,0.000000,0.000000,8.022684,4.999940,0.000000,0.001578,1.789886,0.301441,-0.003551,4.999999,2.000000,0.012502,0.043055,0.758799,0
0.200000,19.994253,38.477806,-4.997951,-0.010367,0.995970,20.000000,46.512008,0.000000,1.000000,9.461921,20.000000,51.509959,4.997951,0.073098,0.000000,0.000000,8.034204,4.997951,0.000000,0.001447,2.039885,0.401441,-0.002621,4.999999,2.000000,0.011403,0.095606,1.050418,0
0.250000,19.992952,38.540146,-4.990616,-0.009828,1.007754,20.000000,46.561775,0.000000,1.000000,9.447372,20.000000,51.552391,4.990616,0.156142,0.000000,0.000000,8.021632,4.990616,0.000000,0.001432,2.289885,0.501441,-0.000311,5.000000,2.000000,0.008431,0.237733,1.413491,0
0.300000,19.992031,38.579628,-4.982818,-0.009488,1.022080,20.000000,46.612042,0.000000,1.000000,9.452418,20.000000,51.594860,4.982818,0.213141,0.000000,0.000000,8.032418,4.982818,0.000000,0.001562,2.539885,0.601441,0.002598,4.999999,2.000000,0.008373,0.391831,1.422280,0
0.350000,19.990662,38.636185,-4.967238,-0.009414,1.053026,20.000000,46.661703,0.000000,1.000000,9.438352,20.000000,51.628941,4.967238,0.300395,0.000000,0.000000,8.025523,4.967238,0.000000,0.001880,2.615690,0.701441,0.006364,1.516093,2.000000,-0.000632,0.643164,1.629328,0
0.400000,19.989584,38.678001,-4.952595,-0.009516,1.084324,20.000000,46.712096,0.000000,1.000000,9.437954,20.000000,51.664691,4.952595,0.366505,0.000000,0.000000,8.034101,4.952595,0.000000,0.002103,2.622199,0.801441,0.004463,0.130180,2.000000,-0.003637,0.844091,1.682708,0
0.450000,19.987602,38.748367,-4.922538,-0.009874,1.150152,20.000000,46.762036,0.000000,1.000000,9.404808,20.000000,51.684574,4.922538,0.485131,0.000000,0.000000,8.013679,4.922538,0.000000,0.002519,2.627955,0.901441,0.008309,0.115114,2.000000,-0.008227,1.114736,1.958388,0
